year,fit,lower,upper,scenario
2001,11.531912678848903,7.6748936686651295,15.388931689032676,scen1_indiv
2002,4.947597019108874,3.38402220578926,6.511171832428487,scen1_indiv
2003,0.6205111316078293,0.41898410260755264,0.822038160608106,scen1_indiv
2004,6.144504264821861,4.249046689969655,8.039961839674067,scen1_indiv
2005,2.7721749366527813,1.9261497705849853,3.6182001027205772,scen1_indiv
2006,0.6799895457660298,0.4686292028033937,0.8913498887286658,scen1_indiv
2007,0.5727527161881079,0.394398622629197,0.7511068097470187,scen1_indiv
2008,0.4257098128052707,0.29425873720280443,0.557160888407737,scen1_indiv
2009,0.0820521701897676,0.055338387110139275,0.10876595326939592,scen1_indiv
2010,0.4962517225848395,0.34283397458323794,0.6496694705864411,scen1_indiv
2011,0.14531155566414058,0.09951950672980317,0.191103604598478,scen1_indiv
2012,0.33506589040848966,0.23154410412487225,0.4385876766921071,scen1_indiv
2013,0.24125417252598166,0.1666880239678408,0.3158203210841225,scen1_indiv
2014,0.18120553232751535,0.12468268201902019,0.2377283826360105,scen1_indiv
2015,1.3236740689801012,0.9199063108824806,1.7274418270777216,scen1_indiv
2016,0.4212447829091236,0.2910692540761881,0.5514203117420591,scen1_indiv
2017,0.47002032078664374,0.3245265093603483,0.6155141322129392,scen1_indiv
2018,0.1467199028487409,0.09866898961453383,0.19477081608294797,scen1_indiv
2019,0.7645365096748915,0.5292912706605972,0.9997817486891858,scen1_indiv
2020,0.2912228978273681,0.19959093890733376,0.38285485674740244,scen1_indiv
2021,0.7213325166845771,0.4999124744870316,0.9427525588821226,scen1_indiv
