year,week,farm_name,fit,lower,upper,scenario
2001,NA,NA,11.826193241596457,7.910290864430426,15.742095618762487,scen1-indiv
2002,NA,NA,3.576428455646172,2.4477687643893793,4.705088146902964,scen1-indiv
2003,NA,NA,0.5304857737800341,0.3579079184660457,0.7030636290940226,scen1-indiv
2004,NA,NA,5.476358678883672,3.7954335915948256,7.157283766172519,scen1-indiv
2005,NA,NA,2.7591722807949584,1.9231629797415155,3.595181581848401,scen1-indiv
2006,NA,NA,0.6753394416200316,0.466636414685823,0.8840424685542401,scen1-indiv
2007,NA,NA,0.537293174776309,0.37072419506420273,0.7038621544884153,scen1-indiv
2008,NA,NA,0.4148309658340859,0.2873419945976091,0.5423199370705627,scen1-indiv
2009,NA,NA,0.08091930479273578,0.05469532775550103,0.10714328182997052,scen1-indiv
2010,NA,NA,0.49005878276898723,0.3394249505221514,0.6406926150158231,scen1-indiv
2011,NA,NA,0.14344889532096466,0.09849879350115201,0.18839899714077732,scen1-indiv
2012,NA,NA,0.3291654168294899,0.22806584285468606,0.43026499080429376,scen1-indiv
2013,NA,NA,0.23839598002130308,0.16515930646290872,0.31163265357969744,scen1-indiv
2014,NA,NA,0.17861479531333171,0.12322516277620842,0.234004427850455,scen1-indiv
2015,NA,NA,1.3074876665264796,0.9110893798996417,1.7038859531533177,scen1-indiv
2016,NA,NA,0.41601797958903464,0.2882081268557315,0.5438278323223378,scen1-indiv
2017,NA,NA,0.4635600591618315,0.3208827798881464,0.6062373384355166,scen1-indiv
2018,NA,NA,0.1397536089596132,0.09409840446196252,0.18540881345726387,scen1-indiv
2019,NA,NA,0.7490272908222417,0.5198739343069727,0.9781806473375108,scen1-indiv
2020,NA,NA,0.28753163656949865,0.19755590670556503,0.3775073664334323,scen1-indiv
2021,NA,NA,0.7118919493837408,0.49464411717819945,0.9291397815892821,scen1-indiv
