Fish #,day,mo,Date,    Species,location,Exposure,Relation to Farm,water temp,length cm,weight g,L/W.Ratio,W/L.Ratio,K(cond.Fac),lice/g,lice/g.trans,Farm.NoFarm,Lice.Y.N,Total lice,Tot.Lice.Trans,Intensity.Trans,<.>.1.6.per.g,Ch/ I-II-Lep,Ch/III-IV-Lep,unid subadult,CI-IV Caligus,preadult 1 Lep-male,preadult 1 Lep-female,preadult 2 Lep-male,preadult 2 Lep-female,unid adult,adult male-Lep,virgin-Lep,adult female non-gravid-Lep,gravid female-Lep ,adult male-Caligus,adult female-Caligus,gravid Caligus,   other comments,site of lice attachment,
534,19,6,19/06/2001,pink,Kinnard Island,1,no farm,,7.2,3.41,2.111,0.474,0.914,9.97,1.04020662757471,Farm,Y,34,1.54406804435028,1.54406804435028,GT,25,0,0,0,2,0,2,2,0,1,0,2,0,0,0,0,,parallel lines like teeth marks 3-4mm apart,
535,19,6,19/06/2001,pink,Kinnard Island,1,no farm,,6.2,2.50,2.480,0.403,1.049,14,1.17609125905568,Farm,Y,35,1.55630250076729,1.55630250076729,GT,20,7,5,0,0,0,0,0,2,0,0,0,1,0,0,0,single tail on spawned,pinpricks,
536,19,6,19/06/2001,pink,Kinnard Island,1,no farm,,6.0,2.07,2.899,0.345,0.958,17.87,1.27577190016493,Farm,Y,37,1.57978359661681,1.57978359661681,GT,14,14,5,0,0,0,0,0,4,0,0,0,0,0,0,0,both dark and light,ravaged,
537,19,6,26/06/2001,pink,Kwatsi Bay,3,between farms,,6.2,2.05,3.024,0.331,0.860,18.05,1.27989498001164,Farm,Y,37,1.57978359661681,1.57978359661681,GT,28,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,
538,19,6,26/06/2001,pink,Kwatsi Bay,3,between farms,,6.7,2.91,2.302,0.434,0.968,13.06,1.14798532068381,Farm,Y,38,1.5910646070265,1.5910646070265,GT,22,10,2,0,0,0,0,0,4,0,0,0,0,0,0,0,mixed,bleeding base of fins ,
539,19,6,26/06/2001,pink,Kwatsi Bay,3,between farms,,5.8,2.22,2.613,0.383,1.138,17.12,1.25815819334079,Farm,Y,38,1.5910646070265,1.5910646070265,GT,24,8,0,0,0,2,1,2,0,0,0,1,0,0,0,0,,black dents,
540,19,6,26/06/2001,pink,Kwatsi Bay,3,between farms,,6.6,2.67,2.472,0.405,0.929,14.61,1.19340290306242,Farm,Y,39,1.60205999132796,1.60205999132796,GT,0,0,0,0,1,1,1,0,0,34,0,1,1,0,0,0,,,
541,19,6,18/06/2001,pink,London Point,3,between farms,,6.0,2.44,2.459,0.407,1.130,15.98,1.22993768590793,Farm,Y,39,1.60205999132796,1.60205999132796,GT,20,6,4,0,0,0,1,4,4,0,0,0,0,0,0,0,all transparent,covered,
542,19,6,18/06/2001,pink,London Point,3,between farms,,6.2,2.13,2.911,0.344,0.894,18.31,1.28578227377939,Farm,Y,39,1.60205999132796,1.60205999132796,GT,23,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fiish looks emaciated,,
543,19,6,18/06/2001,pink,London Point,3,between farms,,6.4,2.08,3.077,0.325,0.793,19.71,1.31618009889345,Farm,Y,41,1.6232492903979,1.6232492903979,GT,35,3,0,0,0,0,1,0,0,0,1,1,0,0,0,0,,,
544,19,6,18/06/2001,pink,London Point,3,between farms,,5.8,1.39,4.173,0.240,0.712,29.5,1.48429983934679,Farm,Y,41,1.6232492903979,1.6232492903979,GT,26,6,0,0,1,0,0,1,0,4,0,2,0,1,0,0,patchwork of raw meat,,
545,19,6,18/06/2001,pink,London Point,3,between farms,,7.5,3.34,2.246,0.445,0.792,12.57,1.13257984765974,Farm,Y,42,1.63346845557959,1.63346845557959,GT,4,10,23,0,0,0,2,2,0,0,1,0,0,0,0,0,some dark,,
546,19,6,18/06/2001,pink,London Point,3,between farms,,5.2,1.29,4.031,0.248,0.917,32.56,1.52582195215666,Farm,Y,42,1.63346845557959,1.63346845557959,GT,24,15,0,0,0,1,1,0,0,1,0,0,0,0,0,0,black dents and open pin prick wounds,,
547,19,6,18/06/2001,pink,London Point,3,between farms,,8.2,5.99,1.369,0.730,1.086,7.18,0.912753303671323,Farm,Y,43,1.64345267648619,1.64345267648619,GT,19,1,0,0,2,0,6,4,0,6,4,0,1,0,0,0,bleeding at base of fins (PHOTO),,
548,19,6,22/06/2001,pink,Midsummer Island,3,near farm,10.89,5.9,2.17,2.719,0.368,1.057,19.82,1.31848072517452,Farm,Y,43,1.64345267648619,1.64345267648619,GT,33,1,0,0,2,2,3,1,0,0,0,1,0,0,0,0,,,
549,19,6,22/06/2001,pink,Midsummer Island,3,near farm,10.89,5.0,1.31,3.817,0.262,1.048,33.58,1.5388249889379,Farm,Y,44,1.65321251377534,1.65321251377534,GT,25,17,0,0,1,0,0,0,0,0,0,0,1,0,0,0,,open pin prick wounds,
550,19,6,22/06/2001,pink,Midsummer Island,3,near farm,10.89,6.0,1.80,3.333,0.300,0.833,25,1.41497334797082,Farm,Y,45,1.66275783168157,1.66275783168157,GT,17,20,4,0,0,0,0,0,4,0,0,0,0,0,0,0,one large w/ brown stripe,"teeth marks all over, pinpricks",
551,19,6,22/06/2001,pink,Midsummer Island,3,near farm,10.89,6.0,1.74,3.448,0.290,0.806,25.86,1.4291060083327,Farm,Y,45,1.66275783168157,1.66275783168157,GT,39,2,0,0,0,0,2,0,0,1,0,1,0,0,0,0,fiish looks emaciated,,
552,19,6,22/06/2001,pink,Midsummer Island,3,near farm,10.89,6.6,2.43,2.716,0.368,0.845,18.93,1.29950729870049,Farm,Y,46,1.67209785793572,1.67209785793572,GT,26,2,0,0,3,0,3,4,0,4,3,0,1,0,0,0,virgin and adult male mate guarding,fish emaciated looking photo'd both sides,
553,20,6,16/06/2001,pink,Miller Point,3,between farms,,6.4,1.91,3.351,0.298,0.729,24.08,1.39932753215868,Farm,Y,46,1.67209785793572,1.67209785793572,GT,44,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Caligus teres,
554,20,6,16/06/2001,pink,Miller Point,3,between farms,,5.8,1.72,3.372,0.297,0.882,26.29,1.4360035356699,Farm,Y,46,1.67209785793572,1.67209785793572,GT,10,34,0,0,0,0,1,0,0,0,0,0,0,0,0,0,adult dark,ravaged,
555,20,6,16/06/2001,pink,Miller Point,3,between farms,,7.1,2.51,2.829,0.354,0.701,18.73,1.29512708525219,Farm,Y,47,1.68124123737559,1.68124123737559,GT,0,0,0,46,0,0,0,0,0,1,0,0,0,0,0,0,,,
556,20,6,16/06/2001,pink,Miller Point,3,between farms,,5.5,1.58,3.481,0.287,0.950,29.75,1.48784512011144,Farm,Y,47,1.68124123737559,1.68124123737559,GT,17,26,4,0,0,0,0,0,1,0,0,0,0,0,0,0,one large dark,"raw wound, pinpricks",
557,20,6,16/06/2001,pink,Miller Point,3,between farms,,4.7,1.14,4.123,0.243,1.098,42.11,1.63457802285389,Farm,Y,48,1.69019608002851,1.69019608002851,GT,27,18,3,0,0,0,0,0,0,0,0,0,0,0,0,0,all transparent,most on ventral,
558,20,6,16/06/2001,pink,Miller Point,3,between farms,,5.8,1.92,3.021,0.331,0.984,25.52,1.42357351973274,Farm,Y,49,1.69897000433602,1.69897000433602,GT,28,12,9,0,0,0,0,0,0,0,0,0,0,0,0,0,all transparent,,
559,20,6,16/06/2001,pink,Miller Point,3,between farms,,6.0,1.62,3.704,0.270,0.750,30.25,1.49485002168009,Farm,Y,49,1.69897000433602,1.69897000433602,GT,42,3,0,0,1,0,0,1,0,1,0,1,0,0,0,0,,,
560,20,6,16/06/2001,pink,Miller Point,3,between farms,,7.0,3.02,2.318,0.431,0.880,16.57,1.24477176149529,Farm,Y,50,1.70757017609794,1.70757017609794,GT,45,1,0,0,0,2,0,0,0,1,0,1,0,0,0,0,mate guarding pair,,
561,20,6,16/06/2001,pink,Miller Point,3,between farms,,6.0,1.89,3.175,0.315,0.875,26.46,1.43870053290074,Farm,Y,50,1.70757017609794,1.70757017609794,GT,47,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,fiish looks emaciated,,
562,20,6,16/06/2001,pink,Miller Point,3,between farms,,5.1,1.36,3.750,0.267,1.025,39.71,1.6097011023794,Farm,Y,54,1.74036268949424,1.74036268949424,GT,39,8,6,0,0,0,0,0,1,0,0,0,0,0,0,0,all transparent,ravaged,
563,20,6,16/06/2001,pink,Miller Point,3,between farms,,6.0,1.82,3.297,0.303,0.843,30.22,1.4944328987264,Farm,Y,55,1.7481880270062,1.7481880270062,GT,35,12,0,0,0,0,0,2,0,2,4,0,0,0,0,0,,found dying on surface,
564,20,6,16/06/2001,pink,Miller Point,3,between farms,,6.9,3.28,2.104,0.475,0.998,17.38,1.26434550705009,Farm,Y,57,1.76342799356294,1.76342799356294,GT,30,12,12,0,0,0,0,0,2,0,0,0,1,0,0,0,mixed,"eggs 1 cm, creamy",
565,20,6,16/06/2001,pink,Miller Point,3,between farms,,6.0,1.75,3.429,0.292,0.810,35.43,1.56145917124192,Farm,Y,62,1.79934054945358,1.79934054945358,GT,39,13,5,0,0,0,0,0,0,0,0,0,0,0,0,0,all transparent,,
566,20,6,16/06/2001,pink,Miller Point,3,between farms,,5.7,1.73,3.295,0.304,0.934,36.42,1.57310378316399,Farm,Y,63,1.80617997398389,1.80617997398389,GT,49,9,0,0,0,4,0,1,0,0,0,0,0,0,0,0,,,
567,20,6,16/06/2001,pink,Miller Point,3,between farms,,6.1,2.23,2.735,0.366,0.982,29.15,1.47928731647617,Farm,Y,65,1.81954393554187,1.81954393554187,GT,43,15,11,0,0,0,0,0,1,0,0,0,0,0,0,0,all transparent,,
568,20,6,16/06/2001,pink,Miller Point,3,between farms,,6.7,3.30,2.030,0.493,1.097,20.3,1.32837960343874,Farm,Y,67,1.83250891270624,1.83250891270624,GT,49,2,0,0,0,2,8,5,0,0,0,1,0,0,0,0,,,
569,20,6,16/06/2001,pink,Miller Point,3,between farms,,8.0,3.29,2.432,0.411,0.643,20.97,1.34183005692051,Farm,Y,69,1.84509804001426,1.84509804001426,GT,58,2,0,0,0,0,2,0,0,4,0,2,1,0,0,0,,,
570,20,6,16/06/2001,pink,Miller Point,3,between farms,,8.0,5.22,1.533,0.653,1.020,0,0,Farm,N,0,0,NA,LT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,clean fish,
571,20,6,16/06/2001,pink,Miller Point,3,between farms,,8.3,5.19,1.599,0.625,0.908,0,0,Farm,N,0,0,NA,LT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
572,20,6,16/06/2001,pink,Miller Point,3,between farms,,6.2,2.73,2.271,0.440,1.145,0,0,Farm,N,0,0,NA,LT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,bright clean,
573,20,6,16/06/2001,pink,Miller Point,3,between farms,,5.5,2.41,2.282,0.438,1.449,0,0,Farm,N,0,0,NA,LT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
574,21,6,16/06/2001,pink,Miller Point,3,between farms,,6.4,2.60,2.462,0.406,0.992,0,0,Farm,N,0,0,NA,LT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
575,22,6,16/06/2001,pink,Miller Point,3,between farms,,6.5,2.61,2.490,0.402,0.950,0,0,Farm,N,0,0,NA,LT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,clean fish,
576,22,6,16/06/2001,pink,Miller Point,3,between farms,,5.5,2.04,2.696,0.371,1.226,0,0,Farm,N,0,0,NA,LT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,all transparent,,
577,22,6,16/06/2001,pink,Miller Point,3,between farms,,6.0,2.16,2.778,0.360,1.000,0,0,Farm,N,0,0,NA,LT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,tiny scrapes,
578,22,6,16/06/2001,pink,Miller Point,3,between farms,,5.8,2.07,2.802,0.357,1.061,0,0,Farm,N,0,0,NA,LT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1 swollen, raw spot",,
579,22,6,16/06/2001,pink,Miller Point,3,between farms,,4.9,1.43,3.427,0.292,1.215,0,0,Farm,N,0,0,NA,LT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,black dents,
580,22,6,16/06/2001,pink,Miller Point,3,between farms,,4.7,1.32,3.561,0.281,1.271,0,0,Farm,N,0,0,NA,LT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bet this is a Kaweikan pink,clean and bright,
581,22,6,16/06/2001,pink,Miller Point,3,between farms,,5.7,1.57,3.631,0.275,0.848,0,0,Farm,N,0,0,NA,LT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
582,22,6,16/06/2001,pink,Miller Point,3,between farms,,5.4,1.32,4.091,0.244,0.838,0,0,Farm,N,0,0,NA,LT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,pin pricks in flesh,
583,22,6,16/06/2001,pink,Miller Point,3,between farms,,6.0,0.91,6.593,0.152,0.421,0,0,Farm,N,0,0,NA,LT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
584,22,6,16/06/2001,pink,Miller Point,3,between farms,,9.0,6.53,1.378,0.726,0.896,0,0,No.Farm,N,0,0,NA,LT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,clean and bright,
585,22,6,16/06/2001,pink,Miller Point,3,between farms,,7.0,3.67,1.907,0.524,1.070,0,0,No.Farm,N,0,0,NA,LT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,clean and bright,
586,22,6,16/06/2001,pink,Miller Point,3,between farms,,6.6,3.45,1.913,0.523,1.200,0,0,No.Farm,N,0,0,NA,LT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,bright clean,
587,22,6,16/06/2001,pink,Miller Point,3,between farms,,7.2,3.69,1.951,0.513,0.989,0,0,No.Farm,N,0,0,NA,LT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,all transparent,bright clean,
588,22,6,16/06/2001,pink,Miller Point,3,between farms,,6.9,3.35,2.060,0.486,1.020,0,0,No.Farm,N,0,0,NA,LT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,clean and bright,
589,22,6,16/06/2001,pink,Miller Point,3,between farms,,7.0,3.24,2.160,0.463,0.945,0,0,No.Farm,N,0,0,NA,LT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,clean and bright,
590,22,6,16/06/2001,pink,Miller Point,3,between farms,,8.0,3.65,2.192,0.456,0.713,0,0,No.Farm,N,0,0,NA,LT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,clean and bright,
591,22,6,16/06/2001,pink,Miller Point,3,between farms,,6.2,2.82,2.199,0.455,1.183,0,0,No.Farm,N,0,0,NA,LT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,bright clean,
592,23,6,16/06/2001,pink,Miller Point,3,between farms,,5.7,2.21,2.579,0.388,1.193,0,0,No.Farm,N,0,0,NA,LT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,clean and bright,
593,23,6,16/06/2001,pink,Miller Point,3,between farms,,5.5,1.98,2.778,0.360,1.190,0,0,No.Farm,N,0,0,NA,LT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,clean and bright,
594,23,6,16/06/2001,pink,Miller Point,3,between farms,,5.0,1.62,3.086,0.324,1.296,0,0,No.Farm,N,0,0,NA,LT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,clean and bright,
595,23,6,16/06/2001,pink,Miller Point,3,between farms,,5.5,1.77,3.107,0.322,1.064,0,0,No.Farm,N,0,0,NA,LT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,clean and bright,
596,23,6,16/06/2001,pink,Miller Point,3,between farms,,9.3,7.83,1.188,0.842,0.973,0.13,0.05307844348342,Farm,Y,1,0.301029995663981,0.301029995663981,LT,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,
597,23,6,16/06/2001,pink,Miller Point,3,between farms,,,6.85,NA,NA,NA,0.15,0.060697840353612,Farm,Y,1,0.301029995663981,0.301029995663981,LT,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,
598,23,6,16/06/2001,pink,Miller Point,3,between farms,,8.3,5.95,1.395,0.717,1.041,0.17,0.068185861746162,Farm,Y,1,0.301029995663981,0.301029995663981,LT,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,silver bright,
599,23,6,16/06/2001,pink,Miller Point,3,between farms,,8.1,4.37,1.854,0.540,0.822,0.23,0.089905111439398,Farm,Y,1,0.301029995663981,0.301029995663981,LT,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,silver bright,
600,23,6,16/06/2001,pink,Miller Point,3,between farms,,7.5,3.97,1.889,0.529,0.941,0.25,0.096910013008056,Farm,Y,1,0.301029995663981,0.301029995663981,LT,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,clean and bright,
601,23,6,16/06/2001,pink,Miller Point,3,between farms,,7.7,4.05,1.901,0.526,0.887,0.25,0.096910013008056,Farm,Y,1,0.301029995663981,0.301029995663981,LT,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,pin prick open wounds,
602,23,6,20/06/2001,pink,Misty Pass,3,seaward of farms,,7.5,3.71,2.022,0.495,0.879,0.27,0.103803720955957,Farm,Y,1,0.301029995663981,0.301029995663981,LT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bleeding at base of fins,,
603,24,6,20/06/2001,pink,Misty Pass,3,seaward of farms,,6.9,3.34,2.066,0.484,1.017,0.3,0.113943352306837,Farm,Y,1,0.301029995663981,0.301029995663981,LT,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,photo labeled West Fife - example of robust pink,,
604,24,6,20/06/2001,pink,Misty Pass,3,seaward of farms,,7.0,3.38,2.071,0.483,0.985,0.3,0.113943352306837,Farm,Y,1,0.301029995663981,0.301029995663981,LT,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,all transparent,,
605,24,6,20/06/2001,pink,Misty Pass,3,seaward of farms,,6.4,2.95,2.169,0.461,1.125,0.34,0.127104798364808,Farm,Y,1,0.301029995663981,0.301029995663981,LT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,all transparent,,
606,24,6,20/06/2001,pink,Misty Pass,3,seaward of farms,,5.7,2.82,2.021,0.495,1.523,0.35,0.130333768495006,Farm,Y,1,0.301029995663981,0.301029995663981,LT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
607,24,6,20/06/2001,pink,Misty Pass,3,seaward of farms,,6.4,2.74,2.336,0.428,1.045,0.36,0.133538908370217,Farm,Y,1,0.301029995663981,0.301029995663981,LT,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,all transparent,1 black dent,
608,24,6,20/06/2001,pink,Misty Pass,3,seaward of farms,,5.7,2.71,2.103,0.475,1.463,0.37,0.136720567156407,Farm,Y,1,0.301029995663981,0.301029995663981,LT,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,
609,24,6,20/06/2001,pink,Misty Pass,3,seaward of farms,,6.2,2.55,2.431,0.411,1.070,0.39,0.143014800254095,Farm,Y,1,0.301029995663981,0.301029995663981,LT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,all transparent,pinpricks,
610,24,6,20/06/2001,pink,Misty Pass,3,seaward of farms,,6.4,2.58,2.481,0.403,0.984,0.39,0.143014800254095,Farm,Y,1,0.301029995663981,0.301029995663981,LT,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,
611,24,6,20/06/2001,pink,Misty Pass,3,seaward of farms,,5.7,2.50,2.280,0.439,1.350,0.4,0.146128035678238,Farm,Y,1,0.301029995663981,0.301029995663981,LT,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2 black lesions,1 eye hemoraghing,
612,24,6,20/06/2001,pink,Misty Pass,3,seaward of farms,,6.1,2.25,2.711,0.369,0.991,0.44,0.15836249209525,Farm,Y,1,0.301029995663981,0.301029995663981,LT,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,dark w/ stripe,raw spots,
613,24,6,13/06/2001,pink,"Moore Bay, Kingcome",1,no farm,,6.1,2.17,2.811,0.356,0.956,0.46,0.164352855784437,Farm,Y,1,0.301029995663981,0.301029995663981,LT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,all transparent,clean looking,
614,24,6,19/06/2001,pink,N. point of Whelis Bay,1,no farm,,5.7,2.09,2.727,0.367,1.129,0.48,0.170261715394957,Farm,Y,1,0.301029995663981,0.301029995663981,LT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,all transparent,,
615,25,6,19/06/2001,pink,N.point of Whelis Bay,1,no farm,,5.5,2.05,2.683,0.373,1.232,0.49,0.173186268412274,Farm,Y,1,0.301029995663981,0.301029995663981,LT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,all transparent,"blck dent, rt pec rupture,pinpricks",
616,25,6,2001-05-06,pink,north Cramer Pass,3,between farms,,6.0,2.03,2.956,0.338,0.940,0.49,0.173186268412274,Farm,Y,1,0.301029995663981,0.301029995663981,LT,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,all transparent,black dent,
617,25,6,2001-05-06,pink,north Cramer Pass,3,between farms,,6.0,1.95,3.077,0.325,0.903,0.51,0.178976947293169,Farm,Y,1,0.301029995663981,0.301029995663981,LT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,all transparent,,
618,25,6,2001-11-06,pink,Old Pass,3,between farms,,5.6,1.84,3.043,0.329,1.048,0.54,0.187520720836463,Farm,Y,1,0.301029995663981,0.301029995663981,LT,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,dark,"skin missing frm tailstock, raw patches",
619,25,6,2001-11-06,pink,Old Pass,3,between farms,,5.7,1.86,3.065,0.326,1.004,0.54,0.187520720836463,Farm,Y,1,0.301029995663981,0.301029995663981,LT,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,all transparent,"pin pricks, rupture behind rt pec",
620,25,6,2001-11-06,pink,Old Pass,3,between farms,,5.5,1.82,3.022,0.331,1.094,0.55,0.190331698170292,Farm,Y,1,0.301029995663981,0.301029995663981,LT,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,dark,,
621,25,6,2001-11-06,pink,Old Pass,3,between farms,,5.5,1.70,3.235,0.309,1.022,0.59,0.201397124320451,Farm,Y,1,0.301029995663981,0.301029995663981,LT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,all transparent,"bright, clean fish",
622,25,6,2001-11-06,pink,Old Pass,3,between farms,,6.1,1.66,3.675,0.272,0.731,0.6,0.204119982655925,Farm,Y,1,0.301029995663981,0.301029995663981,LT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
623,25,6,25/06/2001,pink,Old Pass,3,between farms,,5.4,1.58,3.418,0.293,1.003,0.63,0.212187604403958,Farm,Y,1,0.301029995663981,0.301029995663981,LT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,all transparent,,
624,25,6,2001-01-07,pink,Pemberton Point,3,between farms,,6.3,1.55,4.065,0.246,0.620,0.65,0.217483944213906,Farm,Y,1,0.301029995663981,0.301029995663981,LT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
625,25,6,2001-01-07,pink,Pemberton Point,3,between farms,,5.3,1.52,3.487,0.287,1.021,0.66,0.220108088040055,Farm,Y,1,0.301029995663981,0.301029995663981,LT,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,all transparent,,
626,25,6,2001-01-07,pink,Pemberton Point,3,between farms,,5.2,1.44,3.611,0.277,1.024,0.69,0.227886704613674,Farm,Y,1,0.301029995663981,0.301029995663981,LT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,all transparent,rupture behind rt pec,
627,25,6,2001-01-07,pink,Pemberton Point,3,between farms,,5.1,1.42,3.592,0.278,1.070,0.7,0.230448921378274,Farm,Y,1,0.301029995663981,0.301029995663981,LT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"bright, clean fish",
628,25,6,2001-01-07,pink,Pemberton Point,3,between farms,,5.6,0.82,6.829,0.146,0.467,1.22,0.346352974450639,Farm,Y,1,0.301029995663981,0.301029995663981,LT,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,all transparent,bright clean,
629,26,6,19/06/2001,pink,Popplewell Pt,3,seaward of farms,,7.5,4.57,1.641,0.609,1.083,0.22,0.086359830674748,No.Farm,Y,1,0.301029995663981,0.301029995663981,LT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,all transparent,bright clean,
630,26,6,19/06/2001,pink,Popplewell Pt,3,seaward of farms,,7.0,3.40,2.059,0.486,0.991,0.29,0.110589710299249,No.Farm,Y,1,0.301029995663981,0.301029995663981,LT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,all transparent,bright clean,
631,26,6,19/06/2001,pink,Popplewell Pt,3,seaward of farms,,6.8,3.23,2.105,0.475,1.027,0.31,0.117271295655764,No.Farm,Y,1,0.301029995663981,0.301029995663981,LT,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,all transparent,bright clean,
632,26,6,19/06/2001,pink,Popplewell Pt,3,seaward of farms,,6.5,2.96,2.196,0.455,1.078,0.34,0.127104798364808,No.Farm,Y,1,0.301029995663981,0.301029995663981,LT,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,dark,one raw spot same size as the louse,
633,26,6,19/06/2001,pink,Popplewell Pt,3,seaward of farms,,6.0,2.38,2.521,0.397,1.102,0.42,0.152288344383056,No.Farm,Y,1,0.301029995663981,0.301029995663981,LT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"dark, no tail",raw wound under louse,
634,26,6,19/06/2001,pink,Popplewell Pt,3,seaward of farms,,5.0,1.43,3.497,0.286,1.144,0.7,0.230448921378274,No.Farm,Y,1,0.301029995663981,0.301029995663981,LT,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"dark, no tail",black dent,
635,26,6,19/06/2001,pink,Popplewell Pt,3,seaward of farms,,4.5,0.99,4.545,0.220,1.086,1.01,0.303196057420489,No.Farm,Y,1,0.301029995663981,0.301029995663981,LT,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,all transparent,pinpricks,
636,26,6,19/06/2001,pink,Popplewell Pt,3,seaward of farms,,10.4,10.78,0.965,1.037,0.958,0.19,0.075546961392531,Farm,Y,2,0.477121254719662,0.477121254719662,LT,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,clean and bright looking,,
637,26,6,19/06/2001,pink,Popplewell Pt,3,seaward of farms,,9.9,7.68,1.289,0.776,0.792,0.26,0.100370545117563,Farm,Y,2,0.477121254719662,0.477121254719662,LT,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,dark,30% scale loss,
638,26,6,19/06/2001,pink,Popplewell Pt,3,seaward of farms,,8.2,0.98,8.367,0.120,0.178,0.31,0.117271295655764,Farm,Y,2,0.477121254719662,0.477121254719662,LT,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,all transparent,clean fish except for lice,
639,26,6,19/06/2001,pink,Popplewell Pt,3,seaward of farms,,8.0,5.32,1.504,0.665,1.039,0.38,0.139879086401236,Farm,Y,2,0.477121254719662,0.477121254719662,LT,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,,pin prick wounds,
