MLE,lower,upper,year,predict,scenario
93.91854334157735,77.64054328480279,98.20894919728464,2002,estimated,scen4
72.69490096901319,50.06576843806465,84.50794720310559,2003,estimated,scen4
17.02564701242524,9.50259676411125,23.51875638814405,2004,estimated,scen4
75.8468943032414,53.237334411904044,87.01086332356337,2005,estimated,scen4
48.7641654448583,30.07602767367007,61.737410861849916,2006,estimated,scen4
15.37784398556269,8.54551464373664,21.327347843540277,2007,estimated,scen4
13.487794896343697,7.458339499716837,18.790750034977123,2008,estimated,scen4
9.626709632499274,5.271192228680722,13.533616925953352,2009,estimated,scen4
4.561055639247147,2.4665701657756722,6.486593334703872,2010,estimated,scen4
18.011527819731366,10.079448349594589,24.820844117315566,2011,estimated,scen4
10.283525708992824,5.640139191901483,14.434971512053817,2012,estimated,scen4
13.520167101734959,7.476866806854976,18.834401633266783,2013,estimated,scen4
9.126067031344364,4.990807816910269,12.844656047566772,2014,estimated,scen4
8.40224719400322,4.586700061143,11.84563701459017,2015,estimated,scen4
31.689411940100676,18.444467023577893,42.16032496575287,2016,estimated,scen4
21.272292063690813,14.694195885546446,27.34313847403672,2017,predicted,scen4
21.399981209323816,14.77547437494896,27.509564780977925,2018,predicted,scen4
9.054661916236418,6.056722500409306,11.956930401900278,2019,predicted,scen4
30.458473558261336,21.44840622062891,38.43506328553888,2020,predicted,scen4
14.018789398143605,9.514326602316192,18.299015756122806,2021,predicted,scen4
