MLE,lower,upper,year,predict,scenario
93.91258136583322,78.09899286638517,98.26238830924177,2002,estimated,scen1_indiv
69.90606493827154,47.87622712109811,82.42571450050035,2003,estimated,scen1_indiv
13.98135833213261,7.846553303143644,19.592772547680624,2004,estimated,scen1_indiv
77.49317304476821,55.477242489276755,88.46013082844638,2005,estimated,scen1_indiv
48.97442411264959,30.585037973992225,62.25152792232676,2006,estimated,scen1_indiv
15.21422053488587,8.565545895971894,21.25604168947962,2007,estimated,scen1_indiv
12.978464097395005,7.2651457716004675,18.23185047498176,2008,estimated,scen1_indiv
9.816647876955608,5.45192261586851,13.895382613695029,2009,estimated,scen1_indiv
1.9718140729383715,1.07472821081388,2.8423808676266926,2010,estimated,scen1_indiv
11.347573803775845,6.326175392769972,16.003720587572456,2011,estimated,scen1_indiv
3.4654312262277,1.8954146485046341,4.978482736484436,2012,estimated,scen1_indiv
7.810585308181183,4.316548592380764,11.108366254272084,2013,estimated,scen1_indiv
5.687414318789019,3.1271372150859955,8.128922136042405,2014,estimated,scen1_indiv
4.30278153302901,2.358048718982997,6.1695763932712815,2015,estimated,scen1_indiv
27.477477151026864,15.99674484407988,37.19770758919915,2016,estimated,scen1_indiv
9.412326363919355,6.602368945147907,12.137743515382827,2017,predicted,scen1_indiv
10.443276861823957,7.332788080075114,13.449358267318223,2018,predicted,scen1_indiv
3.3844261603342973,2.2888298456963385,4.467737991194687,2019,predicted,scen1_indiv
16.423772078082145,11.680291674802511,20.91248934000889,2020,predicted,scen1_indiv
6.605734664394869,4.57573583625468,8.592548509361597,2021,predicted,scen1_indiv
