day,month,location,length_mm,fish_id
13,6,Wicklow Point,57,872
13,6,Wicklow Point,54,869
13,6,Wicklow Point,53,860
13,6,Wicklow Point,53,864
13,6,Wicklow Point,53,870
13,6,Wicklow Point,52,858
13,6,Wicklow Point,52,859
13,6,Wicklow Point,50,861
13,6,Wicklow Point,50,862
13,6,Wicklow Point,47,871
2,7,Wicklow Point,55,865
2,7,Wicklow Point,52,863
2,7,Wicklow Point,50,868
2,7,Wicklow Point,47,867
2,7,Wicklow Point,43,866
