farm,year,month,inventory,lep_av,lep_tot,cal_av,cal_tot
Cypress Harbour,2001,3,39730,NA,NA,NA,NA
Cypress Harbour,2001,4,45234,NA,NA,NA,NA
Cypress Harbour,2001,5,30053,NA,NA,NA,NA
Cypress Harbour,2001,6,43573,NA,NA,NA,NA
Cypress Harbour,2001,7,42733,NA,NA,NA,NA
Cypress Harbour,2001,8,39709,NA,NA,NA,NA
Cypress Harbour,2001,9,40305,NA,NA,NA,NA
Cypress Harbour,2001,10,38932,NA,NA,NA,NA
Cypress Harbour,2001,11,37129,NA,NA,NA,NA
Cypress Harbour,2001,12,33804,NA,NA,NA,NA
Cypress Harbour,2002,1,45859,NA,NA,NA,NA
Cypress Harbour,2002,2,45340,NA,NA,NA,NA
Cypress Harbour,2002,3,34264,NA,NA,NA,NA
Cypress Harbour,2002,4,30053,NA,NA,NA,NA
Cypress Harbour,2002,5,33085,25.514,844130.69,0.157,5194.345
Cypress Harbour,2002,6,33085,NA,NA,NA,NA
Cypress Harbour,2002,7,24511,NA,NA,NA,NA
Cypress Harbour,2002,8,24173,0.68,16437.64,0,0
Cypress Harbour,2002,9,23886,NA,NA,NA,NA
Cypress Harbour,2002,10,22886,NA,NA,NA,NA
Cypress Harbour,2002,11,21222,NA,NA,NA,NA
Cypress Harbour,2002,12,30053,NA,NA,NA,NA
Sir Edmund Bay,2000,1,401567,NA,NA,NA,NA
Sir Edmund Bay,2000,2,400312,NA,NA,NA,NA
Sir Edmund Bay,2000,3,398718,NA,NA,NA,NA
Sir Edmund Bay,2000,4,398235,NA,NA,NA,NA
Sir Edmund Bay,2000,5,397600,NA,NA,NA,NA
Sir Edmund Bay,2000,6,397304,NA,NA,NA,NA
Sir Edmund Bay,2000,7,396105,NA,NA,NA,NA
Sir Edmund Bay,2000,8,394082,NA,NA,NA,NA
Sir Edmund Bay,2000,9,393687,NA,NA,NA,NA
Sir Edmund Bay,2000,10,394522,NA,NA,NA,NA
Sir Edmund Bay,2000,11,391397,NA,NA,NA,NA
Sir Edmund Bay,2000,12,396383,NA,NA,NA,NA
Sir Edmund Bay,2001,1,395802,NA,NA,NA,NA
Sir Edmund Bay,2001,2,395347,NA,NA,NA,NA
Sir Edmund Bay,2001,3,394799,NA,NA,NA,NA
Sir Edmund Bay,2001,4,289249,4.675,1352239.075,1.575,455567.175
Sir Edmund Bay,2001,5,265362,2.99,793432.38,0.175,46438.35
Sir Edmund Bay,2001,6,53046,0.6818181818181819,36167.72727272728,0.3590909090909091,19048.336363636365
Sir Edmund Bay,2001,7,NA,NA,NA,NA,NA
Sir Edmund Bay,2001,8,1148234,NA,NA,NA,NA
Sir Edmund Bay,2001,9,1134584,NA,NA,NA,NA
Sir Edmund Bay,2001,10,1133495,1.15,1303519.25,0.021428571428571432,24289.178571428576
Sir Edmund Bay,2001,11,1132286,2.0714285714285716,2345449.571428572,0.05714285714285715,64702.05714285715
Sir Edmund Bay,2001,12,1130570,NA,NA,NA,NA
Sir Edmund Bay,2002,1,1129144,NA,NA,NA,NA
Sir Edmund Bay,2002,2,1149690,7.892307692307693,9073707.230769232,0,0
Sir Edmund Bay,2002,3,940933,5.7,5363318.100000001,0.05,47046.65
Sir Edmund Bay,2002,4,939900,24.545,23069845.5,0,0
Sir Edmund Bay,2002,5,939030,NA,NA,NA,NA
Sir Edmund Bay,2002,6,938168,NA,NA,NA,NA
Sir Edmund Bay,2002,7,928500,0.03333333333333333,30950,0,0
Sir Edmund Bay,2002,8,925088,NA,NA,0,0
Sir Edmund Bay,2002,9,906733,NA,NA,0,0
Sir Edmund Bay,2002,10,887326,NA,NA,0.01,8873.26
Sir Edmund Bay,2002,11,866778,0.5538461538461539,480061.6615384616,0.015384615384615385,13335.046153846155
