farm,year,month,inventory,lep_av,lep_tot,cal_av,cal_tot
Cypress Harbour,2019,3,31805,0.75,23853.75,1.52777777777778,48590.9722222222
Cypress Harbour,2019,4,31024,0.766666666666667,23785.0666666667,0.358333333333333,11116.9333333333
Cypress Harbour,2019,5,29775,2.525,75181.875,0.025,744.375
Cypress Harbour,2019,6,28660,0.494444444444444,14170.7777777778,0,0
Cypress Harbour,2019,7,27932,0.333333333333333,9310.66666666667,0,0
Cypress Harbour,2019,8,25538,0.466666666666667,11917.7333333333,0.00666666666666667,170.253333333333
Cypress Harbour,2019,9,24327,0.345833333333333,8413.0875,0.025,608.175
Cypress Harbour,2019,10,24191,0.179166666666667,4334.22083333333,0,0
Cypress Harbour,2019,11,23904,0.266666666666667,6374.4,0.0333333333333333,796.8
Cypress Harbour,2019,12,20469,0.638888888888889,13077.4166666667,0.0944444444444444,1933.18333333333
Doctor Islets,2004,5,678349,1.3,881853.7,0.116666666666667,79140.7166666667
Doctor Islets,2004,6,672142,4.06666666666667,2733377.46666667,0.0333333333333333,22404.7333333333
Doctor Islets,2004,7,665414,0,0,0,0
Doctor Islets,2004,8,659780,0.0333333333333333,21992.6666666667,0,0
Doctor Islets,2004,9,656978,0,0,0,0
Doctor Islets,2004,10,656478,0.0333333333333333,21882.6,0,0
Doctor Islets,2004,11,655238,0.3,196571.4,0.233333333333333,152888.866666667
Doctor Islets,2004,12,654812,1.8,1178661.6,0.65,425627.8
Doctor Islets,2005,1,602694,2.1,1265657.4,0.7,421885.8
Doctor Islets,2005,2,551250,2.1,1157625,0.45,248062.5
Doctor Islets,2005,4,549097,0.05,27454.85,0.0333333333333333,18303.2333333333
Doctor Islets,2005,5,547948,0.366666666666667,200914.266666667,0.233333333333333,127854.533333333
Doctor Islets,2005,6,546181,0.25,136545.25,0.0666666666666667,36412.0666666667
Doctor Islets,2005,7,538907,0.25,134726.75,0.0666666666666667,35927.1333333333
Doctor Islets,2005,8,530942,0.6,318565.2,0,0
Doctor Islets,2005,9,524626,0.2,104925.2,0,0
Doctor Islets,2005,10,402564,2.15,865512.6,0.483333333333333,194572.6
Doctor Islets,2005,11,370690,3.95,1464225.5,0.383333333333333,142097.833333333
Doctor Islets,2006,1,5009,1.8,9016.2,0,0
Doctor Islets,2006,9,581168,0.216666666666667,125919.733333333,0,0
Doctor Islets,2006,10,581040,0.616666666666667,358308,0.0833333333333333,48420
Doctor Islets,2006,11,580614,1.25,725767.5,0.183333333333333,106445.9
Doctor Islets,2006,12,579910,2.38333333333333,1382118.83333333,0.233333333333333,135312.333333333
Doctor Islets,2007,1,579156,1.45,839776.2,0.183333333333333,106178.6
Doctor Islets,2007,2,578300,1.31666666666667,761428.333333333,0.283333333333333,163851.666666667
Doctor Islets,2007,3,577264,0.383333333333333,221284.533333333,0.0166666666666667,9621.06666666667
Doctor Islets,2007,4,575641,0.0166666666666667,9594.01666666667,0.0666666666666667,38376.0666666667
Doctor Islets,2007,5,575494,0.0166666666666667,9591.56666666667,0.0166666666666667,9591.56666666667
Doctor Islets,2007,6,574903,0.05,28745.15,0.0333333333333333,19163.4333333333
Doctor Islets,2007,7,573584,0.216666666666667,124276.533333333,0,0
Doctor Islets,2007,8,568074,0.116666666666667,66275.3,0.05,28403.7
Doctor Islets,2007,9,563340,0.0666666666666667,37556,0,0
Doctor Islets,2007,10,562561,0.483333333333333,271904.483333333,0,0
Doctor Islets,2007,11,560753,0.15,84112.95,0.0333333333333333,18691.7666666667
Doctor Islets,2007,12,560117,0.766666666666667,429423.033333333,0.316666666666667,177370.383333333
Doctor Islets,2008,9,576054,0.0833333333333333,48004.5,0,0
Doctor Islets,2008,10,575581,0.8,460464.8,0,0
Doctor Islets,2008,11,574671,0.95,545937.45,0.116666666666667,67044.95
Doctor Islets,2008,12,574176,0.533333333333333,306227.2,0.833333333333333,478480
Doctor Islets,2009,1,573480,0.816666666666667,468342,0.133333333333333,76464
Doctor Islets,2009,2,572816,0.2,114563.2,0.0166666666666667,9546.93333333333
Doctor Islets,2009,3,572350,0.0833333333333333,47695.8333333333,0.0333333333333333,19078.3333333333
Doctor Islets,2009,4,571799,0.0333333333333333,19059.9666666667,0,0
Doctor Islets,2009,5,571368,0.1,57136.8,0,0
Doctor Islets,2009,6,570896,0.05,28544.8,0.0166666666666667,9514.93333333333
Doctor Islets,2009,7,570630,0,0,0,0
Doctor Islets,2009,8,537362,0,0,0,0
Doctor Islets,2009,9,459847,0.0333333333333333,15328.2333333333,0,0
Doctor Islets,2009,10,432929,0.166666666666667,72154.8333333333,0,0
Doctor Islets,2009,11,432389,1.53333333333333,662996.466666667,0,0
Doctor Islets,2010,5,493372,0.45,222017.4,0.533333333333333,263131.733333333
Doctor Islets,2010,6,483747,0.316666666666667,153186.55,0.0666666666666667,32249.8
Doctor Islets,2010,7,480210,0.366666666666667,176077,0.0166666666666667,8003.5
Doctor Islets,2010,8,478360,0.266666666666667,127562.666666667,0,0
Doctor Islets,2010,9,477820,0.166666666666667,79636.6666666667,0,0
Doctor Islets,2010,10,477168,0.116666666666667,55669.6,0,0
Doctor Islets,2010,11,476850,0.25,119212.5,0,0
Doctor Islets,2010,12,461414,0.383333333333333,176875.366666667,0,0
Doctor Islets,2011,1,457041,0.0666666666666667,30469.4,0.0166666666666667,7617.35
Doctor Islets,2011,2,456640,0.05,22832,0.0166666666666667,7610.66666666667
Doctor Islets,2011,3,456112,0,0,0,0
Doctor Islets,2011,4,455767,0.01,4557.67,0.015,6836.505
Doctor Islets,2011,5,455384,0.266666666666667,121435.733333333,0.208333333333333,94871.6666666667
Doctor Islets,2011,6,454781,0.65,295607.65,0.133333333333333,60637.4666666667
Doctor Islets,2011,7,454032,0.05,22701.6,0.0166666666666667,7567.2
Doctor Islets,2011,8,452929,0.15,67939.35,0,0
Doctor Islets,2011,9,452065,0.0833333333333333,37672.0833333333,0,0
Doctor Islets,2011,10,450646,0.316666666666667,142704.566666667,0,0
Doctor Islets,2011,11,449998,0.13,58499.74,0.08,35999.84
Doctor Islets,2011,12,448800,1.53333333333333,688160,0,0
Doctor Islets,2012,5,597603,0.0916666666666667,54780.275,0.108333333333333,64740.325
Doctor Islets,2012,7,590650,0.133333333333333,78753.3333333333,0,0
Doctor Islets,2012,8,586055,0.0166666666666667,9767.58333333333,0,0
Doctor Islets,2012,9,585171,0.0466666666666667,27307.98,0,0
Doctor Islets,2012,10,584787,0,0,0,0
Doctor Islets,2012,11,584609,0.35,204613.15,0,0
Doctor Islets,2012,12,581272,0.266666666666667,155005.866666667,0.0833333333333333,48439.3333333333
Doctor Islets,2013,1,557659,0.366666666666667,204474.966666667,3.5,1951806.5
Doctor Islets,2013,2,552862,0.05,27643.1,0,0
Doctor Islets,2013,3,548586,0.0444444444444444,24381.6,0,0
Doctor Islets,2013,4,538906,0.05,26945.3,0,0
Doctor Islets,2013,5,530512,0.0333333333333333,17683.7333333333,0.0333333333333333,17683.7333333333
Doctor Islets,2013,6,527295,0.0583333333333333,30758.875,0,0
Doctor Islets,2013,7,525346,0.0333333333333333,17511.5333333333,0,0
Doctor Islets,2013,8,522416,0.133333333333333,69655.4666666667,0,0
Doctor Islets,2013,9,521642,0.283333333333333,147798.566666667,0.00833333333333333,4347.01666666667
Doctor Islets,2013,10,468532,0.7,327972.4,0.18,84335.76
Doctor Islets,2013,11,416397,1.16666666666667,485796.5,0.0666666666666667,27759.8
Doctor Islets,2013,12,415510,1.60714285714286,667783.928571429,0.0857142857142857,35615.1428571429
Doctor Islets,2014,5,1099550,0.8,879640,0,0
Doctor Islets,2014,6,1096177,0.383333333333333,420201.183333333,0.0583333333333333,63943.6583333333
Doctor Islets,2014,7,1088470,0.15,163270.5,0.05,54423.5
Doctor Islets,2014,8,1086339,0.216666666666667,235373.45,0,0
Doctor Islets,2014,9,1084864,0.216666666666667,235053.866666667,0,0
Doctor Islets,2014,10,1082966,0.166666666666667,180494.333333333,0.0166666666666667,18049.4333333333
Doctor Islets,2014,11,1081448,0.133333333333333,144193.066666667,0,0
Doctor Islets,2014,12,459299,0.516666666666667,237304.483333333,0.116666666666667,53584.8833333333
Doctor Islets,2015,1,454514,2.66666666666667,1212037.33333333,0.6,272708.4
Doctor Islets,2015,2,449570,3.18333333333333,1431131.16666667,0.1,44957
Doctor Islets,2015,3,447736,0.719444444444444,322121.177777778,0.0666666666666667,29849.0666666667
Doctor Islets,2015,4,447239,0.183333333333333,81993.8166666667,0.0333333333333333,14907.9666666667
Doctor Islets,2015,5,446811,0.0666666666666667,29787.4,0.241666666666667,107979.325
Doctor Islets,2015,6,444708,0.691666666666667,307589.7,0.25,111177
Doctor Islets,2015,7,443131,0.3,132939.3,0.0166666666666667,7385.51666666667
Doctor Islets,2015,8,441571,0.366666666666667,161909.366666667,0,0
Doctor Islets,2015,9,262552,0.2,52510.4,0,0
Doctor Islets,2015,10,129804,0.233333333333333,30287.6,0,0
Doctor Islets,2016,4,376198,2.41666666666667,909145.166666667,0.566666666666667,213178.866666667
Doctor Islets,2016,5,520160,1.34285714285714,698500.571428571,1.24285714285714,646484.571428571
Doctor Islets,2016,6,515779,0.266666666666667,137541.066666667,0.133333333333333,68770.5333333333
Doctor Islets,2016,7,513175,0.141666666666667,72699.7916666667,0.0166666666666667,8552.91666666667
Doctor Islets,2016,8,511462,0.45,230157.9,0.05,25573.1
Doctor Islets,2016,9,510187,0.491666666666667,250841.941666667,0.00833333333333333,4251.55833333333
Doctor Islets,2016,10,507763,0.455555555555556,231314.255555556,0.0166666666666667,8462.71666666667
Doctor Islets,2016,11,504039,1.09166666666667,550242.575,0.325,163812.675
Doctor Islets,2016,12,499760,1.575,787122,0.247222222222222,123551.777777778
Doctor Islets,2017,1,329235,2.14166666666667,705111.625,0.275,90539.625
Doctor Islets,2017,2,245130,1.375,337053.75,2.025,496388.25
Doctor Islets,2017,3,405853,0.457692307692308,185755.796153846,0.0384615384615385,15609.7307692308
Doctor Islets,2017,4,388695,0.195,75795.525,0.095,36926.025
Doctor Islets,2017,5,483225,0.158333333333333,76510.625,0.0916666666666667,44295.625
Doctor Islets,2017,6,384941,0.15,57741.15,0.07,26945.87
Doctor Islets,2017,7,383020,0.2,76604,0.045,17235.9
Doctor Islets,2017,8,320290,0.14,44840.6,0.07,22420.3
Doctor Islets,2017,9,267111,0.196153846153846,52394.85,0.0153846153846154,4109.4
Doctor Islets,2017,10,232016,0.477777777777778,110852.088888889,0,0
Doctor Islets,2017,11,113970,0.44,50146.8,0.115,13106.55
Doctor Islets,2018,5,712526,0,0,0.0166666666666667,11875.4333333333
Doctor Islets,2018,6,711517,0.1,71151.7,0,0
Doctor Islets,2018,7,707019,0.0958333333333333,67755.9875,0.0166666666666667,11783.65
Doctor Islets,2018,8,704009,0.095,66880.855,0.005,3520.045
Doctor Islets,2018,9,701124,0.0409090909090909,28682.3454545455,0.00909090909090909,6373.85454545455
Doctor Islets,2018,10,697359,0.0769230769230769,53643,0.0730769230769231,50960.85
Doctor Islets,2018,11,693096,0.51,353478.96,0.365,252980.04
Doctor Islets,2018,12,593150,0.453846153846154,269198.846153846,0.823076923076923,488208.076923077
Doctor Islets,2019,1,390825,0.6,234495,3.27727272727273,1280840.11363636
Doctor Islets,2019,2,370094,0.670833333333333,248271.391666667,4.44583333333333,1645376.24166667
Doctor Islets,2019,3,368427,0.283333333333333,104387.65,0.983333333333333,362286.55
Doctor Islets,2019,4,367380,0.14375,52810.875,0.171875,63143.4375
Doctor Islets,2019,5,365909,0.0590909090909091,21621.8954545455,0.168181818181818,61539.2409090909
Doctor Islets,2019,6,364238,0.07,25496.66,0.16,58278.08
Doctor Islets,2019,7,361386,0.133333333333333,48184.8,0.0125,4517.325
Doctor Islets,2019,8,358330,0.125,44791.25,0.0125,4479.125
Doctor Islets,2019,9,351744,0.213636363636364,75145.3090909091,0.00454545454545455,1598.83636363636
Doctor Islets,2019,10,294102,0.47,138227.94,0.055,16175.61
Glacier Falls,2003,10,653730,4.68333333333333,3061635.5,0.15,98059.5
Glacier Falls,2003,11,653014,4.66666666666667,3047398.66666667,1.36666666666667,892452.466666667
Glacier Falls,2003,12,651886,3.46666666666667,2259871.46666667,0.833333333333333,543238.333333333
Glacier Falls,2004,1,651236,0.4,260494.4,0,0
Glacier Falls,2004,2,650995,0.1,65099.5,0,0
Glacier Falls,2004,3,650270,0.0333333333333333,21675.6666666667,0.0333333333333333,21675.6666666667
Glacier Falls,2004,4,648700,0.488888888888889,317142.222222222,0.0222222222222222,14415.5555555556
Glacier Falls,2004,5,647541,2.75,1780737.75,0.65,420901.65
Glacier Falls,2004,6,646913,10.2666666666667,6641640.13333333,0.933333333333333,603785.466666667
Glacier Falls,2004,7,634237,6.53333333333333,4143681.73333333,0.0666666666666667,42282.4666666667
Glacier Falls,2004,8,627289,0.733333333333333,460011.933333333,0,0
Glacier Falls,2004,9,508572,0.533333333333333,271238.4,0.1,50857.2
Glacier Falls,2005,9,511371,0.0833333333333333,42614.25,0,0
Glacier Falls,2005,10,616107,2.01,1238375.07,3.41,2100924.87
Glacier Falls,2005,11,613982,1.53333333333333,941439.066666667,1.01666666666667,624215.033333333
Glacier Falls,2005,12,613098,1.91666666666667,1175104.5,0.716666666666667,439386.9
Glacier Falls,2006,1,612467,1.8,1102440.6,0.366666666666667,224571.233333333
Glacier Falls,2006,2,611692,1.93333333333333,1182604.53333333,0,0
Glacier Falls,2007,8,617016,0.116666666666667,71985.2,0,0
Glacier Falls,2007,9,616385,1.75,1078673.75,0,0
Glacier Falls,2007,10,616036,1.91666666666667,1180735.66666667,0.0833333333333333,51336.3333333333
Glacier Falls,2007,11,615682,2.2,1354500.4,0.233333333333333,143659.133333333
Glacier Falls,2007,12,615525,2.06666666666667,1272085,0.15,92328.75
Glacier Falls,2008,1,615026,1.5,922539,0.25,153756.5
Glacier Falls,2008,3,614534,0.15,92180.1,0,0
Glacier Falls,2008,4,614204,0.05,30710.2,0,0
Glacier Falls,2008,5,613875,0,0,0.45,276243.75
Glacier Falls,2008,6,613529,0.116666666666667,71578.3833333333,0.15,92029.35
Glacier Falls,2008,7,376217,0.216666666666667,81513.6833333333,0.0833333333333333,31351.4166666667
Glacier Falls,2008,8,375874,0.383333333333333,144085.033333333,0,0
Glacier Falls,2008,9,375486,0.35,131420.1,0.0166666666666667,6258.1
Glacier Falls,2008,10,374854,1.1,412339.4,0.0333333333333333,12495.1333333333
Glacier Falls,2009,8,421123,0.3,126336.9,0,0
Glacier Falls,2009,9,420630,0.316666666666667,133199.5,0,0
Glacier Falls,2009,10,420154,3.55,1491546.7,0.05,21007.7
Glacier Falls,2009,11,419596,5.41666666666667,2272811.66666667,0.566666666666667,237771.066666667
Glacier Falls,2009,12,419368,2.23333333333333,936588.533333333,0.0833333333333333,34947.3333333333
Glacier Falls,2010,1,418920,0.216666666666667,90766,0,0
Glacier Falls,2010,2,418424,0.5,209212,0,0
Glacier Falls,2010,3,418133,0.5,209066.5,0.166666666666667,69688.8333333333
Glacier Falls,2010,4,417516,0.333333333333333,139172,0.316666666666667,132213.4
Glacier Falls,2010,5,417011,0.985714285714286,411053.7,3.83571428571429,1599535.05
Glacier Falls,2010,6,416538,0.25,104134.5,0.566666666666667,236038.2
Glacier Falls,2010,7,415782,0.05,20789.1,0.0666666666666667,27718.8
Glacier Falls,2010,8,414897,0.266666666666667,110639.2,0,0
Glacier Falls,2010,9,324718,0.483333333333333,156947.033333333,0.0666666666666667,21647.8666666667
Glacier Falls,2010,10,235038,0.55,129270.9,0.2,47007.6
Glacier Falls,2010,11,234778,0.566666666666667,133040.866666667,0.933333333333333,219126.133333333
Glacier Falls,2011,8,345353,0.0666666666666667,23023.5333333333,0,0
Glacier Falls,2011,9,344752,0.666666666666667,229834.666666667,0,0
Glacier Falls,2011,10,344543,1.6,551268.8,0.0333333333333333,11484.7666666667
Glacier Falls,2011,11,344165,1.56666666666667,539191.833333333,1.06666666666667,367109.333333333
Glacier Falls,2011,12,343819,2.25,773592.75,1.93333333333333,664716.733333333
Glacier Falls,2012,1,343517,1.6,549627.2,0,0
Glacier Falls,2012,2,343087,0.416666666666667,142952.916666667,0.0333333333333333,11436.2333333333
Glacier Falls,2012,3,342323,0.0367647058823529,12585.4044117647,0.0147058823529412,5034.16176470588
Glacier Falls,2012,4,341573,0.175,59775.275,0,0
Glacier Falls,2012,5,340533,0.0833333333333333,28377.75,0.2,68106.6
Glacier Falls,2012,7,222233,1.58333333333333,351868.916666667,0,0
Glacier Falls,2013,5,580994,0.05,29049.7,0,0
Glacier Falls,2013,6,935922,0.316666666666667,296375.3,0,0
Glacier Falls,2013,7,933527,0.0166666666666667,15558.7833333333,0.0166666666666667,15558.7833333333
Glacier Falls,2013,8,926156,0.133333333333333,123487.466666667,0,0
Glacier Falls,2013,9,920539,2.71666666666667,2500797.61666667,0.1,92053.9
Glacier Falls,2013,10,917098,3.65833333333333,3355050.18333333,0.0166666666666667,15284.9666666667
Glacier Falls,2013,11,914406,2.625,2400315.75,0.1,91440.6
Glacier Falls,2013,12,448323,3.275,1468257.825,0.591666666666667,265257.775
Glacier Falls,2014,1,447041,5.95,2659893.95,0.866666666666667,387435.533333333
Glacier Falls,2014,2,446103,0.766666666666667,342012.3,0.0666666666666667,29740.2
Glacier Falls,2014,3,441776,0.0416666666666667,18407.3333333333,0,0
Glacier Falls,2014,4,434435,0.00833333333333333,3620.29166666667,0.025,10860.875
Glacier Falls,2014,5,430524,0.0461538461538462,19870.3384615385,0.0153846153846154,6623.44615384615
Glacier Falls,2014,6,424421,0.075,31831.575,0.166666666666667,70736.8333333333
Glacier Falls,2014,8,421829,1.33333333333333,562438.666666667,0,0
Glacier Falls,2014,9,416513,2.08333333333333,867735.416666667,0,0
Glacier Falls,2014,10,412357,2.25,927803.25,0,0
Glacier Falls,2014,11,410037,2.51666666666667,1031926.45,0.0166666666666667,6833.95
Glacier Falls,2015,4,895067,0.325,290896.775,0.183333333333333,164095.616666667
Glacier Falls,2015,5,846596,2.10833333333333,1784906.56666667,1.6,1354553.6
Glacier Falls,2015,6,875777,1.25833333333333,1102019.39166667,2.83333333333333,2481368.16666667
Glacier Falls,2015,7,869810,0.116666666666667,101477.833333333,0,0
Glacier Falls,2015,8,867111,0.0333333333333333,28903.7,0,0
Glacier Falls,2015,9,864626,0.2,172925.2,0.0833333333333333,72052.1666666667
Glacier Falls,2015,10,863258,0.916666666666667,791319.833333333,0,0
Glacier Falls,2015,11,646540,1.05,678867,0.233333333333333,150859.333333333
Glacier Falls,2015,12,430412,1.25,538015,0,0
Glacier Falls,2016,1,429996,1.675,720243.3,0.708333333333333,304580.5
Glacier Falls,2016,2,432582,1.48214285714286,641148.321428571,0.274553571428571,118766.933035714
Glacier Falls,2016,3,290041,0.444214876033058,128840.526859504,0.0413223140495868,11985.1652892562
Glacier Falls,2016,4,293634,0.0333333333333333,9787.8,0.1,29363.4
Glacier Falls,2016,5,295970,0.263257575757576,77916.3446969697,0,0
Glacier Falls,2016,6,327480,0.332159624413146,108775.633802817,1.38615023474178,453936.478873239
Glacier Falls,2016,7,242773,1.01666666666667,246819.216666667,0.375,91039.875
Glacier Falls,2016,8,204379,2.53125,517334.34375,0.08125,16605.79375
Glacier Falls,2016,9,168051,1.74166666666667,292688.825,0.0416666666666667,7002.125
Glacier Falls,2016,11,110601,2.73333333333333,302309.4,0.0833333333333333,9216.75
Glacier Falls,2017,4,838122,0.025,20953.05,0.025,20953.05
Glacier Falls,2017,5,877643,0.26,228187.18,1.01,886419.43
Glacier Falls,2017,6,874992,1.15,1006240.8,3.275,2865598.8
Glacier Falls,2017,7,869876,0.2875,250089.35,1.5875,1380928.15
Glacier Falls,2017,8,871616,0.365,318139.84,0.325,283275.2
Glacier Falls,2017,9,738107,0.5,369053.5,0.134259259259259,99097.6990740741
Glacier Falls,2017,10,651051,0.969230769230769,631018.661538462,0.169230769230769,110177.861538462
Glacier Falls,2017,11,649771,1.37,890186.27,0.555,360622.905
Glacier Falls,2017,12,511420,1.83,935898.6,0.455,232696.1
Glacier Falls,2018,1,430831,2.04,878895.24,0.57,245573.67
Glacier Falls,2018,2,428952,2.005,860048.76,0.64,274529.28
Glacier Falls,2018,3,427449,1.03351955307263,441776.899441341,0.0726256983240224,31043.782122905
Glacier Falls,2018,4,426220,0.1125,47949.75,0.00416666666666667,1775.91666666667
Glacier Falls,2018,5,424778,0.165,70088.37,0.125,53097.25
Glacier Falls,2018,6,422668,0.47,198653.96,0.215,90873.62
Glacier Falls,2018,7,416979,0.707692307692308,295092.830769231,0.511538461538461,213300.796153846
Glacier Falls,2018,8,403314,1.07,431545.98,0.21,84695.94
Glacier Falls,2018,9,375973,0.883333333333333,332109.483333333,0.0666666666666667,25064.8666666667
Glacier Falls,2018,10,144071,1.01666666666667,146472.183333333,0.0833333333333333,12005.9166666667
Humphrey Rocks,2003,10,608752,0.333333333333333,202917.333333333,0.0666666666666667,40583.4666666667
Humphrey Rocks,2003,11,608338,0.7,425836.6,0,0
Humphrey Rocks,2004,1,606972,1.06666666666667,647436.8,0.0666666666666667,40464.8
Humphrey Rocks,2004,2,605818,2.43333333333333,1474157.13333333,0.5,302909
Humphrey Rocks,2004,3,605367,2.4,1452880.8,0.533333333333333,322862.4
Humphrey Rocks,2004,4,604337,6.73333333333333,4069202.46666667,2,1208674
Humphrey Rocks,2004,5,602884,2.7,1627786.8,0.0666666666666667,40192.2666666667
Humphrey Rocks,2004,6,600652,1.3,780847.6,0,0
Humphrey Rocks,2004,7,601239,0.0666666666666667,40082.6,0,0
Humphrey Rocks,2004,8,600661,0.0666666666666667,40044.0666666667,0,0
Humphrey Rocks,2004,9,597799,0.0666666666666667,39853.2666666667,0.0333333333333333,19926.6333333333
Humphrey Rocks,2004,10,596085,0.0333333333333333,19869.5,0,0
Humphrey Rocks,2004,11,594518,0.1,59451.8,0.0333333333333333,19817.2666666667
Humphrey Rocks,2004,12,592832,2.18333333333333,1294349.86666667,0.0333333333333333,19761.0666666667
Humphrey Rocks,2005,1,591334,3.56666666666667,2109091.26666667,0.0333333333333333,19711.1333333333
Humphrey Rocks,2005,2,488962,2.16666666666667,1059417.66666667,0,0
Humphrey Rocks,2005,3,405694,0.333333333333333,135231.333333333,0,0
Humphrey Rocks,2005,10,710033,1.3,923042.9,0.0833333333333333,59169.4166666667
Humphrey Rocks,2005,11,709621,1.91666666666667,1360106.91666667,0.05,35481.05
Humphrey Rocks,2005,12,708961,1.63333333333333,1157969.63333333,0.15,106344.15
Humphrey Rocks,2006,1,707801,1.81666666666667,1285838.48333333,0.233333333333333,165153.566666667
Humphrey Rocks,2006,2,706984,5.13333333333333,3629184.53333333,0.383333333333333,271010.533333333
Humphrey Rocks,2006,3,706048,1.68888888888889,1192436.62222222,0.0611111111111111,43147.3777777778
Humphrey Rocks,2006,4,705138,0.516666666666667,364321.3,0.0333333333333333,23504.6
Humphrey Rocks,2006,5,704380,0.144444444444444,101743.777777778,0.0333333333333333,23479.3333333333
Humphrey Rocks,2006,6,699487,0.27,188861.49,0.0466666666666667,32642.7266666667
Humphrey Rocks,2006,7,674384,0.166666666666667,112397.333333333,0,0
Humphrey Rocks,2006,8,659596,0.316666666666667,208872.066666667,0,0
Humphrey Rocks,2006,10,575388,0.15,86308.2,0,0
Humphrey Rocks,2006,11,573236,0.916666666666667,525466.333333333,0.266666666666667,152862.933333333
Humphrey Rocks,2006,12,495415,1.93333333333333,957802.333333333,0,0
Humphrey Rocks,2007,1,493808,2.41666666666667,1193369.33333333,0.05,24690.4
Humphrey Rocks,2007,2,435430,2.38333333333333,1037774.83333333,0.05,21771.5
Humphrey Rocks,2007,9,682101,0.0666666666666667,45473.4,0,0
Humphrey Rocks,2007,10,681306,0.283333333333333,193036.7,0,0
Humphrey Rocks,2007,11,680992,0.333333333333333,226997.333333333,0,0
Humphrey Rocks,2007,12,680830,1.03333333333333,703524.333333333,0,0
Humphrey Rocks,2008,1,680572,0.466666666666667,317600.266666667,0,0
Humphrey Rocks,2008,2,679888,0.783333333333333,532578.933333333,0,0
Humphrey Rocks,2008,3,679583,0.133333333333333,90611.0666666667,0,0
Humphrey Rocks,2008,4,679010,0.0166666666666667,11316.8333333333,0,0
Humphrey Rocks,2008,5,678646,0,0,0,0
Humphrey Rocks,2008,6,678332,0,0,0,0
Humphrey Rocks,2008,7,678009,0.0666666666666667,45200.6,0,0
Humphrey Rocks,2008,8,677648,0,0,0,0
Humphrey Rocks,2008,9,677497,0.0166666666666667,11291.6166666667,0,0
Humphrey Rocks,2008,10,676212,0.0833333333333333,56351,0,0
Humphrey Rocks,2008,11,674995,0.116666666666667,78749.4166666667,0,0
Humphrey Rocks,2009,1,512044,0.358333333333333,183482.433333333,0.075,38403.3
Humphrey Rocks,2009,7,365522,0.0166666666666667,6092.03333333333,0,0
Humphrey Rocks,2009,8,539806,0.0833333333333333,44983.8333333333,0,0
Humphrey Rocks,2009,9,539626,0.333333333333333,179875.333333333,0.0166666666666667,8993.76666666667
Humphrey Rocks,2009,10,539222,0.55,296572.1,0,0
Humphrey Rocks,2009,11,538802,0.466666666666667,251440.933333333,0.0166666666666667,8980.03333333333
Humphrey Rocks,2009,12,538389,0.0333333333333333,17946.3,0,0
Humphrey Rocks,2010,1,537760,0.4,215104,0,0
Humphrey Rocks,2010,2,536660,0,0,0,0
Humphrey Rocks,2010,3,534636,0.183333333333333,98016.6,0.0166666666666667,8910.6
Humphrey Rocks,2010,4,531980,0.0333333333333333,17732.6666666667,0.0166666666666667,8866.33333333333
Humphrey Rocks,2010,5,530211,0.9,477189.9,2,1060422
Humphrey Rocks,2010,6,528050,0.933333333333333,492846.666666667,1.1,580855
Humphrey Rocks,2010,7,525140,0.483333333333333,253817.666666667,0,0
Humphrey Rocks,2010,8,521398,0.8,417118.4,0,0
Humphrey Rocks,2010,9,382390,0.816666666666667,312285.166666667,0,0
Humphrey Rocks,2010,10,260874,0.5,130437,0,0
Humphrey Rocks,2010,11,259284,0.283333333333333,73463.8,0,0
Humphrey Rocks,2011,8,581108,0.1,58110.8,0,0
Humphrey Rocks,2011,9,580720,0.0645161290322581,37465.8064516129,0.0483870967741935,28099.3548387097
Humphrey Rocks,2011,10,580517,0.2,116103.4,0,0
Humphrey Rocks,2011,11,580168,0.306451612903226,177793.419354839,0.112903225806452,65502.8387096774
Humphrey Rocks,2011,12,579618,0.983333333333333,569957.7,0.666666666666667,386412
Humphrey Rocks,2012,1,579019,0.383333333333333,221957.283333333,0,0
Humphrey Rocks,2012,2,578580,0.15,86787,0.0166666666666667,9643
Humphrey Rocks,2012,3,578169,0.183333333333333,105997.65,0.00833333333333333,4818.075
Humphrey Rocks,2012,4,577621,0.216666666666667,125151.216666667,0.166666666666667,96270.1666666667
Humphrey Rocks,2012,5,576512,0.291666666666667,168149.333333333,1.06666666666667,614946.133333333
Humphrey Rocks,2012,7,574649,0.55,316056.95,0,0
Humphrey Rocks,2012,8,573304,0.25,143326,0,0
Humphrey Rocks,2012,9,572052,0.3,171615.6,0,0
Humphrey Rocks,2012,10,517446,0.433333333333333,224226.6,0,0
Humphrey Rocks,2012,11,444550,0.65,288957.5,0,0
Humphrey Rocks,2013,7,506219,0.0833333333333333,42184.9166666667,0,0
Humphrey Rocks,2013,8,506219,0.064,32398.016,0,0
Humphrey Rocks,2013,9,505667,0.65,328683.55,0,0
Humphrey Rocks,2013,10,505215,2.36666666666667,1195675.5,0,0
Humphrey Rocks,2013,11,504663,2.35,1185958.05,0,0
Humphrey Rocks,2013,12,504145,2.45,1235155.25,0,0
Humphrey Rocks,2014,1,503653,4.03333333333333,2031400.43333333,0,0
Humphrey Rocks,2014,2,503052,0.858333333333333,431786.3,0,0
Humphrey Rocks,2014,3,502587,0.175,87952.725,0.00833333333333333,4188.225
