MLE,lower,upper,year,predict,scenario
94.76752619534066,80.21679856686765,98.57055070517816,2002,estimated,scen2
67.25164433464408,45.8329094375341,79.95712004577788,2003,estimated,scen2
13.420357421709738,7.609375247552919,18.737533803773797,2004,estimated,scen2
75.062077097532807,53.36118584388663,86.46097648293521,2005,estimated,scen2
45.28870439751182,28.196048953863695,58.035890148062855,2006,estimated,scen2
13.630097525510376,7.732365919256823,19.020824539055926,2007,estimated,scen2
11.873907970484243,6.706657188263998,16.639487517290263,2008,estimated,scen2
8.44762973515868,4.731698743485568,11.933424031302787,2009,estimated,scen2
1.746933467154399,0.9632495345320624,2.5055752077605686,2010,estimated,scen2
10.356414756620126,5.827757670332145,14.564922437513772,2011,estimated,scen2
3.048117479257062,1.685741415996489,4.359152927328614,2012,estimated,scen2
6.762860237422508,3.7728030154174697,9.590607799873574,2013,estimated,scen2
4.841191422416069,2.688560548089014,6.895551392030952,2014,estimated,scen2
3.5991120579254576,1.993001614875356,5.140778956628955,2015,estimated,scen2
24.792148353093037,14.485046288717129,33.64995045962868,2016,estimated,scen2
8.871522734815029,6.19692009879752,11.469864556495457,2017,predicted,scen2
10.409811898286181,7.2885781788967545,13.425965793208539,2018,predicted,scen2
3.271011754820774,2.203088086334981,4.3272739000601135,2019,predicted,scen2
15.386465111911852,10.889909691861222,19.656121304549835,2020,predicted,scen2
6.8457795120010045,4.733571969059658,8.911156069497938,2021,predicted,scen2
