log_survival,S,population_name,year_fac,area,.fitted,.resid,.hat,.cooksd,.fixed,.mu,.offset,.sqrtXwt,.sqrtrwt,.weights,.wtres
1.2935849630156233,3000,roscoe_creek_even,1956,7,1.4689992626274684,-0.17541429961184507,0.0663541025648421,1.1344191172889417e-5,0.6073467882058956,1.4689992626274684,0,1,1,1,-0.17541429961184507
1.139434283188365,15000,cooper_inlet_creeks_even,1956,7,1.1350378054805152,0.0043964777078497885,0.09005854235172639,1.0182347524733367e-8,0.27338533105894247,1.1350378054805152,0,1,1,1,0.0043964777078497885
0.19497267434751353,9000,quartcha_creek_even,1956,7,0.1417440559171288,0.05322861843038473,0.15751149776917986,3.045193119707825e-6,-0.719908418504444,0.1417440559171288,0,1,1,1,0.05322861843038473
1.139434283188365,750,goat_bushu_creek_even,1956,7,0.7808985413656278,0.3585357418227373,0.1257050099447174,1.0238625911601695e-4,-0.08075393305594503,0.7808985413656278,0,1,1,1,0.3585357418227373
2.4611901231706845,20000,neekas_creek_even,1956,7,1.4759913770975108,0.9851987460731737,0.06564831324420703,3.5350102761103774e-4,0.614338902675938,1.4759913770975108,0,1,1,1,0.9851987460731737
-1.6331544390514163,400,walker_lake_creek_even,1956,7,1.4989579271138616,-3.132112366165278,0.07318686256554022,0.004048215204004034,0.6373054526922888,1.4989579271138616,0,1,1,1,-3.132112366165278
0.08961215868968733,10000,kadjusdis_river_even,1956,7,0.6623186562045504,-0.5727064975148631,0.16139569613835275,3.645710272696121e-4,-0.19933381821702234,0.6623186562045504,0,1,1,1,-0.5727064975148631
1.139434283188365,3500,pine_river_even,1956,7,0.8791213823855879,0.26031290080277714,0.12949106565831217,5.608217893038567e-5,0.017468907964015123,0.8791213823855879,0,1,1,1,0.26031290080277714
2.1202635362000914,75,lee_creek_even,1956,7,1.775728073482079,0.3445354627180124,0.061161496871022285,3.989370180372415e-5,0.9140755990605063,1.775728073482079,0,1,1,1,0.3445354627180124
1.139434283188365,35000,clatse_creek_even,1956,7,1.0086023382870999,0.13083194490126515,0.10194800551273529,1.0479571403604185e-5,0.1469498638655271,1.0086023382870999,0,1,1,1,0.13083194490126515
1.139434283188365,3500,tankeeah_river_even,1956,7,0.02116700021664908,1.118267282971716,0.21742865985747964,0.0021503061901626285,-0.8404854742049237,0.02116700021664908,0,1,1,1,1.118267282971716
1.139434283188365,15000,kunsoot_river_even,1956,7,1.1553963982423947,-0.01596211505402967,0.10004824995477346,1.5243759004753536e-7,0.2937439238208218,1.1553963982423947,0,1,1,1,-0.01596211505402967
2.7488721956224653,1500,bullock_channel_creeks_even,1956,7,1.1356722646226647,1.6131999309998006,0.11149786899554201,0.0017801892116703522,0.2740197902010918,1.1356722646226647,0,1,1,1,1.6131999309998006
1.2447947988461914,13500,kwakusdis_river_even,1956,7,0.8322985936414493,0.41249620520474206,0.11422657719949544,1.1997808992281772e-4,-0.029353880780123465,0.8322985936414493,0,1,1,1,0.41249620520474206
-0.9282193027394289,5500,roscoe_creek_odd,1957,7,0.5050435608863237,-1.4332628636257527,0.0762909956268113,8.896000131569481e-4,0.712328241416754,0.5050435608863237,0,1,1,1,-1.4332628636257527
-0.39107637065606476,7500,cooper_inlet_creeks_odd,1957,7,0.11499377501424562,-0.5060701456703104,0.10580118807929205,1.6412848445071133e-4,0.3222784555446758,0.11499377501424562,0,1,1,1,-0.5060701456703104
-0.1397619423751586,12500,quartcha_creek_odd,1957,7,-0.4988099872507074,0.3590480448755488,0.16375106887188165,1.4620367200390746e-4,-0.2915253067202772,-0.4988099872507074,0,1,1,1,0.3590480448755488
2.316973830446145,25000,neekas_creek_odd,1957,7,0.11426792181322903,2.202705908632916,0.08179480418676001,0.002279813990541887,0.32155260234365923,0.11426792181322903,0,1,1,1,2.202705908632916
-0.011928570865273732,2200,kadjusdis_river_odd,1957,7,0.33735385438748994,-0.34928242525276365,0.08542485865274373,6.0344696420676996e-5,0.5446385349179201,0.33735385438748994,0,1,1,1,-0.34928242525276365
-0.47623417899637155,3500,pine_river_odd,1957,7,-0.7289566528194755,0.252722473823104,0.14510913138915324,6.141879193795522e-5,-0.5216719722890453,-0.7289566528194755,0,1,1,1,0.252722473823104
-1.9315214116032136,750,lee_creek_odd,1957,7,0.6567278608538656,-2.5882492724570794,0.0741122433724388,0.0028049532930337767,0.8640125413842958,0.6567278608538656,0,1,1,1,-2.5882492724570794
0.47642419704865846,36000,clatse_creek_odd,1957,7,-0.6405825723809575,1.117006769429616,0.16478067601502963,0.0014274370949291318,-0.43329789185052725,-0.6405825723809575,0,1,1,1,1.117006769429616
-0.23507212217948356,550,tankeeah_river_odd,1957,7,0.7146634577834001,-0.9497355799628837,0.07318599536253333,3.7221029489016674e-4,0.9219481383138304,0.7146634577834001,0,1,1,1,-0.9497355799628837
-1.0560526742493137,12500,kunsoot_river_odd,1957,7,-0.926301364478739,-0.1297513097705747,0.19766831604387075,2.5037607892886196e-5,-0.7190166839483088,-0.926301364478739,0,1,1,1,-0.1297513097705747
0.7277386253295646,7000,kwakusdis_river_odd,1957,7,0.20212921986030724,0.5256094054692573,0.08604636480055772,1.3783217525764672e-4,0.40941390039073744,0.20212921986030724,0,1,1,1,0.5256094054692573
0.08338160893905121,15000,cooper_inlet_creeks_even,1958,7,-0.41746135824578234,0.5008429671848336,0.10571145952270142,1.605868772919181e-4,0.27338533105894247,-0.41746135824578234,0,1,1,1,0.5008429671848336
