#,Farm # on  Map,Date,Month,Year,age (d in SW),Year class,SW entry date,# fish,Chalimus/ fish,Motile L.s./ fish,Female L.s./ fish,Fe L.s. 3-month series,L. salmonis estimate type,Caligus/ fish,Treatment,T (°C),Salinity (ppt),Comments,# Motiles (L.salmonis),# Female L.salmonis,# Caligus spp.,0.4*(# Caligus/ farm)
1,1,Jan-00,Jan,2000,640,2,Apr-98,"200,000",,,,,,,,,,No data on # of fish,,,,
2,1,Feb-00,Feb,2000,671,2,Apr-98,"100,000",,,,,,,,,,,,,,
3,1,Mar-00,Mar,2000,700,2,Apr-98,"50,000",,,,,,,,,,Harvest sized fish,,,,
4,1,Apr-00,Apr,2000,,,,,,,,,,,,,,Empty (no fish),,,,
5,1,May-00,May,2000,,,,,,,,,,,,,,,,,,
6,1,Jun-00,Jun,2000,,,,,,,,,,,,,,,,,,
7,1,Jul-00,Jul,2000,,,,,,,,,,,,,,,,,,
8,1,Aug-00,Aug,2000,,,,,,,,,,,,,,,,,,
9,1,Sep-00,Sep,2000,,,,,,,,,,,,,,,,,,
10,1,Oct-00,Oct,2000,0,1,Oct-00,"126,496",,,,,,,,,,,,,,
11,1,Nov-00,Nov,2000,31,1,Oct-00,"285,626",,,,,,,,,,,,,,
12,1,Dec-00,Dec,2000,61,1,Oct-00,"279,610",,,,,,,,,,,,,,
13,1,Jan-01,Jan,2001,92,1,Oct-00,"907,334",,,,,,,,,,,,,,
14,1,Feb-01,Feb,2001,123,1,Oct-00,"1,085,128",,,,,,,,,,,,,,
15,1,Mar-01,Mar,2001,151,1,Oct-00,"1,079,261",,,,,,,,,,,,,,
16,1,Apr-01,Apr,2001,182,1,Oct-00,"1,111,684",3.72,2.96,0.88,,,2.00,,,,,"3,294,290","981,988","2,223,368","889,347"
17,1,May-01,May,2001,212,1,Oct-00,"1,106,770",0.83,4.45,1.65,,,0.00,1,,,,"4,928,289","1,826,171",0,0
18,1,Jun-01,Jun,2001,243,1,Oct-00,"1,101,246",,,,,,,,,,,,,,
19,1,Jul-01,Jul,2001,273,1,Oct-00,"1,092,686",,,,,,,,,,,,,,
20,1,Aug-01,Aug,2001,304,1,Oct-00,"1,084,737",,,,,,,,,,,,,,
21,1,Sep-01,Sep,2001,335,1,Oct-00,"1,083,209",1.00,1.00,0.00,,,0.00,,,,,"1,083,209",0,0,0
22,1,Oct-01,Oct,2001,365,2,Oct-00,"1,081,913",0.50,3.60,1.20,0,,1.10,,,,,"3,894,887","1,298,296","1,190,104","476,042"
23,1,Nov-01,Nov,2001,396,2,Oct-00,"1,080,830",0.50,6.90,4.00,1,,0.60,,,,,"7,457,727","4,323,320","648,498","259,399"
24,1,Dec-01,Dec,2001,426,2,Oct-00,"1,080,176",1.55,6.61,3.45,,,0.00,,,,,"7,139,963","3,726,607",0,0
25,1,Jan-02,Jan,2002,457,2,Oct-00,"1,079,348",,,4.00,,1,0.00,,,,,0,"4,317,392",0,0
26,1,Feb-02,Feb,2002,488,2,Oct-00,"1,078,273",0.59,6.28,2.57,,,0.00,0.5,,,Partial farm tx,"6,775,868","2,766,849",0,0
27,1,Mar-02,Mar,2002,516,2,Oct-00,"1,077,375",1.20,8.76,3.40,,,0.00,0.5,,,Partial farm tx,"9,434,214","3,663,075",0,0
28,1,Apr-02,Apr,2002,547,2,Oct-00,"1,075,954",,,,,,,,,,,,,,
29,1,May-02,May,2002,577,2,Oct-00,"1,073,211",,,,,,,,,,,,,,
30,1,Jun-02,Jun,2002,608,2,Oct-00,"602,421",0.30,0.25,0.00,,,0.00,,,,"moved 470,000 to farm #2","150,605",0,0,0
31,1,Jul-02,Jul,2002,638,2,Oct-00,"597,562",,,,,,,,,,harvest started,,,,
32,1,Aug-02,Aug,2002,669,2,Oct-00,"571,729",,,,,,,,,,,,,,
33,1,Sep-02,Sep,2002,700,2,Oct-00,"488,926",,,,,,,,,,,,,,
34,1,Oct-02,Oct,2002,730,3,Oct-00,"403,562",,,,,,,,,,,,,,
35,1,Nov-02,Nov,2002,761,3,Oct-00,"196,819",,,,,,,,,,,,,,
36,1,Dec-02,Dec,2002,791,3,Oct-00,"24,975",,,,,,,,,,,,,,
37,1,Jan-03,Jan,2003,,,,,,,,,,,,,,smolt entry,,,,
38,1,Feb-03,Feb,2003,0,1,Feb-03,"9,785",,,0.00,,s,0.00,,,,,,0,0,0
39,1,Mar-03,Mar,2003,28,1,Feb-03,"735,000",,,0.00,,s,0.00,,7.52,32.61,smolt entry,,0,0,0
40,1,Apr-03,Apr,2003,59,1,Feb-03,"723,711",1.55,2.31,0.00,,,0.33,,8.06,31.8,,"1,671,772",0,"238,825","95,530"
41,1,May-03,May,2003,89,1,Feb-03,"970,982",1.79,2.41,0.14,0,,0.22,,9.13,27.77,,"2,340,067","135,937","213,616","85,446"
42,1,Jun-03,Jun,2003,120,1,Feb-03,"1,060,101",4.37,0.74,0.12,0,,1.13,,10.53,26.13,,"784,475","127,212","1,197,914","479,166"
43,1,Jul-03,Jul,2003,150,1,Feb-03,"1,025,047",2.10,1.43,0.47,1,,2.33,,11.1,25.24,,"1,465,817","481,772","2,388,360","955,344"
44,1,Aug-03,Aug,2003,181,1,Feb-03,"1,016,703",0.67,1.00,0.18,1,,1.13,,11.26,27.27,,"1,016,703","183,007","1,148,874","459,550"
45,1,Sep-03,Sep,2003,212,1,Feb-03,"1,014,202",4.17,2.57,0.78,1,,0.60,,11.12,27.57,,"2,606,499","791,078","608,521","243,408"
46,1,Oct-03,Oct,2003,242,1,Feb-03,"1,012,627",3.12,1.60,0.60,0,,0.82,,10.8,,,"1,620,203","607,576","830,354","332,142"
47,1,Nov-03,Nov,2003,273,1,Feb-03,"1,010,825",0.12,0.88,0.59,0,,0.24,,,30,,"889,526","596,387","242,598","97,039"
48,1,Dec-03,Dec,2003,303,1,Feb-03,"1,009,714",0.49,1.84,1.53,,,1.29,,7.3,29,,"1,857,874","1,544,862","1,302,531","521,012"
49,1,Jan-04,Jan,2004,334,1,Feb-03,"664,857",,,1.55,,2,1.15,,,,some moved to farm #2,,"1,030,528","764,586","305,834"
50,1,Feb-04,Feb,2004,365,2,Feb-03,"664,500",,,1.58,,2,1.00,,,,,,"1,049,910","664,500","265,800"
51,1,Mar-04,Mar,2004,394,2,Feb-03,"666,175",0.50,3.70,1.60,,,0.80,,8.08,29.43,,"2,464,848","1,065,880","532,940","213,176"
52,1,Apr-04,Apr,2004,425,2,Feb-03,"665,669",2.01,6.39,0.92,1,,0.34,,9,30.7,,"4,253,625","612,415","226,327","90,531"
53,1,May-04,May,2004,455,2,Feb-03,"483,726",1.55,15.60,7.80,2,,0.25,1,9.98,30.32,,"7,546,126","3,773,063","120,932","48,373"
54,1,Jun-04,Jun,2004,486,2,Feb-03,"398,036",0.00,0.40,0.30,0,,0.00,,10.28,28.26,,"159,214","119,411",0,0
55,1,Jul-04,Jul,2004,516,2,Feb-03,"357,340",0.10,0.40,0.10,2,,0.00,,12.01,26.03,harvesting,"142,936","35,734",0,0
56,1,Aug-04,Aug,2004,547,2,Feb-03,"300,000",0.08,2.17,0.90,1,,0.10,,12.27,26.26,harvesting,"651,000","270,000","30,000","12,000"
57,1,Sep-04,Sep,2004,578,2,Feb-03,"250,000",0.20,2.90,0.80,1,,0.00,,11.1,30,harvesting,"725,000","200,000",0,0
58,1,Oct-04,Oct,2004,608,2,Feb-03,"200,000",0.06,5.30,3.79,0,,0.70,,10.2,27,harvesting,"1,060,000","758,000","140,000","56,000"
59,1,Nov-04,Nov,2004,639,2,Feb-03,"150,000",0.94,14.93,10.32,,,0.11,1,9.01,25.26,harvesting,"2,239,500","1,548,000","16,500","6,600"
60,1,Dec-04,Dec,2004,669,2,Feb-03,"100,000",,,5.00,,h,0.10,,,,harvesting,,"500,000","10,000","4,000"
61,1,Jan-05,Jan,2005,700,2,Feb-03,"50,000",,,0.50,,h,0.00,,,,"Harvest, < 3 pens  (normally - >20000 per pen)",,"25,000",0,0
62,1,Feb-05,Feb,2005,,,,,,,,,,,,,,,,,,
63,1,Mar-05,Mar,2005,,,,,,,,,,,,,,,,,,
64,1,Apr-05,Apr,2005,31,1,Mar-05,"774,581",2.27,3.00,0.73,,,0.02,,9,29,smolts,"2,323,743","565,444","15,492","6,197"
65,1,May-05,May,2005,61,1,Mar-05,"772,971",2.18,1.48,0.47,0,,0.24,1,10,26,,"1,143,997","363,296","185,513","74,205"
66,1,Jun-05,Jun,2005,92,1,Mar-05,"762,760",0.29,0.49,0.06,2,,1.65,,11,26,,"373,752","45,766","1,258,554","503,422"
67,1,Jul-05,Jul,2005,122,1,Mar-05,"857,130",0.25,0.78,0.10,1,,0.40,,11,19,,"668,561","85,713","342,852","137,141"
68,1,Aug-05,Aug,2005,153,1,Mar-05,"800,000",1.05,0.38,0.05,,,1.02,,12,25,,"304,000","40,000","816,000","326,400"
69,1,Sep-05,Sep,2005,184,1,Mar-05,"750,000",,3.39,1.78,,1,1.63,,11,25,,"2,542,500","1,331,250","1,218,750","487,500"
70,1,Oct-05,Oct,2005,214,1,Mar-05,"700,000",0.47,6.40,3.50,,,2.23,,10,26,,"4,480,000","2,450,000","1,561,000","624,400"
71,1,Nov-05,Nov,2005,245,1,Mar-05,"680,000",0.15,3.25,1.97,0,,0.55,,9,29,,"2,210,000","1,339,600","374,000","149,600"
72,1,Dec-05,Dec,2005,275,1,Mar-05,"660,000",0.13,2.33,1.35,0,,0.33,1,8,29,,"1,537,800","891,000","217,800","87,120"
73,1,Jan-06,Jan,2006,306,1,Mar-05,"640,000",0.02,0.18,0.10,0,,0.00,,8,29,,"115,200","64,000",0,0
74,1,Feb-06,Feb,2006,337,1,Mar-05,"636,000",0.00,0.02,0.00,0,,0.02,,8,30,,"12,720",0,"12,720","5,088"
75,1,Mar-06,Mar,2006,365,2,Mar-05,"632,465",0.00,0.00,0.00,0,,0.00,,8,31,,0,0,0,0
76,1,Apr-06,Apr,2006,396,2,Mar-05,"631,880",1.08,0.23,0.00,0,,0.47,,8,30,,"145,332",0,"296,984","118,793"
77,1,May-06,May,2006,426,2,Mar-05,"631,392",0.15,3.38,1.42,2,,0.35,1,9,30,,"2,134,105","896,577","220,987","88,395"
78,1,Jun-06,Jun,2006,457,2,Mar-05,"630,772",0.08,1.22,0.57,0,,0.00,,11,26,,"769,542","359,540",0,0
79,1,Jul-06,Jul,2006,487,2,Mar-05,"589,996",0.02,0.05,0.02,0,,0.00,,12,27,,"29,500","11,800",0,0
80,1,Aug-06,Aug,2006,518,2,Mar-05,"459,685",0.10,0.12,0.05,,,0.05,,11,28,,"53,630","22,984","22,984","9,194"
81,1,Sep-06,Sep,2006,549,2,Mar-05,"201,390",,,0.10,,h,0.10,,,,,,"20,139","20,139","8,056"
82,1,Oct-06,Oct,2006,,,,,,,,,,,,,,,,,,
83,1,Nov-06,Nov,2006,,,,,,,,,,,,,,,,,,
84,1,Dec-06,Dec,2006,,,,,,,,,,,,,,,,,,
85,1,Jan-07,Jan,2007,,,,,,,,,,,,,,,,,,
86,1,Feb-07,Feb,2007,,,,,,,,,,,,,,,,,,
87,1,Mar-07,Mar,2007,,,,,,,,,,,,,,,,,,
88,1,Apr-07,Apr,2007,,,,,,,,,,,,,,,,,,
89,1,May-07,May,2007,,,,,,,,,,,,,,,,,,
90,1,Jun-07,Jun,2007,,,,,,,,,,,,,,,,,,
91,1,Jul-07,Jul,2007,,,,,,,,,,,,,,,,,,
92,1,Aug-07,Aug,2007,,,,,,,,,,,,,,,,,,
93,1,Sep-07,Sep,2007,,,,,,,,,,,,,,,,,,
94,1,Oct-07,Oct,2007,,,,,,,,,,,,,,,,,,
95,1,Nov-07,Nov,2007,,,,,,,,,,,,,,,,,,
96,1,Dec-07,Dec,2007,,,,,,,,,,,,,,,,,,
97,1,Jan-08,Jan,2008,,,,,,,,,,,,,,,,,,
98,1,Feb-08,Feb,2008,,,,,,,,,,,,,,,,,,
99,1,Mar-08,Mar,2008,,,,,,,,,,,,,,,,,,
100,1,Apr-08,Apr,2008,,,,,,,,,,,,,,,,,,
101,1,May-08,May,2008,121,1,Jan-08,"581,502",0.40,0.98,0.25,,,0.00,,9,29,Fish transferred from farm #8,"566,964","145,376",0,0
102,1,Jun-08,Jun,2008,152,1,Jan-08,"575,893",0.00,0.32,0.23,0,,0.18,,,,,"182,366","134,375","105,580","42,232"
103,1,Jul-08,Jul,2008,182,1,Jan-08,"575,000",0.00,0.40,0.25,0,,0.43,,,,,"230,000","143,750","247,250","98,900"
104,1,Aug-08,Aug,2008,213,1,Jan-08,"574,000",0.00,0.33,0.28,0,,0.22,,,,,"189,420","160,720","126,280","50,512"
105,1,Sep-08,Sep,2008,244,1,Jan-08,"573,000",0.20,1.30,0.40,0,,0.10,,,,,"744,900","229,200","57,300","22,920"
106,1,Oct-08,Oct,2008,274,1,Jan-08,"572,000",0.40,0.93,0.58,0,,0.22,,,,harvesting,"531,960","331,760","125,840","50,336"
107,1,Nov-08,Nov,2008,305,1,Jan-08,"318,000",0.17,0.93,0.58,,,0.13,,,,,"296,800","185,500","42,400","16,960"
108,1,Dec-08,Dec,2008,335,1,Jan-08,"47,000",,0.94,0.59,,h,0.05,,,,,"44,023","27,573","2,193",877
109,1,Jan-09,Jan,2009,,,,,,,,,,,,,,,,,,
110,1,Feb-09,Feb,2009,,,,,,,,,,,,,,,,,,
111,1,Mar-09,Mar,2009,0,1,Mar-09,"655,784",,,0.00,,s,0.00,,,,"smolt stocking, no counts",,0,0,0
112,1,Apr-09,Apr,2009,31,1,Mar-09,"653,988",0.33,0.18,0.00,,,0.20,,,,,"117,718",0,"130,798","52,319"
113,1,May-09,May,2009,61,1,Mar-09,"652,907",0.35,0.10,0.02,0,,0.02,,,,,"65,291","10,882","10,882","4,353"
114,1,Jun-09,Jun,2009,92,1,Mar-09,"651,916",0.62,0.10,0.00,0,,0.13,,,,,"65,192",0,"84,749","33,900"
115,1,Jul-09,Jul,2009,122,1,Mar-09,"652,124",2.33,0.47,0.01,0,,0.29,,,,,"304,325","5,434","190,203","76,081"
116,1,Aug-09,Aug,2009,153,1,Mar-09,"644,827",0.58,0.46,0.13,0,,0.29,,,,,"295,546","85,977","188,075","75,230"
117,1,Sep-09,Sep,2009,184,1,Mar-09,"642,076",0.08,0.57,0.10,0,,0.13,,,,,"363,843","64,208","85,610","34,244"
118,1,Oct-09,Oct,2009,214,1,Mar-09,"640,771",0.35,0.84,0.35,0,,0.09,,,,,"536,646","224,270","56,067","22,427"
119,1,Nov-09,Nov,2009,245,1,Mar-09,"639,147",0.28,0.65,0.37,,,0.17,,,,,"415,446","234,354","106,525","42,610"
120,1,Dec-09,Dec,2009,,,,,,,,,,,,,,moved out of Broughton,,,,
121,2,Sep-99,Sep,1999,153,1,Apr-99,"502,917",0.40,4.10,1.50,,,0.10,,,,,,"754,376","50,292","20,117"
122,2,Oct-99,Oct,1999,183,1,Apr-99,"498,033",0.66,3.29,1.03,1,,1.45,,,,,,"514,023","721,886","288,755"
123,2,Nov-99,Nov,1999,214,1,Apr-99,"493,150",0.85,6.35,2.55,0,,1.40,1,,,Ivermectin treatment,"3,131,501","1,257,532","690,410","276,164"
124,2,Dec-99,Dec,1999,244,1,Apr-99,"488,266",0.28,5.39,2.75,0,,2.51,,,,,,"1,344,088","1,226,633","490,653"
125,2,Jan-00,Jan,2000,275,1,Apr-99,"488,099",0.68,5.51,2.40,,,0.75,,,,,,"1,171,438","366,074","146,430"
126,2,Feb-00,Feb,2000,306,1,Apr-99,"473,865",,,,,,,,,,,,,,
127,2,Mar-00,Mar,2000,335,1,Apr-99,"471,525",,,,,,,,,,,,,,
128,2,Apr-00,Apr,2000,366,2,Apr-99,"467,711",,,,,,,,,,,,,,
129,2,May-00,May,2000,396,2,Apr-99,"467,110",3.33,1.03,0.05,,,2.62,,,,,"481,123","23,356","1,223,828","489,531"
130,2,Jun-00,Jun,2000,427,2,Apr-99,"458,729",6.73,12.28,3.72,0,,0.53,,,,,"5,633,192","1,706,472","243,126","97,251"
131,2,Jul-00,Jul,2000,457,2,Apr-99,"455,173",7.02,20.57,8.47,2,,1.12,1,,,,"9,362,909","3,855,315","509,794","203,918"
132,2,Aug-00,Aug,2000,488,2,Apr-99,"433,173",0.53,8.28,5.40,0,,0.04,,,,Harvesting ,"3,586,672","2,339,134","17,327","6,931"
133,2,Sep-00,Sep,2000,519,2,Apr-99,"300,000",0.28,3.98,2.23,,,0.00,,,,Harvesting ,"1,192,500","667,500",0,0
134,2,Oct-00,Oct,2000,549,2,Apr-99,"200,000",,,,,,,,,,Harvesting ,,,,
135,2,Nov-00,Nov,2000,580,2,Apr-99,"100,000",,,,,,,,,,Harvesting ,,,,
136,2,Dec-00,Dec,2000,610,2,Apr-99,"50,000",,,,,,,,,,Harvesting ,,,,
137,2,Jan-01,Jan,2001,,,,,,,,,,,,,,,,,,
138,2,Feb-01,Feb,2001,,,,,,,,,,,,,,,,,,
139,2,Mar-01,Mar,2001,,,,,,,,,,,,,,,,,,
140,2,Apr-01,Apr,2001,,,,,,,,,,,,,,,,,,
141,2,May-01,May,2001,,,,,,,,,,,,,,,,,,
142,2,Jun-01,Jun,2001,,,,,,,,,,,,,,,,,,
143,2,Jul-01,Jul,2001,,,,,,,,,,,,,,,,,,
144,2,Aug-01,Aug,2001,,,,,,,,,,,,,,,,,,
145,2,Sep-01,Sep,2001,,,,,,,,,,,,,,,,,,
146,2,Oct-01,Oct,2001,,,,,,,,,,,,,,,,,,
147,2,Nov-01,Nov,2001,,,,,,,,,,,,,,,,,,
148,2,Dec-01,Dec,2001,,,,,,,,,,,,,,,,,,
149,2,Jan-02,Jan,2002,,,,,,,,,,,,,,,,,,
150,2,Feb-02,Feb,2002,,,,,,,,,,,,,,,,,,
151,2,Mar-02,Mar,2002,,,,,,,,,,,,,,,,,,
152,2,Apr-02,Apr,2002,,,,,,,,,,,,,,,,,,
153,2,May-02,May,2002,,,,,,,,,,,,,,,,,,
154,2,Jun-02,Jun,2002,608,2,Oct-00,"469,182",1.26,0.82,0.33,,,0.00,,,,transferred some from farm #1,"385,902","152,484",0,0
155,2,Jul-02,Jul,2002,638,2,Oct-00,"468,050",1.34,1.43,0.40,0,,0.00,,,,,"666,971","184,880",0,0
156,2,Aug-02,Aug,2002,669,2,Oct-00,"466,792",0.10,3.42,2.30,,,0.05,,,,,"1,594,873","1,073,622","23,340","9,336"
157,2,Sep-02,Sep,2002,700,2,Oct-00,"465,490",,,3.40,,3,0.04,,,,,,"1,582,666","18,620","7,448"
158,2,Oct-02,Oct,2002,730,3,Oct-00,"464,425",,,4.50,,3,0.03,,,,,,"2,089,913","13,933","5,573"
159,2,Nov-02,Nov,2002,761,3,Oct-00,"463,513",,,5.60,,3,0.02,,,,,,"2,595,673","9,270","3,708"
160,2,Dec-02,Dec,2002,791,3,Oct-00,"443,972",0.38,10.36,6.93,,,0.00,,,,,"4,598,440","3,076,726",0,0
161,2,Jan-03,Jan,2003,822,3,Oct-00,"443,972",0.38,13.70,8.90,1,,0.00,,,,,"6,082,416","3,951,351",0,0
162,2,Feb-03,Feb,2003,853,3,Oct-00,"443,972",0.64,8.16,4.50,1,,0.06,,,,,"3,622,812","1,997,874","26,638","10,655"
163,2,Mar-03,Mar,2003,881,3,Oct-00,"293,723",0.70,10.77,5.12,2,,0.47,1,,,start harvesting,"3,163,397","1,503,862","138,050","55,220"
164,2,Apr-03,Apr,2003,912,3,Oct-00,"292,286",0.51,2.26,0.53,0,,0.35,,,,,"660,566","154,912","102,300","40,920"
165,2,May-03,May,2003,942,3,Oct-00,"117,624",0.00,0.40,0.00,0,,0.03,,9.4,31.55,,"47,050",0,"3,529","1,411"
166,2,Jun-03,Jun,2003,973,3,Oct-00,"34,865",0.00,0.09,0.03,0,,1.03,,10.64,29.63,,"3,138","1,046","35,911","14,364"
167,2,Jul-03,Jul,2003,1003,3,Oct-00,"20,000",0.05,1.00,0.05,,,0.15,,11.24,27.32,,"20,000","1,000","3,000","1,200"
168,2,Aug-03,Aug,2003,1034,3,Oct-00,"10,000",,1.15,0.03,,1,2.45,,,,,"11,500",250,"24,500","9,800"
169,2,Sep-03,Sep,2003,1065,3,Oct-00,"5,000",1.50,1.30,0.00,,,4.75,,11.4,28.1,complete harvesting,"6,500",0,"23,750","9,500"
170,2,Oct-03,Oct,2003,,,,,,,,,,,,,,,,,,
171,2,Nov-03,Nov,2003,,,,,,,,,,,,,,,,,,
172,2,Dec-03,Dec,2003,,,,,,,,,,,,,,,,,,
173,2,Jan-04,Jan,2004,245,1,May-03,"273,325",,,1.50,,t,1.29,,,,some fish moved from farm #1 (counts are from farm #1 for the same time period),,"409,988","352,589","141,036"
174,2,Feb-04,Feb,2004,276,1,May-03,"260,000",,,1.50,,t,0.70,,,,,,"390,000","182,000","72,800"
175,2,Mar-04,Mar,2004,305,1,May-03,"248,827",1.60,3.60,1.00,,,0.10,,7.35,31.79,,"895,777","248,827","24,883","9,953"
176,2,Apr-04,Apr,2004,336,1,May-03,"248,582",3.82,9.61,1.81,0,,0.00,,8.4,31,,"2,388,873","449,933",0,0
177,2,May-04,May,2004,366,2,May-03,"402,222",3.80,16.00,7.30,2,,0.00,1,9.46,29.28,,"6,435,552","2,936,221",0,0
178,2,Jun-04,Jun,2004,397,2,May-03,"401,686",0.75,3.70,1.60,0,,0.00,,10.18,28.58,,"1,486,238","642,698",0,0
179,2,Jul-04,Jul,2004,427,2,May-03,"401,166",0.00,0.80,0.30,0,,0.00,,11.25,28.25,,"320,933","120,350",0,0
180,2,Aug-04,Aug,2004,458,2,May-03,"400,000",0.12,0.60,0.12,2,,0.00,,11.38,27.77,,"240,000","48,000",0,0
181,2,Sep-04,Sep,2004,489,2,May-03,"399,000",0.50,2.20,0.60,0,,0.00,,10.63,26.1,,"877,800","239,400",0,0
182,2,Oct-04,Oct,2004,519,2,May-03,"398,000",1.65,2.64,1.51,0,,0.00,,9.6,28.7,,"1,050,720","600,980",0,0
183,2,Nov-04,Nov,2004,550,2,May-03,"397,000",2.75,7.21,3.60,0,,0.19,,8.11,25.78,,"2,862,370","1,429,200","75,430","30,172"
184,2,Dec-04,Dec,2004,580,2,May-03,"396,000",0.00,9.93,5.87,0,,1.52,,7,27,,"3,932,280","2,324,520","601,920","240,768"
185,2,Jan-05,Jan,2005,611,2,May-03,"300,000",0.23,9.93,6.05,,,0.33,,7,26,start harvesting,"2,979,000","1,815,000","99,000","39,600"
186,2,Feb-05,Feb,2005,642,2,May-03,"200,000",,,8.00,,h,0.40,,,,,,"1,600,000","80,000","32,000"
187,2,Mar-05,Mar,2005,670,2,May-03,"100,000",,,10.00,,h,0.50,,,,"Harvest, < 3 pens",,"1,000,000","50,000","20,000"
188,2,Apr-05,Apr,2005,701,2,May-03,"80,000",,,12.00,,h,0.60,,,,"Harvest, < 3 pens",,"960,000","48,000","19,200"
189,2,May-05,May,2005,731,2,May-03,"60,000",,,13.00,,h,0.70,,,,"Harvest, < 3 pens",,"780,000","42,000","16,800"
190,2,Jun-05,Jun,2005,762,2,May-03,"40,000",,,14.00,,h,0.80,,,,"Harvest, < 3 pens",,"560,000","32,000","12,800"
191,2,Jul-05,Jul,2005,792,2,May-03,"20,000",,,15.00,,h,0.90,,,,"Harvest, < 3 pens",,"300,000","18,000","7,200"
192,2,Aug-05,Aug,2005,,,,,,,,,,,,,,,,,,
193,2,Sep-05,Sep,2005,,,,,,,,,,,,,,,,,,
194,2,Oct-05,Oct,2005,,,,,,,,,,,,,,,,,,
195,2,Nov-05,Nov,2005,,,,,,,,,,,,,,,,,,
196,2,Dec-05,Dec,2005,,,,,,,,,,,,,,,,,,
197,2,Jan-06,Jan,2006,,,,,,,,,,,,,,,,,,
198,2,Feb-06,Feb,2006,365,2,Feb-05,,,,,,,,,,,,,,,
199,2,Mar-06,Mar,2006,393,2,Feb-05,"200,270",0.05,0.03,0.03,,,0.00,,7,31,fish moved?,"6,008","6,008",0,0
200,2,Apr-06,Apr,2006,424,2,Feb-05,"200,145",2.05,0.58,0.02,0,,0.58,,8,31,,"116,084","4,003","116,084","46,434"
201,2,May-06,May,2006,454,2,Feb-05,"199,936",0.00,4.98,2.35,2,,1.22,1,9,34,,"995,681","469,850","243,922","97,569"
202,2,Jun-06,Jun,2006,485,2,Feb-05,"199,860",0.00,1.82,0.95,0,,0.02,,10,26,,"363,745","189,867","3,997","1,599"
203,2,Jul-06,Jul,2006,515,2,Feb-05,"199,743",0.02,0.13,0.10,0,,0.00,,11,29,,"25,967","19,974",0,0
204,2,Aug-06,Aug,2006,546,2,Feb-05,"238,924",0.53,0.25,0.20,0,,0.18,,11,29,,"59,731","47,785","43,803","17,521"
205,2,Sep-06,Sep,2006,577,2,Feb-05,"199,310",0.95,0.83,0.30,,,1.33,,10,29,start harvesting,"165,427","59,793","265,082","106,033"
206,2,Oct-06,Oct,2006,607,2,Feb-05,"155,664",,,0.40,,h,1.80,,,,,,"62,266","280,195","112,078"
207,2,Nov-06,Nov,2006,,,,,,,,,,,,,,empty,,,,
208,2,Dec-06,Dec,2006,,,,,,,,,,,,,,,,,,
209,2,Jan-07,Jan,2007,,,,,,,,,,,,,,,,,,
210,2,Feb-07,Feb,2007,,,,,,,,,,,,,,,,,,
211,2,Mar-07,Mar,2007,,,,,,,,,,,,,,,,,,
212,2,Apr-07,Apr,2007,,,,,,,,,,,,,,,,,,
213,2,May-07,May,2007,,,,,,,,,,,,,,,,,,
214,2,Jun-07,Jun,2007,,,,,,,,,,,,,,,,,,
215,2,Jul-07,Jul,2007,,,,,,,,,,,,,,,,,,
216,2,Aug-07,Aug,2007,,,,,,,,,,,,,,,,,,
217,2,Sep-07,Sep,2007,,,,,,,,,,,,,,,,,,
218,2,Oct-07,Oct,2007,,,,,,,,,,,,,,,,,,
219,2,Nov-07,Nov,2007,,,,,,,,,,,,,,,,,,
220,2,Dec-07,Dec,2007,,,,,,,,,,,,,,,,,,
221,2,Jan-08,Jan,2008,,,,,,,,,,,,,,,,,,
222,2,Feb-08,Feb,2008,,,,,,,,,,,,,,,,,,
223,2,Mar-08,Mar,2008,,,,,,,,,,,,,,,,,,
224,2,Apr-08,Apr,2008,0,1,Apr-08,"493,088",,,0.00,,s,0.00,,,,fish stocked,,0,0,0
225,2,May-08,May,2008,30,1,Apr-08,"565,474",0.05,0.30,0.12,,,0.07,,9,29,,"169,642","65,972","37,698","15,079"
226,2,Jun-08,Jun,2008,61,1,Apr-08,"564,003",0.10,0.27,0.10,0,,0.05,,,,,"150,401","56,400","28,200","11,280"
227,2,Jul-08,Jul,2008,91,1,Apr-08,"471,000",0.27,0.07,0.00,0,,0.05,,,,,"32,970",0,"23,550","9,420"
228,2,Aug-08,Aug,2008,122,1,Apr-08,"471,000",0.25,0.63,0.12,0,,0.08,,,,,"296,730","56,520","37,680","15,072"
229,2,Sep-08,Sep,2008,153,1,Apr-08,"460,000",0.10,0.60,0.20,0,,0.10,,,,,"276,000","92,000","46,000","18,400"
230,2,Oct-08,Oct,2008,183,1,Apr-08,"450,000",1.00,0.87,0.47,0,,0.40,,,,,"391,500","211,500","180,000","72,000"
231,2,Nov-08,Nov,2008,214,1,Apr-08,"450,000",0.82,1.63,0.50,0,,0.33,,,,,"735,000","225,000","150,000","60,000"
232,2,Dec-08,Dec,2008,244,1,Apr-08,"449,000",2.95,1.98,0.50,0,,1.90,,,,,"886,775","224,500","853,100","341,240"
233,2,Jan-09,Jan,2009,275,1,Apr-08,"447,776",1.52,1.88,0.45,0,,0.28,,,,,"843,311","201,499","126,870","50,748"
234,2,Feb-09,Feb,2009,306,1,Apr-08,"344,170",0.05,1.10,0.35,2,,0.00,1,,,,"378,587","120,460",0,0
