effect,group,term,estimate,std.error,statistic
fixed,NA,S:population_nameelcho_creek_odd,-4.202991310656992e-5,1.462110171188649e-5,-2.8746064376531177
fixed,NA,S:population_namechuckwalla_river_odd,-2.313012581024178e-6,1.1917462290859506e-6,-1.9408599956705717
fixed,NA,S:population_namejohnston_creek_odd,-2.6005502216916694e-5,6.281859185633831e-6,-4.139777961974927
fixed,NA,S:population_namebella_coola_river_odd,-6.800125242328376e-7,2.3602113433805816e-7,-2.8811509873469254
fixed,NA,S:population_namejenny_bay_creeks_odd,-1.327560136429237e-4,3.9283607169430154e-5,-3.3794252414333323
fixed,NA,S:population_namenooseseck_river_odd,-8.26637315045351e-5,3.4175714102621176e-5,-2.418785786196492
fixed,NA,S:population_namehook_nose_creek_odd,-1.233043154082662e-4,2.7435481115870146e-5,-4.4943376384582665
fixed,NA,S:population_nameworan_creek_odd,-1.3944778304640442e-4,5.103695203907132e-5,-2.7322905752610427
fixed,NA,S:population_namefrenchman_creek_odd,-6.17602430900101e-5,1.9547210703210048e-5,-3.1595425059733873
fixed,NA,S:population_namechuckwalla_river_even,-5.220231443391609e-6,2.2772512272390657e-6,-2.292338842965783
fixed,NA,S:population_nameclyak_river_even,-1.6255320518359323e-5,4.653342843542131e-6,-3.4932565823982467
fixed,NA,S:population_namemilton_river_even,-6.051098701291626e-5,2.556837351886555e-5,-2.3666341923653613
fixed,NA,S:population_namekilbella_river_odd,-5.163532515344296e-6,2.13454646360992e-6,-2.4190302733498665
ran_pars,area:year_fac,sd__(Intercept),0.5048474642199033,NA,NA
ran_pars,year_fac,sd__(Intercept),0.6785432184082111,NA,NA
ran_pars,Residual,sd__Observation,1.0764959652287702,NA,NA
