component,term,estimate,std.error,statistic,p.value
mean,(Intercept),-0.08870970985512991,0.2527292943485116,-0.3510068355305102,0.7255832202689743
mean,mean_all,1.6011229239022966,0.5510505874524942,2.9055824644054633,0.0036657024118584873
precision,(phi),5.591448170266003,1.6647381737777283,3.3587553035907973,7.829436205823837e-4
