year,unid_cope,lep_cope,cal_cope,chala,chalb,chal_unid,lep_pamale,lep_male,lep_nongravid,lep_gravid,lep_pafemale,cal_mot,cal_gravid,unid_adult,unid_pa,lep_mot,all_lice,all_sp_mot,all_mot,all_sp_cope,all_cope,all_chal,prop_lep_mot,prop_lep_cope,obs_id
2001,0,0,0,5,1,0,0,0,0,0,0,0,0,0,4,4,10,4,4,0,0,6,1,NA,57
2001,0,0,0,1,8,0,0,0,0,0,0,0,0,0,7,7,16,7,7,0,0,9,1,NA,58
2001,0,0,0,7,14,0,0,0,0,0,0,0,0,0,3,3,24,3,3,0,0,21,1,NA,59
2001,0,0,0,5,8,0,0,0,0,0,0,0,0,2,1,1,16,1,3,0,0,13,1,NA,60
2001,0,0,0,12,9,0,0,0,0,0,0,0,0,0,1,1,22,1,1,0,0,21,1,NA,61
2001,0,0,0,11,2,0,0,0,0,0,0,0,0,0,2,2,15,2,2,0,0,13,1,NA,62
2001,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,2,0,0,0,1,NA,63
2001,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,3,1,2,0,0,1,1,NA,64
2001,0,0,0,3,1,0,0,0,0,0,0,0,0,1,5,5,10,5,6,0,0,4,1,NA,65
2001,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,NA,NA,66
2001,0,0,0,13,1,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,14,NA,NA,67
2001,0,0,0,17,2,0,0,0,0,0,0,0,0,0,8,8,27,8,8,0,0,19,1,NA,68
2001,0,0,0,1,3,0,0,0,0,0,0,0,0,1,1,1,6,1,2,0,0,4,1,NA,69
2001,0,0,0,9,2,0,0,0,0,0,0,0,0,1,0,0,12,0,1,0,0,11,NA,NA,70
2001,0,0,0,14,0,0,0,0,0,0,0,0,0,1,1,1,16,1,2,0,0,14,1,NA,71
2001,0,0,0,4,0,0,0,0,0,0,0,0,0,1,5,5,10,5,6,0,0,4,1,NA,72
2001,0,0,0,5,7,0,0,0,0,0,0,0,0,0,1,1,13,1,1,0,0,12,1,NA,73
2001,0,0,0,7,0,0,0,0,0,0,0,0,0,0,2,2,9,2,2,0,0,7,1,NA,74
2001,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,1,4,1,1,0,0,3,1,NA,75
2001,0,0,0,2,7,0,0,0,0,0,0,0,0,2,0,0,11,0,2,0,0,9,NA,NA,76
2001,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,2,0,0,0,1,NA,77
2001,0,0,0,3,2,0,0,0,0,0,0,0,0,0,1,1,6,1,1,0,0,5,1,NA,78
2001,0,0,0,7,3,0,0,0,0,0,0,0,0,0,1,1,11,1,1,0,0,10,1,NA,79
2001,0,0,0,7,2,0,0,0,0,0,0,0,0,0,7,7,16,7,7,0,0,9,1,NA,80
2001,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,1,4,1,1,0,0,3,1,NA,81
2001,0,0,0,4,1,0,0,0,0,0,0,0,0,0,2,2,7,2,2,0,0,5,1,NA,82
2001,0,0,0,1,34,0,0,0,0,0,0,0,0,0,1,1,36,1,1,0,0,35,1,NA,83
2001,0,0,0,2,7,0,0,0,0,0,0,0,0,0,1,1,10,1,1,0,0,9,1,NA,84
2001,0,0,0,4,1,0,0,0,0,0,0,0,0,1,1,1,7,1,2,0,0,5,1,NA,85
2001,0,0,0,4,2,0,0,0,0,0,0,0,0,3,1,1,10,1,4,0,0,6,1,NA,86
2001,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,1,6,1,1,0,0,5,1,NA,87
2001,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,NA,NA,88
2001,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,1,1,0,0,1,1,NA,89
2001,0,0,0,5,7,0,0,0,0,0,0,0,0,0,3,3,15,3,3,0,0,12,1,NA,90
2001,0,0,0,6,3,0,0,0,0,0,0,0,0,0,1,1,10,1,1,0,0,9,1,NA,91
2001,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,1,6,1,1,0,0,5,1,NA,92
2001,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,NA,NA,93
2001,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,1,7,1,1,0,0,6,1,NA,94
2001,0,0,0,12,0,0,0,0,0,0,0,0,0,0,3,3,15,3,3,0,0,12,1,NA,95
2001,0,0,0,8,2,0,0,0,0,0,0,0,0,2,0,0,12,0,2,0,0,10,NA,NA,96
2001,0,0,0,7,2,0,0,0,0,0,0,0,0,0,1,1,10,1,1,0,0,9,1,NA,97
2001,0,0,0,12,1,0,0,0,0,0,0,0,0,1,1,1,15,1,2,0,0,13,1,NA,98
2001,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,NA,NA,99
2001,0,0,0,18,1,0,0,0,0,0,0,0,0,1,1,1,21,1,2,0,0,19,1,NA,100
2001,0,0,0,7,1,0,0,0,0,0,0,0,0,0,2,2,10,2,2,0,0,8,1,NA,101
2001,0,0,0,5,15,0,0,0,0,0,0,0,0,0,2,2,22,2,2,0,0,20,1,NA,102
2001,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,NA,NA,103
2001,0,0,0,2,1,0,0,0,0,0,0,0,0,1,1,1,5,1,2,0,0,3,1,NA,104
2001,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,4,5,4,4,0,0,1,1,NA,105
2001,0,0,0,4,7,0,0,0,0,0,0,0,0,2,7,7,20,7,9,0,0,11,1,NA,106
2001,0,0,0,6,1,0,0,0,0,0,0,0,0,1,14,14,22,14,15,0,0,7,1,NA,107
2001,0,0,0,17,26,0,0,0,0,0,0,0,0,1,4,4,48,4,5,0,0,43,1,NA,108
2001,0,0,0,9,15,0,0,0,0,0,0,0,0,3,1,1,28,1,4,0,0,24,1,NA,109
2001,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,4,0,2,0,0,2,NA,NA,110
2001,0,0,0,17,2,0,0,0,0,0,0,0,0,4,4,4,27,4,8,0,0,19,1,NA,111
2001,0,0,0,14,14,0,0,0,0,0,0,0,0,4,5,5,37,5,9,0,0,28,1,NA,112
2001,0,0,0,14,12,0,0,0,0,0,0,0,0,2,5,5,33,5,7,0,0,26,1,NA,113
2001,0,0,0,7,5,0,0,0,0,0,0,0,0,2,3,3,17,3,5,0,0,12,1,NA,114
