log_survival,S,population_name,lice,year_fac,area,.fitted,.resid,.hat,.cooksd,.fixed,.mu,.offset,.sqrtXwt,.sqrtrwt,.weights,.wtres
1.2935849630156233,3000,roscoe_creek_even,0,1956,7,1.5247365397428088,-0.23115157672718545,0.08925259460965718,6.706534108398149e-5,0.592408514651215,1.5247365397428088,0,1,1,1,-0.23115157672718545
1.139434283188365,15000,cooper_inlet_creeks_even,0,1956,7,1.1785137819342082,-0.039079498745843155,0.11215303631292098,2.534616337171729e-6,0.24618575684261457,1.1785137819342082,0,1,1,1,-0.039079498745843155
0.19497267434751353,9000,quartcha_creek_even,0,1956,7,0.13011391502843161,0.06485875931908192,0.17814857335381562,1.2942329375917146e-5,-0.8022141100631621,0.13011391502843161,0,1,1,1,0.06485875931908192
2.4611901231706845,20000,neekas_creek_even,0,1956,7,1.5258943973907817,0.9352957257799028,0.08843052947358883,0.0010859255056268377,0.5935663722991881,1.5258943973907817,0,1,1,1,0.9352957257799028
0.08961215868968733,10000,kadjusdis_river_even,0,1956,7,0.7332455372865381,-0.6436333785968508,0.18237976520438476,0.0013183476807404467,-0.19908248780505566,0.7332455372865381,0,1,1,1,-0.6436333785968508
2.1202635362000914,75,lee_creek_even,0,1956,7,1.828692433872344,0.2915711023277474,0.08440033448562315,9.983925396786363e-5,0.8963644087807503,1.828692433872344,0,1,1,1,0.2915711023277474
1.139434283188365,35000,clatse_creek_even,0,1956,7,1.0712771858590209,0.06815709732934416,0.12362916275502642,8.722615304140005e-6,0.13894916076742725,1.0712771858590209,0,1,1,1,0.06815709732934416
1.139434283188365,15000,kunsoot_river_even,0,1956,7,1.2009785707989042,-0.061544287610539206,0.12177931340930728,6.9762357147373184e-6,0.2686505457073104,1.2009785707989042,0,1,1,1,-0.061544287610539206
1.2447947988461914,13500,kwakusdis_river_even,0,1956,7,0.8908521468194481,0.35394265202674324,0.13557386190641021,2.651340100752574e-4,-0.041475878272145605,0.8908521468194481,0,1,1,1,0.35394265202674324
-0.9282193027394289,5500,roscoe_creek_odd,0,1957,7,0.5462655940676704,-1.4744848968070992,0.09800784007279029,0.0030550294574652804,0.706293067170404,0.5462655940676704,0,1,1,1,-1.4744848968070992
-0.39107637065606476,7500,cooper_inlet_creeks_odd,0,1957,7,0.1478745676548104,-0.5389509383108751,0.125863713104202,5.581104562789263e-4,0.307902040757544,0.1478745676548104,0,1,1,1,-0.5389509383108751
-0.1397619423751586,12500,quartcha_creek_odd,0,1957,7,-0.43858186186384884,0.29881991948869024,0.18263738877175745,2.8474669695677235e-4,-0.27855438876111527,-0.43858186186384884,0,1,1,1,0.29881991948869024
2.316973830446145,25000,neekas_creek_odd,0,1957,7,0.16639469087046618,2.150579139575679,0.10304535840287489,0.006909995764372321,0.3264221639731998,0.16639469087046618,0,1,1,1,2.150579139575679
-1.9315214116032136,750,lee_creek_odd,0,1957,7,0.6994615743429282,-2.630982985946142,0.09632921904841661,0.009524739154551534,0.8594890474456618,0.6994615743429282,0,1,1,1,-2.630982985946142
0.47642419704865846,36000,clatse_creek_odd,0,1957,7,-0.6086369021071985,1.085061099155857,0.1832443506060188,0.003772542491496334,-0.4486094290044649,-0.6086369021071985,0,1,1,1,1.085061099155857
-1.0560526742493137,12500,kunsoot_river_odd,0,1957,7,-0.8715550262418923,-0.1844976480074214,0.21625611580027365,1.3979163655480141e-4,-0.7115275531391587,-0.8715550262418923,0,1,1,1,-0.1844976480074214
0.7277386253295646,7000,kwakusdis_river_odd,0,1957,7,0.2466556738307256,0.48108295149883895,0.10678254789696734,3.613310352597517e-4,0.4066831469334592,0.2466556738307256,0,1,1,1,0.48108295149883895
0.08338160893905121,15000,cooper_inlet_creeks_even,0,1958,7,-0.5307866070692903,0.6141682160083415,0.1264332873076024,7.289930761789374e-4,0.24618575684261457,-0.5307866070692903,0,1,1,1,0.6141682160083415
-2.085672091430472,3500,quartcha_creek_even,0,1958,7,-0.46957599893799296,-1.6160960924924788,0.1106489720992395,0.0042620130390126154,0.3073963649739119,-0.46957599893799296,0,1,1,1,-1.6160960924924788
-2.1546649629174235,75000,neekas_creek_even,0,1958,7,-1.3382568027830866,-0.8164081601343369,0.1872773115805593,0.002204420925022453,-0.5612844388711817,-1.3382568027830866,0,1,1,1,-0.8164081601343369
-0.07076907088820715,3500,kadjusdis_river_even,0,1958,7,-0.18786835546347824,0.11709928457527109,0.10851526302428507,2.1839914774993533e-5,0.5891040084484266,-0.18786835546347824,0,1,1,1,0.11709928457527109
-1.6802069833223074,35000,clatse_creek_even,0,1958,7,-0.6380232031444776,-1.04218378017783,0.13723953256408192,0.002335967672370351,0.13894916076742725,-0.6380232031444776,0,1,1,1,-1.04218378017783
0.14792013007662227,15000,kunsoot_river_even,0,1958,7,-0.5083218182045944,0.6562419482812167,0.13551652576677953,9.109327084086417e-4,0.2686505457073104,-0.5083218182045944,0,1,1,1,0.6562419482812167
-0.8329091229351039,15000,kwakusdis_river_even,0,1958,7,-0.9356691310826983,0.10276000814759445,0.16120751901088526,2.822305027032554e-5,-0.1586967671707935,-0.9356691310826983,0,1,1,1,0.10276000814759445
2.3151638752009056,1500,roscoe_creek_odd,0,1959,7,0.6801431181452211,1.6350207570556845,0.0950902143602727,0.003621189485445948,0.9297251069124274,0.6801431181452211,0,1,1,1,1.6350207570556845
0.23572233352106994,3500,cooper_inlet_creeks_odd,0,1959,7,0.43464542855468025,-0.1989230950336103,0.10040951183694109,5.727103269177879e-5,0.6842274173218865,0.43464542855468025,0,1,1,1,-0.1989230950336103
