year,farm,wild,wild_scenario,farm_group
2005,4.640488890473085,1.1243835637499586,scen4,log_hsd_leps
2007,6.06722643175843,-0.051761451031056976,scen4,log_hsd_leps
2010,4.899434078312757,-0.10011396678581765,scen4,log_hsd_leps
2011,3.357903416657231,-0.16174050631290662,scen4,log_hsd_leps
2004,6.953924006565879,-0.3174905423196087,scen4,log_hsd_leps
2012,5.075937141829485,-0.6535998590874692,scen4,log_hsd_leps
2014,4.8631919819218075,-0.024802254225262027,scen4,log_hsd_leps
2015,6.122618427857413,-0.2872701077988613,scen4,log_hsd_leps
2016,6.174142942580792,-0.16062009448669803,scen4,log_hsd_leps
2017,5.484350911137084,-0.3418646930542483,scen4,log_hsd_leps
2018,5.607120461553614,-0.3794493061202717,scen4,log_hsd_leps
2019,5.259397455600999,0.25828213241021836,scen4,log_hsd_leps
2013,4.409331961582385,0.05595284306531766,scen4,log_hsd_leps
2021,5.462477691259951,0.058890341986219626,scen4,log_hsd_leps
2020,5.274329113477254,-0.34544395808352585,scen4,log_hsd_leps
2003,5.376331273975443,0.05305083610064212,scen4,log_hsd_leps
