all_lice,all_lep,all_cal,month,year,day,date,farm_name,week
5,4,0,6,2001,28,2001-06-28,Glacier,26
27,26,0,6,2001,28,2001-06-28,Glacier,26
27,21,0,6,2001,28,2001-06-28,Glacier,26
10,6,0,6,2001,28,2001-06-28,Glacier,26
3,3,0,6,2001,28,2001-06-28,Glacier,26
25,23,0,6,2001,28,2001-06-28,Glacier,26
11,6,0,6,2001,28,2001-06-28,Glacier,26
15,8,0,6,2001,28,2001-06-28,Glacier,26
18,16,0,6,2001,28,2001-06-28,Glacier,26
18,17,0,6,2001,28,2001-06-28,Glacier,26
33,25,0,6,2001,28,2001-06-28,Glacier,26
31,29,0,6,2001,28,2001-06-28,Glacier,26
23,19,0,6,2001,28,2001-06-28,Glacier,26
18,14,0,6,2001,28,2001-06-28,Glacier,26
4,3,0,6,2001,28,2001-06-28,Glacier,26
21,19,0,6,2001,28,2001-06-28,Glacier,26
3,2,0,6,2001,28,2001-06-28,Glacier,26
43,35,0,6,2001,28,2001-06-28,Glacier,26
21,18,0,6,2001,28,2001-06-28,Glacier,26
55,53,0,6,2001,28,2001-06-28,Glacier,26
29,25,0,6,2001,28,2001-06-28,Glacier,26
20,19,0,6,2001,28,2001-06-28,Glacier,26
24,20,0,6,2001,28,2001-06-28,Glacier,26
20,15,0,6,2001,28,2001-06-28,Glacier,26
18,16,0,6,2001,28,2001-06-28,Glacier,26
12,11,0,6,2001,28,2001-06-28,Glacier,26
15,14,0,6,2001,28,2001-06-28,Glacier,26
5,4,0,6,2001,28,2001-06-28,Glacier,26
3,2,0,6,2001,28,2001-06-28,Glacier,26
29,28,0,6,2001,28,2001-06-28,Glacier,26
20,17,0,6,2001,28,2001-06-28,Glacier,26
26,20,0,6,2001,28,2001-06-28,Glacier,26
28,27,0,6,2001,28,2001-06-28,Glacier,26
41,40,0,6,2001,28,2001-06-28,Glacier,26
13,10,0,6,2001,28,2001-06-28,Glacier,26
0,0,0,6,2001,28,2001-06-28,Glacier,26
14,8,0,6,2001,28,2001-06-28,Glacier,26
19,16,0,6,2001,28,2001-06-28,Glacier,26
4,4,0,6,2001,28,2001-06-28,Glacier,26
7,6,0,6,2001,28,2001-06-28,Glacier,26
32,30,0,6,2001,28,2001-06-28,Glacier,26
10,9,0,6,2001,28,2001-06-28,Glacier,26
7,4,0,6,2001,28,2001-06-28,Glacier,26
8,5,0,6,2001,28,2001-06-28,Glacier,26
7,6,0,6,2001,28,2001-06-28,Glacier,26
14,10,0,6,2001,28,2001-06-28,Glacier,26
37,36,0,6,2001,28,2001-06-28,Glacier,26
4,4,0,6,2001,28,2001-06-28,Glacier,26
3,2,0,6,2001,28,2001-06-28,Glacier,26
5,2,0,6,2001,28,2001-06-28,Glacier,26
16,11,0,6,2001,28,2001-06-28,Glacier,26
67,52,0,6,2001,28,2001-06-28,Glacier,26
13,12,0,6,2001,28,2001-06-28,Glacier,26
50,48,0,6,2001,28,2001-06-28,Glacier,26
11,10,0,6,2001,28,2001-06-28,Glacier,26
11,11,0,6,2001,28,2001-06-28,Glacier,26
7,2,0,6,2001,28,2001-06-28,Glacier,26
6,5,0,6,2001,28,2001-06-28,Glacier,26
17,12,0,6,2001,28,2001-06-28,Glacier,26
6,6,0,6,2001,28,2001-06-28,Glacier,26
1,0,0,6,2001,29,2001-06-29,Burdwood,26
6,5,0,6,2001,29,2001-06-29,Burdwood,26
12,10,0,6,2001,29,2001-06-29,Burdwood,26
25,23,0,6,2001,29,2001-06-29,Burdwood,26
8,6,0,6,2001,29,2001-06-29,Burdwood,26
3,3,0,6,2001,29,2001-06-29,Burdwood,26
9,7,0,6,2001,29,2001-06-29,Burdwood,26
3,3,0,6,2001,29,2001-06-29,Burdwood,26
3,3,0,6,2001,29,2001-06-29,Burdwood,26
8,6,0,6,2001,29,2001-06-29,Burdwood,26
26,21,0,6,2001,29,2001-06-29,Burdwood,26
8,8,0,6,2001,29,2001-06-29,Burdwood,26
12,9,0,6,2001,30,2001-06-30,Burdwood,26
37,36,0,6,2001,30,2001-06-30,Burdwood,26
11,8,0,6,2001,30,2001-06-30,Burdwood,26
20,12,0,7,2001,16,2001-07-16,Burdwood,29
