year,farm,wild,wild_scenario,farm_group
2001,6.037731225492208,1.1532008609648219,scen1_year,log_all_farm_leps
2002,6.4075080901878305,0.6788139626182743,scen1_year,log_all_farm_leps
2003,5.3200659833867,-0.20823600822555272,scen1_year,log_all_farm_leps
2004,6.0035541175948275,0.7827433692405897,scen1_year,log_all_farm_leps
2005,5.711328466895049,0.44196005011542405,scen1_year,log_all_farm_leps
2006,5.773265596437823,-0.16766604232962362,scen1_year,log_all_farm_leps
2007,5.393538882927681,-0.23960317699337658,scen1_year,log_all_farm_leps
2008,5.236995075932335,-0.3784259641118387,scen1_year,log_all_farm_leps
2009,4.859933259236363,-1.1199218683656433,scen1_year,log_all_farm_leps
2010,5.15137222367086,-0.3093392974362702,scen1_year,log_all_farm_leps
2011,4.81660756320858,-0.8628309194899719,scen1_year,log_all_farm_leps
2012,5.12219495626549,-0.4828165437855497,scen1_year,log_all_farm_leps
2013,5.0380640230835985,-0.6055256124181134,scen1_year,log_all_farm_leps
2014,5.603313108294347,-0.7608762894576455,scen1_year,log_all_farm_leps
2015,5.810221053613242,0.1210260057524665,scen1_year,log_all_farm_leps
2016,5.602185106008008,-0.3644332903243342,scen1_year,log_all_farm_leps
2017,4.949632719474907,-0.3208909179855924,scen1_year,log_all_farm_leps
2018,5.417761926204882,-0.841294497562707,scen1_year,log_all_farm_leps
2019,5.411130207347676,-0.11369293637881733,scen1_year,log_all_farm_leps
2020,5.425174119942089,-0.5355349202939192,scen1_year,log_all_farm_leps
2021,5.615980707639797,-0.14349746917342796,scen1_year,log_all_farm_leps
2001,6.037731225492208,1.1532008609648219,scen1_year,log_all_farm_leps
2002,6.4075080901878305,0.6788139626182743,scen1_year,log_all_farm_leps
2003,5.3200659833867,-0.20823600822555272,scen1_year,log_all_farm_leps
2004,6.0035541175948275,0.7827433692405897,scen1_year,log_all_farm_leps
2005,5.711328466895049,0.44196005011542405,scen1_year,log_all_farm_leps
2006,5.773265596437823,-0.16766604232962362,scen1_year,log_all_farm_leps
2007,5.393538882927681,-0.23960317699337658,scen1_year,log_all_farm_leps
2008,5.236995075932335,-0.3784259641118387,scen1_year,log_all_farm_leps
2009,4.859933259236363,-1.1199218683656433,scen1_year,log_all_farm_leps
2010,5.15137222367086,-0.3093392974362702,scen1_year,log_all_farm_leps
2011,4.81660756320858,-0.8628309194899719,scen1_year,log_all_farm_leps
2012,5.12219495626549,-0.4828165437855497,scen1_year,log_all_farm_leps
2013,5.0380640230835985,-0.6055256124181134,scen1_year,log_all_farm_leps
2014,5.603313108294347,-0.7608762894576455,scen1_year,log_all_farm_leps
2015,5.810221053613242,0.1210260057524665,scen1_year,log_all_farm_leps
2016,5.602185106008008,-0.3644332903243342,scen1_year,log_all_farm_leps
2017,4.949632719474907,-0.3208909179855924,scen1_year,log_all_farm_leps
2018,5.417761926204882,-0.841294497562707,scen1_year,log_all_farm_leps
2019,5.411130207347676,-0.11369293637881733,scen1_year,log_all_farm_leps
2020,5.425174119942089,-0.5355349202939192,scen1_year,log_all_farm_leps
2021,5.615980707639797,-0.14349746917342796,scen1_year,log_all_farm_leps
2001,6.037731225492208,1.1413175572845728,scen2,log_all_farm_leps
2002,6.4075080901878305,0.7192411436705899,scen2,log_all_farm_leps
2003,5.3200659833867,-0.16986609076396822,scen2,log_all_farm_leps
2004,6.0035541175948275,0.8140870565923175,scen2,log_all_farm_leps
2005,5.711328466895049,0.451842762623477,scen2,log_all_farm_leps
2006,5.773265596437823,-0.16261728177497015,scen2,log_all_farm_leps
2007,5.393538882927681,-0.22679422214760991,scen2,log_all_farm_leps
2008,5.236995075932335,-0.38278743905658197,scen2,log_all_farm_leps
2009,4.859933259236363,-1.0824488759724131,scen2,log_all_farm_leps
2010,5.15137222367086,-0.289813007875993,scen2,log_all_farm_leps
2011,4.81660756320858,-0.8378103250735431,scen2,log_all_farm_leps
2012,5.12219495626549,-0.4832993481864289,scen2,log_all_farm_leps
2013,5.0380640230835985,-0.6328633649288051,scen2,log_all_farm_leps
2014,5.603313108294347,-0.764416024628856,scen2,log_all_farm_leps
2015,5.810221053613242,0.12616806513679693,scen2,log_all_farm_leps
2016,5.602185106008008,-0.402435958475261,scen2,log_all_farm_leps
2017,4.949632719474907,-0.32935688695595444,scen2,log_all_farm_leps
2018,5.417761926204882,-0.848567142834877,scen2,log_all_farm_leps
2019,5.411130207347676,-0.14753698388627648,scen2,log_all_farm_leps
2020,5.425174119942089,-0.5197202663264718,scen2,log_all_farm_leps
2021,5.615980707639797,-0.13053088850488198,scen2,log_all_farm_leps
2001,6.037731225492208,1.1388869218066757,scen3,log_all_farm_leps
2002,6.4075080901878305,0.7064356691262895,scen3,log_all_farm_leps
2003,5.3200659833867,-0.1715862680177421,scen3,log_all_farm_leps
2004,6.0035541175948275,0.8118080564123852,scen3,log_all_farm_leps
2005,5.711328466895049,0.4506740857556642,scen3,log_all_farm_leps
2006,5.773265596437823,-0.16286410899595755,scen3,log_all_farm_leps
2007,5.393538882927681,-0.24248098068904675,scen3,log_all_farm_leps
2008,5.236995075932335,-0.37998809216862206,scen3,log_all_farm_leps
2009,4.859933259236363,-1.1197124411230144,scen3,log_all_farm_leps
2010,5.15137222367086,-0.30784568885153,scen3,log_all_farm_leps
2011,4.81660756320858,-0.8242247920532966,scen3,log_all_farm_leps
2012,5.12219495626549,-0.4876985215484444,scen3,log_all_farm_leps
2013,5.0380640230835985,-0.621447495710515,scen3,log_all_farm_leps
2014,5.603313108294347,-0.7383799129618024,scen3,log_all_farm_leps
