effect,group,term,estimate,std.error,statistic
fixed,NA,S:population_namekoeye_river_even,-1.0825251336284266e-5,2.7268792460089506e-6,-3.9698315765643306
fixed,NA,S:population_namenekite_river_even,-2.678704129307056e-5,1.5408313648831285e-5,-1.7384797521370774
fixed,NA,S:population_nameasseek_river_even,-8.680369739269007e-5,3.390751727230066e-5,-2.560013365048132
fixed,NA,S:population_nameelcho_creek_even,-6.965003920770662e-5,1.8484052057754606e-5,-3.7681152914999703
fixed,NA,S:population_namewalkum_creek_even,-0.0032954442867213153,8.462545498676375e-4,-3.894152518573466
fixed,NA,S:population_namekilbella_river_even,-1.3280863234073514e-5,3.3532100972286727e-6,-3.960641549138167
fixed,NA,S:population_namejohnston_creek_even,-2.4595713244112088e-5,5.285845413823995e-6,-4.653127611297007
fixed,NA,S:population_namebella_coola_river_even,-4.968928421628675e-7,1.5758622573467748e-7,-3.153148949702425
fixed,NA,S:population_namejenny_bay_creeks_even,-5.29490240355407e-5,1.3701074283057507e-5,-3.8645892242929065
fixed,NA,S:population_namenooseseck_river_even,-7.98028955503569e-5,1.7522170580337547e-5,-4.554395540465031
fixed,NA,S:population_nametaleomey_river_even,-8.149054625037206e-4,1.7541678769383186e-4,-4.645538623851878
fixed,NA,S:population_namekisameet_river_even,-4.297361545776685e-4,1.3210128452531547e-4,-3.253080816903905
fixed,NA,S:population_namemartin_river_even,-1.259066301230868e-4,7.241677838562804e-5,-1.7386389305061167
fixed,NA,S:population_nameskowquiltz_river_even,-2.7275230061324406e-4,5.692542525205192e-5,-4.7913968038984915
fixed,NA,S:population_namecamp_creek_even,-0.002703308246739696,5.32484498942266e-4,-5.0767829901332
fixed,NA,S:population_namenicknaqueet_river_even,-2.2031237691560405e-4,7.394516048331114e-5,-2.979402241818474
fixed,NA,S:population_namehook_nose_creek_even,-8.690012617058944e-5,2.3240846418626422e-5,-3.7391119327281968
fixed,NA,S:population_namenootum_river_even,-7.54943818087539e-5,1.9187555141270024e-5,-3.93454930828446
fixed,NA,S:population_nameworan_creek_even,-2.1107331473816898e-4,6.305722381356416e-5,-3.3473296471508354
fixed,NA,S:population_namedeep_bay_creek_even,-0.0023685292523003194,0.0012285644962976648,-1.9278835253973157
fixed,NA,S:population_nameevans_inlet_#3_creek_even,-1.1305574368466503e-4,3.1945656046059085e-5,-3.5390020953603782
fixed,NA,S:population_namefrenchman_creek_even,-8.907505709255583e-5,2.4832625074292306e-5,-3.5870173542292867
fixed,NA,S:population_namequatlena_river_odd,-7.195696691995523e-4,1.709340028685287e-4,-4.209634461980033
fixed,NA,S:population_namenecleetsconnay_river_odd,-3.099014941366241e-5,1.0152617301207493e-5,-3.052429584829975
fixed,NA,S:population_namecascade_river_odd,-2.4832595794311256e-4,6.97556441647441e-5,-3.5599407175802624
fixed,NA,S:population_namenamu_river_odd,-0.0015355532247475396,4.387732343063553e-4,-3.499651083264124
fixed,NA,S:population_namesagar_creek_odd,-5.430811435136859e-4,1.909864781629913e-4,-2.8435580818983985
fixed,NA,S:population_namedean_river_odd,-4.10466571268103e-5,1.2815828730650863e-5,-3.2028094311717377
fixed,NA,S:population_namekwatna_river_odd,-5.681360072721235e-6,2.244994162687857e-6,-2.5306792183010094
fixed,NA,S:population_namenoeick_river_odd,-3.877667317009877e-4,1.509314182094886e-4,-2.5691584714507774
fixed,NA,S:population_namekimsquit_river_odd,-4.1064802842345044e-4,1.5060850617846773e-4,-2.7265925334711287
fixed,NA,S:population_namekoeye_river_odd,-1.4053761726423253e-5,3.1691450567555913e-6,-4.434559313233448
fixed,NA,S:population_namenekite_river_odd,-3.561528057257773e-5,1.0790248908292732e-5,-3.3006912885212483
fixed,NA,S:population_nameasseek_river_odd,-1.1243999220591756e-4,4.376449027133506e-5,-2.5692060277362283
fixed,NA,S:population_nameelcho_creek_odd,-4.6124504408634314e-5,1.553252940225206e-5,-2.9695423851537486
fixed,NA,S:population_namechuckwalla_river_odd,-2.982670948368501e-6,1.2262068156907599e-6,-2.4324370980504386
fixed,NA,S:population_namejohnston_creek_odd,-2.7996008904181318e-5,6.484126793007309e-6,-4.317622063524902
fixed,NA,S:population_namebella_coola_river_odd,-7.464303162274401e-7,2.5095475040348936e-7,-2.9743621709783006
fixed,NA,S:population_namejenny_bay_creeks_odd,-1.4606278171047882e-4,4.1806652137527254e-5,-3.493768915769442
fixed,NA,S:population_namenooseseck_river_odd,-9.253979989166385e-5,3.636365855592071e-5,-2.5448429439341047
fixed,NA,S:population_nametaleomey_river_odd,-3.485615128663874e-4,1.8228491491361314e-4,-1.9121796942526734
fixed,NA,S:population_namekisameet_river_odd,-2.9203768512156233e-4,1.0587327591713504e-4,-2.7583701608528157
fixed,NA,S:population_namemartin_river_odd,-7.487617712640386e-4,2.3326421740642222e-4,-3.2099298366000633
fixed,NA,S:population_nameskowquiltz_river_odd,-1.955693433035183e-4,8.3354267908518e-5,-2.3462427085096262
fixed,NA,S:population_namecamp_creek_odd,-0.00542576872378472,0.0015278321742649306,-3.551285812131271
fixed,NA,S:population_namewannock_river_odd,-0.0011812344647798045,9.420689768120202e-4,-1.2538725866731384
fixed,NA,S:population_namehook_nose_creek_odd,-1.2877938778307907e-4,2.922854277114843e-5,-4.4059462283626925
