log_survival,S,population_name,lice,year_fac,area,.fitted,.resid,.hat,.cooksd,.fixed,.mu,.offset,.sqrtXwt,.sqrtrwt,.weights,.wtres
1.2935849630156233,3000,roscoe_creek_even,0,1956,7,1.4615040110889232,-0.16791904807329994,0.06482418051897172,1.0067771259012566e-5,0.6281276170327532,1.4615040110889232,0,1,1,1,-0.16791904807329994
1.139434283188365,15000,cooper_inlet_creeks_even,0,1956,7,1.1291326535505823,0.010301629637782694,0.08871237385249311,5.4609479042451094e-8,0.29575625949441253,1.1291326535505823,0,1,1,1,0.010301629637782694
0.19497267434751353,9000,quartcha_creek_even,0,1956,7,0.12877723469171543,0.0661954396557981,0.15626857162850866,4.6334261616482105e-6,-0.7045991593644545,0.12877723469171543,0,1,1,1,0.0661954396557981
1.139434283188365,750,goat_bushu_creek_even,0,1956,7,0.7756489507418264,0.36378533244653866,0.1244101107274163,1.0344928302291945e-4,-0.05772744331434354,0.7756489507418264,0,1,1,1,0.36378533244653866
2.4611901231706845,20000,neekas_creek_even,0,1956,7,1.4625589149506633,0.9986312082200213,0.06416192553104043,3.519404226172832e-4,0.6291825208944934,1.4625589149506633,0,1,1,1,0.9986312082200213
-1.6331544390514163,400,walker_lake_creek_even,0,1956,7,1.4918783682785035,-3.12503280732992,0.07166625980434296,0.003911997301394564,0.6585019742223335,1.4918783682785035,0,1,1,1,-3.12503280732992
0.08961215868968733,10000,kadjusdis_river_even,0,1956,7,0.6616742977233591,-0.5720621390336718,0.16018353817046688,3.5802919502770053e-4,-0.17170209633281086,0.6616742977233591,0,1,1,1,-0.5720621390336718
1.139434283188365,3500,pine_river_even,0,1956,7,0.8738852283856474,0.2655490548027176,0.12822761596734059,5.7312293486733176e-5,0.040508834329477494,0.8738852283856474,0,1,1,1,0.2655490548027176
2.1202635362000914,75,lee_creek_even,0,1956,7,1.767115930084962,0.3531476061151295,0.059595978949183705,4.0484003297390485e-5,0.933739536028792,1.767115930084962,0,1,1,1,0.3531476061151295
1.139434283188365,35000,clatse_creek_even,0,1956,7,0.9973043658718398,0.14212991731652524,0.1006276399142998,1.2105762124612275e-5,0.16392797181566987,0.9973043658718398,0,1,1,1,0.14212991731652524
1.139434283188365,3500,tankeeah_river_even,0,1956,7,0.01698466841827806,1.1224496147700869,0.21626470637053508,0.0021367979887117598,-0.8163917256378919,0.01698466841827806,0,1,1,1,1.1224496147700869
1.139434283188365,15000,kunsoot_river_even,0,1956,7,1.143924178704109,-0.004489895515743969,0.09872560440103992,1.1802421456785412e-8,0.3105477846479391,1.143924178704109,0,1,1,1,-0.004489895515743969
2.7488721956224653,1500,bullock_channel_creeks_even,0,1956,7,1.1244002327567697,1.6244719628656956,0.11012252427946997,0.001767759113790136,0.2910238387005998,1.1244002327567697,0,1,1,1,1.6244719628656956
1.2447947988461914,13500,kwakusdis_river_even,0,1956,7,0.8223039245025386,0.42249087434365273,0.11291805473724884,1.233824779614824e-4,-0.011072469553631281,0.8223039245025386,0,1,1,1,0.42249087434365273
-0.9282193027394289,5500,roscoe_creek_odd,0,1957,7,0.5266676304630719,-1.4548869332025007,0.07439526344873867,8.853919135361593e-4,0.7307369192368306,0.5266676304630719,0,1,1,1,-1.4548869332025007
-0.39107637065606476,7500,cooper_inlet_creeks_odd,0,1957,7,0.13033041065617587,-0.5214067813122406,0.10407897687125073,1.6980865600498728e-4,0.33439969942993464,0.13033041065617587,0,1,1,1,-0.5214067813122406
-0.1397619423751586,12500,quartcha_creek_odd,0,1957,7,-0.5089353913720998,0.36917344899694116,0.16214552658108525,1.5163924692501504e-4,-0.304866102598341,-0.5089353913720998,0,1,1,1,0.36917344899694116
2.316973830446145,25000,neekas_creek_odd,0,1957,7,0.12730079548112103,2.189673034965024,0.07994530967252449,0.002181258603834208,0.3313700842548798,0.12730079548112103,0,1,1,1,2.189673034965024
-0.011928570865273732,2200,kadjusdis_river_odd,0,1957,7,0.3574799886164777,-0.3694085594817514,0.08361616564740781,6.545340333150877e-5,0.5615492773902364,0.3574799886164777,0,1,1,1,-0.3694085594817514
-0.47623417899637155,3500,pine_river_odd,0,1957,7,-0.7114558287274175,0.23522164973104598,0.14349903193469626,5.213516509947183e-5,-0.5073865399536588,-0.7114558287274175,0,1,1,1,0.23522164973104598
-1.9315214116032136,750,lee_creek_odd,0,1957,7,0.6788982487019086,-2.610419660305122,0.07217662366976348,0.0027521336493136423,0.8829675374756674,0.6788982487019086,0,1,1,1,-2.610419660305122
0.47642419704865846,36000,clatse_creek_odd,0,1957,7,-0.6635235633822054,1.1399477604308639,0.1631224301060899,0.001457950036757546,-0.4594542746084467,-0.6635235633822054,0,1,1,1,1.1399477604308639
-0.23507212217948356,550,tankeeah_river_odd,0,1957,7,0.7366315005175877,-0.9717036226970713,0.07125478198195581,3.757261246878863e-4,0.9407007892913465,0.7366315005175877,0,1,1,1,-0.9717036226970713
-1.0560526742493137,12500,kunsoot_river_odd,0,1957,7,-0.9142357803228076,-0.1418168939265061,0.19619252380577906,2.941827646421257e-5,-0.7101664915490489,-0.9142357803228076,0,1,1,1,-0.1418168939265061
0.7277386253295646,7000,kwakusdis_river_odd,0,1957,7,0.211082271753075,0.5166563535764895,0.08423709549955329,1.291587262797423e-4,0.4151515605268338,0.211082271753075,0,1,1,1,0.5166563535764895
0.08338160893905121,15000,cooper_inlet_creeks_even,0,1958,7,-0.40348215740209903,0.48686376634115025,0.10350463555279629,1.4704881460892596e-4,0.29575625949441253,-0.40348215740209903,0,1,1,1,0.48686376634115025
