.rownames,prop_lep_mot,all_mot,.fitted,.resid,.std.resid,.hat,.sigma,.cooksd
985,0,1,0.35940330636194606,-1.3333484281659254,-1.3334562001050383,1.616364811371211e-4,1.0958528254985065,1.1580749597368999e-4
986,1,1,0.35940330636194606,1.0290828043304638,1.0291659830757847,1.616364811371211e-4,1.0958935927970297,5.643687079382025e-5
992,1,2,0.6079074474231537,0.9324088626033408,0.9324813560341169,1.5547895386177526e-4,1.0959043474850623,4.2341459311908786e-5
1006,0,1,0.35940330636194606,-1.3333484281659254,-1.3334562001050383,1.616364811371211e-4,1.0958528254985065,1.1580749597368999e-4
1007,1,1,0.35940330636194606,1.0290828043304638,1.0291659830757847,1.616364811371211e-4,1.0958935927970297,5.643687079382025e-5
1021,1,1,0.35940330636194606,1.0290828043304638,1.0291659830757847,1.616364811371211e-4,1.0958935927970297,5.643687079382025e-5
1037,1,1,0.35940330636194606,1.0290828043304638,1.0291659830757847,1.616364811371211e-4,1.0958935927970297,5.643687079382025e-5
1049,1,2,0.6079074474231537,0.9324088626033408,0.9324813560341169,1.5547895386177526e-4,1.0959043474850623,4.2341459311908786e-5
1070,1,1,0.35940330636194606,1.0290828043304638,1.0291659830757847,1.616364811371211e-4,1.0958935927970297,5.643687079382025e-5
1072,1,2,0.6079074474231537,0.9324088626033408,0.9324813560341169,1.5547895386177526e-4,1.0959043474850623,4.2341459311908786e-5
1073,1,1,0.35940330636194606,1.0290828043304638,1.0291659830757847,1.616364811371211e-4,1.0958935927970297,5.643687079382025e-5
1075,1,1,0.35940330636194606,1.0290828043304638,1.0291659830757847,1.616364811371211e-4,1.0958935927970297,5.643687079382025e-5
1076,1,1,0.35940330636194606,1.0290828043304638,1.0291659830757847,1.616364811371211e-4,1.0958935927970297,5.643687079382025e-5
1083,0,1,0.35940330636194606,-1.3333484281659254,-1.3334562001050383,1.616364811371211e-4,1.0958528254985065,1.1580749597368999e-4
1088,1,1,0.35940330636194606,1.0290828043304638,1.0291659830757847,1.616364811371211e-4,1.0958935927970297,5.643687079382025e-5
1090,1,1,0.35940330636194606,1.0290828043304638,1.0291659830757847,1.616364811371211e-4,1.0958935927970297,5.643687079382025e-5
1095,0.5,2,0.6079074474231537,-0.3016610239399821,-0.3016844776451472,1.5547895386177526e-4,1.0959484914801028,7.4084128067141e-6
1101,1,4,1.104915729545569,0.7564521575362727,0.7567349159729163,7.471721034744513e-4,1.095921181425403,1.2393132036174565e-4
1102,0,1,0.35940330636194606,-1.3333484281659254,-1.3334562001050383,1.616364811371211e-4,1.0958528254985065,1.1580749597368999e-4
1109,1,2,0.6079074474231537,0.9324088626033408,0.9324813560341169,1.5547895386177526e-4,1.0959043474850623,4.2341459311908786e-5
1111,1,1,0.35940330636194606,1.0290828043304638,1.0291659830757847,1.616364811371211e-4,1.0958935927970297,5.643687079382025e-5
1112,1,1,0.35940330636194606,1.0290828043304638,1.0291659830757847,1.616364811371211e-4,1.0958935927970297,5.643687079382025e-5
