r,c,value,scenario,min_pop
0.8163813416238168,-0.3354463697854066,lower,scenario-1-in,20
1.0164896034225996,-0.22356986040397858,MLE,scenario-1-in,20
1.2105688131182397,-0.11577885659850871,upper,scenario-1-in,20
0.8514791139753785,-0.35142981647481547,lower,scenario-1-in,3
1.043810500209838,-0.24271304268295352,MLE,scenario-1-in,3
1.2415268079153479,-0.13168997726583984,upper,scenario-1-in,3
0.8144568493345259,-0.29365019461906833,lower,scenario-1-yr,20
1.0135121218156862,-0.198638831653047,MLE,scenario-1-yr,20
1.2073611467533876,-0.10603178891099706,upper,scenario-1-yr,20
0.8467183866026295,-0.3073507526708178,lower,scenario-1-yr,3
1.040946666348026,-0.21423617330570455,MLE,scenario-1-yr,3
1.2395411890660029,-0.11744237098820938,upper,scenario-1-yr,3
0.8150695846578649,-0.29340699850271684,lower,scenario-2,20
1.0146143414676083,-0.19689133203540538,MLE,scenario-2,20
1.2085180867116705,-0.10346966351043685,upper,scenario-2,20
0.8484392087183729,-0.3067995914541266,lower,scenario-2,3
1.042004941368179,-0.21308190147402492,MLE,scenario-2,3
1.2403730695267277,-0.11702746495023446,upper,scenario-2,3
0.8149560365459212,-0.2951481831388843,lower,scenario-3,20
1.0144689363233579,-0.19790564175532824,MLE,scenario-3,20
1.2083706643785903,-0.10369650408528412,upper,scenario-3,20
0.8482550955180146,-0.30849495620993256,lower,scenario-3,3
1.041888429489649,-0.21417174249357895,MLE,scenario-3,3
1.2402534906629592,-0.11692566397750795,upper,scenario-3,3
0.8183970477474453,-0.29065578141801124,lower,scenario-4,20
1.0184846557005178,-0.1938869567852408,MLE,scenario-4,20
1.2125175551524916,-0.09893831639873243,upper,scenario-4,20
0.8536325225587821,-0.30206346825378144,lower,scenario-4,3
1.045556324437434,-0.210263059683509,MLE,scenario-4,3
1.2435801196152265,-0.11248776756381283,upper,scenario-4,3
