all_lice,all_lep,all_cal,month,year,day,date,farm
15,0,0,4,2002,26,2002-04-26,Wicklow
2,0,0,4,2002,26,2002-04-26,Wicklow
12,0,0,4,2002,26,2002-04-26,Wicklow
5,0,0,4,2002,26,2002-04-26,Wicklow
4,0,0,4,2002,26,2002-04-26,Wicklow
10,0,0,4,2002,26,2002-04-26,Wicklow
6,0,0,4,2002,26,2002-04-26,Wicklow
9,0,0,4,2002,26,2002-04-26,Wicklow
14,0,0,4,2002,26,2002-04-26,Wicklow
7,0,0,4,2002,26,2002-04-26,Wicklow
5,0,0,4,2002,26,2002-04-26,Wicklow
3,0,0,4,2002,26,2002-04-26,Wicklow
9,0,0,4,2002,26,2002-04-26,Wicklow
2,0,0,4,2002,26,2002-04-26,Wicklow
9,0,0,4,2002,26,2002-04-26,Wicklow
8,0,0,4,2002,26,2002-04-26,Wicklow
8,0,0,4,2002,26,2002-04-26,Wicklow
14,1,0,4,2002,26,2002-04-26,Wicklow
13,0,0,4,2002,26,2002-04-26,Wicklow
12,0,0,4,2002,26,2002-04-26,Wicklow
0,0,0,5,2002,1,2002-05-01,Glacier
0,0,0,5,2002,1,2002-05-01,Glacier
0,0,0,5,2002,1,2002-05-01,Glacier
0,0,0,5,2002,1,2002-05-01,Glacier
0,0,0,5,2002,1,2002-05-01,Glacier
0,0,0,5,2002,1,2002-05-01,Glacier
0,0,0,5,2002,1,2002-05-01,Glacier
10,0,0,5,2002,1,2002-05-01,Glacier
4,0,0,5,2002,1,2002-05-01,Glacier
5,0,0,5,2002,1,2002-05-01,Glacier
9,0,0,5,2002,1,2002-05-01,Glacier
7,0,0,5,2002,1,2002-05-01,Glacier
4,0,0,5,2002,1,2002-05-01,Glacier
3,0,0,5,2002,1,2002-05-01,Glacier
8,0,0,5,2002,1,2002-05-01,Glacier
3,0,0,5,2002,1,2002-05-01,Glacier
3,0,0,5,2002,1,2002-05-01,Glacier
3,0,0,5,2002,1,2002-05-01,Glacier
5,4,0,5,2002,1,2002-05-01,Glacier
1,0,0,5,2002,1,2002-05-01,Glacier
5,0,0,5,2002,1,2002-05-01,Glacier
0,0,0,5,2002,3,2002-05-03,Burdwood
0,0,0,5,2002,3,2002-05-03,Burdwood
0,0,0,5,2002,3,2002-05-03,Burdwood
0,0,0,5,2002,3,2002-05-03,Burdwood
4,0,0,5,2002,3,2002-05-03,Burdwood
0,0,0,5,2002,3,2002-05-03,Burdwood
4,2,0,5,2002,3,2002-05-03,Burdwood
5,0,0,5,2002,3,2002-05-03,Burdwood
1,0,0,5,2002,3,2002-05-03,Burdwood
0,0,0,5,2002,3,2002-05-03,Burdwood
0,0,0,5,2002,3,2002-05-03,Burdwood
3,0,0,5,2002,3,2002-05-03,Burdwood
4,0,0,5,2002,3,2002-05-03,Burdwood
2,0,0,5,2002,3,2002-05-03,Burdwood
2,0,0,5,2002,3,2002-05-03,Burdwood
0,0,0,5,2002,3,2002-05-03,Burdwood
6,1,0,5,2002,3,2002-05-03,Burdwood
2,0,0,5,2002,3,2002-05-03,Burdwood
5,0,0,5,2002,3,2002-05-03,Burdwood
10,0,0,5,2002,3,2002-05-03,Burdwood
4,0,0,5,2002,3,2002-05-03,Burdwood
10,0,0,5,2002,3,2002-05-03,Burdwood
0,0,0,5,2002,3,2002-05-03,Wicklow
3,0,0,5,2002,3,2002-05-03,Wicklow
1,0,0,5,2002,3,2002-05-03,Wicklow
0,0,0,5,2002,3,2002-05-03,Wicklow
1,0,0,5,2002,3,2002-05-03,Wicklow
0,0,0,5,2002,3,2002-05-03,Wicklow
1,0,0,5,2002,3,2002-05-03,Wicklow
2,0,0,5,2002,3,2002-05-03,Wicklow
1,0,0,5,2002,3,2002-05-03,Wicklow
4,0,0,5,2002,3,2002-05-03,Wicklow
2,0,0,5,2002,3,2002-05-03,Wicklow
4,2,0,5,2002,3,2002-05-03,Wicklow
1,0,0,5,2002,3,2002-05-03,Wicklow
5,0,0,5,2002,3,2002-05-03,Wicklow
4,0,0,5,2002,3,2002-05-03,Wicklow
3,0,0,5,2002,3,2002-05-03,Wicklow
10,0,0,5,2002,3,2002-05-03,Wicklow
1,0,0,5,2002,3,2002-05-03,Wicklow
1,0,0,5,2002,3,2002-05-03,Wicklow
8,1,0,5,2002,7,2002-05-07,Burdwood
10,1,0,5,2002,7,2002-05-07,Burdwood
6,1,0,5,2002,7,2002-05-07,Burdwood
6,1,0,5,2002,7,2002-05-07,Burdwood
12,0,0,5,2002,7,2002-05-07,Burdwood
9,0,0,5,2002,7,2002-05-07,Burdwood
6,0,0,5,2002,7,2002-05-07,Burdwood
3,0,0,5,2002,7,2002-05-07,Burdwood
4,0,0,5,2002,7,2002-05-07,Burdwood
7,0,0,5,2002,7,2002-05-07,Burdwood
12,0,0,5,2002,7,2002-05-07,Burdwood
9,0,0,5,2002,7,2002-05-07,Burdwood
6,1,0,5,2002,7,2002-05-07,Burdwood
5,0,0,5,2002,7,2002-05-07,Burdwood
7,0,0,5,2002,7,2002-05-07,Burdwood
5,0,0,5,2002,7,2002-05-07,Burdwood
9,0,0,5,2002,7,2002-05-07,Burdwood
4,3,0,5,2002,7,2002-05-07,Burdwood
13,0,0,5,2002,7,2002-05-07,Burdwood
3,0,0,5,2002,7,2002-05-07,Burdwood
6,1,0,5,2002,7,2002-05-07,Glacier
10,0,0,5,2002,7,2002-05-07,Glacier
3,0,0,5,2002,7,2002-05-07,Glacier
6,0,0,5,2002,7,2002-05-07,Glacier
3,1,0,5,2002,7,2002-05-07,Glacier
7,0,0,5,2002,7,2002-05-07,Glacier
8,1,0,5,2002,7,2002-05-07,Glacier
7,0,0,5,2002,7,2002-05-07,Glacier
6,0,0,5,2002,7,2002-05-07,Glacier
8,0,0,5,2002,7,2002-05-07,Glacier
5,0,0,5,2002,7,2002-05-07,Glacier
5,1,0,5,2002,7,2002-05-07,Glacier
4,0,0,5,2002,7,2002-05-07,Glacier
8,0,0,5,2002,7,2002-05-07,Glacier
6,0,0,5,2002,7,2002-05-07,Glacier
3,0,0,5,2002,7,2002-05-07,Glacier
1,0,0,5,2002,7,2002-05-07,Glacier
11,0,0,5,2002,7,2002-05-07,Glacier
9,1,0,5,2002,7,2002-05-07,Glacier
6,1,0,5,2002,7,2002-05-07,Glacier
9,0,0,5,2002,7,2002-05-07,Glacier
2,0,0,5,2002,9,2002-05-09,Wicklow
2,0,0,5,2002,9,2002-05-09,Wicklow
2,0,0,5,2002,9,2002-05-09,Wicklow
2,0,0,5,2002,9,2002-05-09,Wicklow
5,0,0,5,2002,9,2002-05-09,Wicklow
1,0,0,5,2002,9,2002-05-09,Wicklow
2,0,0,5,2002,9,2002-05-09,Wicklow
5,1,0,5,2002,9,2002-05-09,Wicklow
1,0,0,5,2002,9,2002-05-09,Wicklow
3,0,0,5,2002,9,2002-05-09,Wicklow
2,0,0,5,2002,9,2002-05-09,Wicklow
1,0,0,5,2002,9,2002-05-09,Wicklow
2,1,0,5,2002,9,2002-05-09,Wicklow
2,0,0,5,2002,9,2002-05-09,Wicklow
0,0,0,5,2002,9,2002-05-09,Wicklow
4,0,0,5,2002,9,2002-05-09,Wicklow
2,0,0,5,2002,9,2002-05-09,Wicklow
4,1,0,5,2002,9,2002-05-09,Wicklow
0,0,0,5,2002,9,2002-05-09,Wicklow
4,0,0,5,2002,9,2002-05-09,Wicklow
1,0,0,5,2002,9,2002-05-09,Wicklow
1,0,0,5,2002,9,2002-05-09,Wicklow
2,0,0,5,2002,9,2002-05-09,Wicklow
4,0,0,5,2002,26,2002-05-26,Glacier
5,0,0,5,2002,26,2002-05-26,Glacier
3,0,0,5,2002,26,2002-05-26,Glacier
6,0,0,5,2002,26,2002-05-26,Glacier
3,0,0,5,2002,26,2002-05-26,Glacier
3,1,0,5,2002,26,2002-05-26,Glacier
9,0,0,5,2002,26,2002-05-26,Glacier
6,1,0,5,2002,26,2002-05-26,Glacier
1,0,0,5,2002,26,2002-05-26,Glacier
4,1,0,5,2002,26,2002-05-26,Glacier
5,1,0,5,2002,26,2002-05-26,Glacier
12,2,0,5,2002,26,2002-05-26,Glacier
12,1,0,5,2002,26,2002-05-26,Glacier
4,1,0,5,2002,26,2002-05-26,Glacier
1,0,0,5,2002,26,2002-05-26,Glacier
4,1,0,5,2002,26,2002-05-26,Glacier
1,0,0,5,2002,26,2002-05-26,Glacier
7,1,0,5,2002,26,2002-05-26,Glacier
8,2,0,5,2002,26,2002-05-26,Glacier
2,0,0,5,2002,26,2002-05-26,Glacier
6,0,0,5,2002,26,2002-05-26,Wicklow
10,0,0,5,2002,26,2002-05-26,Wicklow
3,0,0,5,2002,26,2002-05-26,Wicklow
7,0,0,5,2002,26,2002-05-26,Wicklow
10,0,0,5,2002,26,2002-05-26,Wicklow
8,0,0,5,2002,26,2002-05-26,Wicklow
8,0,0,5,2002,26,2002-05-26,Wicklow
6,0,0,5,2002,26,2002-05-26,Wicklow
