all_lice,all_lep,all_cal,month,year,day,date,farm
17,0,0,6,2001,24,2001-06-24,Burdwood
11,0,0,6,2001,24,2001-06-24,Burdwood
28,0,0,6,2001,24,2001-06-24,Burdwood
2,0,0,6,2001,25,2001-06-25,Burdwood
4,0,0,6,2001,25,2001-06-25,Burdwood
3,0,0,6,2001,25,2001-06-25,Burdwood
4,0,0,6,2001,25,2001-06-25,Burdwood
6,0,0,6,2001,25,2001-06-25,Burdwood
26,0,0,6,2001,26,2001-06-26,Glacier
29,0,0,6,2001,26,2001-06-26,Glacier
22,0,0,6,2001,26,2001-06-26,Glacier
19,0,0,6,2001,26,2001-06-26,Glacier
17,0,0,6,2001,26,2001-06-26,Glacier
7,0,0,6,2001,26,2001-06-26,Glacier
29,0,0,6,2001,26,2001-06-26,Glacier
30,0,0,6,2001,26,2001-06-26,Glacier
7,0,0,6,2001,28,2001-06-28,Glacier
3,0,0,6,2001,28,2001-06-28,Glacier
7,0,0,6,2001,28,2001-06-28,Glacier
44,0,0,6,2001,28,2001-06-28,Glacier
17,0,0,6,2001,28,2001-06-28,Glacier
16,0,0,6,2001,28,2001-06-28,Glacier
12,0,0,6,2001,28,2001-06-28,Glacier
12,0,0,6,2001,28,2001-06-28,Glacier
7,0,0,6,2001,28,2001-06-28,Glacier
17,0,0,6,2001,28,2001-06-28,Glacier
8,0,0,6,2001,28,2001-06-28,Glacier
31,0,0,6,2001,28,2001-06-28,Glacier
5,0,0,6,2001,28,2001-06-28,Glacier
23,0,0,6,2001,28,2001-06-28,Glacier
14,0,0,6,2001,28,2001-06-28,Glacier
19,0,0,6,2001,28,2001-06-28,Glacier
5,0,0,6,2001,28,2001-06-28,Glacier
27,0,0,6,2001,28,2001-06-28,Glacier
27,0,0,6,2001,28,2001-06-28,Glacier
10,0,0,6,2001,28,2001-06-28,Glacier
3,0,0,6,2001,28,2001-06-28,Glacier
25,0,0,6,2001,28,2001-06-28,Glacier
11,0,0,6,2001,28,2001-06-28,Glacier
15,0,0,6,2001,28,2001-06-28,Glacier
18,0,0,6,2001,28,2001-06-28,Glacier
18,0,0,6,2001,28,2001-06-28,Glacier
33,0,0,6,2001,28,2001-06-28,Glacier
31,0,0,6,2001,28,2001-06-28,Glacier
23,0,0,6,2001,28,2001-06-28,Glacier
18,0,0,6,2001,28,2001-06-28,Glacier
4,0,0,6,2001,28,2001-06-28,Glacier
21,0,0,6,2001,28,2001-06-28,Glacier
3,0,0,6,2001,28,2001-06-28,Glacier
43,0,0,6,2001,28,2001-06-28,Glacier
21,0,0,6,2001,28,2001-06-28,Glacier
55,0,0,6,2001,28,2001-06-28,Glacier
29,0,0,6,2001,28,2001-06-28,Glacier
20,0,0,6,2001,28,2001-06-28,Glacier
24,0,0,6,2001,28,2001-06-28,Glacier
20,0,0,6,2001,28,2001-06-28,Glacier
18,0,0,6,2001,28,2001-06-28,Glacier
12,0,0,6,2001,28,2001-06-28,Glacier
15,0,0,6,2001,28,2001-06-28,Glacier
5,0,0,6,2001,28,2001-06-28,Glacier
3,0,0,6,2001,28,2001-06-28,Glacier
29,0,0,6,2001,28,2001-06-28,Glacier
20,0,0,6,2001,28,2001-06-28,Glacier
26,0,0,6,2001,28,2001-06-28,Glacier
