all_lice,all_lep,all_cal,month,year,day,date,farm,week,farm_week
6,0,0,6,2001,16,2001-06-16,Glacier,24,Glacier24
12,0,0,6,2001,16,2001-06-16,Glacier,24,Glacier24
16,0,0,6,2001,16,2001-06-16,Glacier,24,Glacier24
10,0,0,6,2001,16,2001-06-16,Glacier,24,Glacier24
13,0,0,6,2001,16,2001-06-16,Glacier,24,Glacier24
9,0,0,6,2001,16,2001-06-16,Glacier,24,Glacier24
4,0,0,6,2001,16,2001-06-16,Glacier,24,Glacier24
11,0,0,6,2001,16,2001-06-16,Glacier,24,Glacier24
2,0,0,6,2001,16,2001-06-16,Glacier,24,Glacier24
6,0,0,6,2001,16,2001-06-16,Glacier,24,Glacier24
11,0,0,6,2001,16,2001-06-16,Glacier,24,Glacier24
16,0,0,6,2001,16,2001-06-16,Glacier,24,Glacier24
4,0,0,6,2001,16,2001-06-16,Glacier,24,Glacier24
7,0,0,6,2001,16,2001-06-16,Glacier,24,Glacier24
36,0,0,6,2001,16,2001-06-16,Glacier,24,Glacier24
10,0,0,6,2001,16,2001-06-16,Glacier,24,Glacier24
7,0,0,6,2001,16,2001-06-16,Glacier,24,Glacier24
10,0,0,6,2001,16,2001-06-16,Glacier,24,Glacier24
6,0,0,6,2001,16,2001-06-16,Glacier,24,Glacier24
2,0,0,6,2001,16,2001-06-16,Glacier,24,Glacier24
2,0,0,6,2001,16,2001-06-16,Glacier,24,Glacier24
15,0,0,6,2001,16,2001-06-16,Glacier,24,Glacier24
10,0,0,6,2001,16,2001-06-16,Glacier,24,Glacier24
6,0,0,6,2001,16,2001-06-16,Glacier,24,Glacier24
5,0,0,6,2001,16,2001-06-16,Glacier,24,Glacier24
7,0,0,6,2001,16,2001-06-16,Glacier,24,Glacier24
15,0,0,6,2001,16,2001-06-16,Glacier,24,Glacier24
12,0,0,6,2001,16,2001-06-16,Glacier,24,Glacier24
10,0,0,6,2001,16,2001-06-16,Glacier,24,Glacier24
15,0,0,6,2001,16,2001-06-16,Glacier,24,Glacier24
5,0,0,6,2001,16,2001-06-16,Glacier,24,Glacier24
21,0,0,6,2001,16,2001-06-16,Glacier,24,Glacier24
10,0,0,6,2001,16,2001-06-16,Glacier,24,Glacier24
22,0,0,6,2001,16,2001-06-16,Glacier,24,Glacier24
3,0,0,6,2001,16,2001-06-16,Glacier,24,Glacier24
5,0,0,6,2001,16,2001-06-16,Glacier,24,Glacier24
5,0,0,6,2001,16,2001-06-16,Glacier,24,Glacier24
20,0,0,6,2001,23,2001-06-23,Burdwood,25,Burdwood25
22,0,0,6,2001,23,2001-06-23,Burdwood,25,Burdwood25
48,0,0,6,2001,23,2001-06-23,Burdwood,25,Burdwood25
28,0,0,6,2001,23,2001-06-23,Burdwood,25,Burdwood25
4,0,0,6,2001,23,2001-06-23,Burdwood,25,Burdwood25
27,0,0,6,2001,23,2001-06-23,Burdwood,25,Burdwood25
37,0,0,6,2001,23,2001-06-23,Burdwood,25,Burdwood25
33,0,0,6,2001,23,2001-06-23,Burdwood,25,Burdwood25
17,0,0,6,2001,23,2001-06-23,Burdwood,25,Burdwood25
8,0,0,6,2001,23,2001-06-23,Burdwood,25,Burdwood25
7,0,0,6,2001,23,2001-06-23,Burdwood,25,Burdwood25
21,0,0,6,2001,24,2001-06-24,Burdwood,25,Burdwood25
6,0,0,6,2001,24,2001-06-24,Burdwood,25,Burdwood25
4,0,0,6,2001,24,2001-06-24,Burdwood,25,Burdwood25
11,0,0,6,2001,24,2001-06-24,Burdwood,25,Burdwood25
21,0,0,6,2001,24,2001-06-24,Burdwood,25,Burdwood25
18,0,0,6,2001,24,2001-06-24,Burdwood,25,Burdwood25
7,0,0,6,2001,24,2001-06-24,Burdwood,25,Burdwood25
21,0,0,6,2001,24,2001-06-24,Burdwood,25,Burdwood25
26,0,0,6,2001,24,2001-06-24,Burdwood,25,Burdwood25
17,0,0,6,2001,24,2001-06-24,Burdwood,25,Burdwood25
11,0,0,6,2001,24,2001-06-24,Burdwood,25,Burdwood25
28,0,0,6,2001,24,2001-06-24,Burdwood,25,Burdwood25
2,0,0,6,2001,25,2001-06-25,Burdwood,26,Burdwood26
4,0,0,6,2001,25,2001-06-25,Burdwood,26,Burdwood26
3,0,0,6,2001,25,2001-06-25,Burdwood,26,Burdwood26
4,0,0,6,2001,25,2001-06-25,Burdwood,26,Burdwood26
6,0,0,6,2001,25,2001-06-25,Burdwood,26,Burdwood26
26,0,0,6,2001,26,2001-06-26,Glacier,26,Glacier26
29,0,0,6,2001,26,2001-06-26,Glacier,26,Glacier26
22,0,0,6,2001,26,2001-06-26,Glacier,26,Glacier26
19,0,0,6,2001,26,2001-06-26,Glacier,26,Glacier26
17,0,0,6,2001,26,2001-06-26,Glacier,26,Glacier26
7,0,0,6,2001,26,2001-06-26,Glacier,26,Glacier26
29,0,0,6,2001,26,2001-06-26,Glacier,26,Glacier26
30,0,0,6,2001,26,2001-06-26,Glacier,26,Glacier26
7,0,0,6,2001,28,2001-06-28,Glacier,26,Glacier26
3,0,0,6,2001,28,2001-06-28,Glacier,26,Glacier26
7,0,0,6,2001,28,2001-06-28,Glacier,26,Glacier26
44,0,0,6,2001,28,2001-06-28,Glacier,26,Glacier26
17,0,0,6,2001,28,2001-06-28,Glacier,26,Glacier26
16,0,0,6,2001,28,2001-06-28,Glacier,26,Glacier26
12,0,0,6,2001,28,2001-06-28,Glacier,26,Glacier26
12,0,0,6,2001,28,2001-06-28,Glacier,26,Glacier26
7,0,0,6,2001,28,2001-06-28,Glacier,26,Glacier26
17,0,0,6,2001,28,2001-06-28,Glacier,26,Glacier26
8,0,0,6,2001,28,2001-06-28,Glacier,26,Glacier26
31,0,0,6,2001,28,2001-06-28,Glacier,26,Glacier26
5,0,0,6,2001,28,2001-06-28,Glacier,26,Glacier26
23,0,0,6,2001,28,2001-06-28,Glacier,26,Glacier26
14,0,0,6,2001,28,2001-06-28,Glacier,26,Glacier26
19,0,0,6,2001,28,2001-06-28,Glacier,26,Glacier26
5,0,0,6,2001,28,2001-06-28,Glacier,26,Glacier26
27,0,0,6,2001,28,2001-06-28,Glacier,26,Glacier26
27,0,0,6,2001,28,2001-06-28,Glacier,26,Glacier26
10,0,0,6,2001,28,2001-06-28,Glacier,26,Glacier26
3,0,0,6,2001,28,2001-06-28,Glacier,26,Glacier26
25,0,0,6,2001,28,2001-06-28,Glacier,26,Glacier26
11,0,0,6,2001,28,2001-06-28,Glacier,26,Glacier26
15,0,0,6,2001,28,2001-06-28,Glacier,26,Glacier26
18,0,0,6,2001,28,2001-06-28,Glacier,26,Glacier26
18,0,0,6,2001,28,2001-06-28,Glacier,26,Glacier26
33,0,0,6,2001,28,2001-06-28,Glacier,26,Glacier26
31,0,0,6,2001,28,2001-06-28,Glacier,26,Glacier26
23,0,0,6,2001,28,2001-06-28,Glacier,26,Glacier26
18,0,0,6,2001,28,2001-06-28,Glacier,26,Glacier26
4,0,0,6,2001,28,2001-06-28,Glacier,26,Glacier26
21,0,0,6,2001,28,2001-06-28,Glacier,26,Glacier26
3,0,0,6,2001,28,2001-06-28,Glacier,26,Glacier26
43,0,0,6,2001,28,2001-06-28,Glacier,26,Glacier26
21,0,0,6,2001,28,2001-06-28,Glacier,26,Glacier26
55,0,0,6,2001,28,2001-06-28,Glacier,26,Glacier26
29,0,0,6,2001,28,2001-06-28,Glacier,26,Glacier26
20,0,0,6,2001,28,2001-06-28,Glacier,26,Glacier26
24,0,0,6,2001,28,2001-06-28,Glacier,26,Glacier26
20,0,0,6,2001,28,2001-06-28,Glacier,26,Glacier26
18,0,0,6,2001,28,2001-06-28,Glacier,26,Glacier26
12,0,0,6,2001,28,2001-06-28,Glacier,26,Glacier26
15,0,0,6,2001,28,2001-06-28,Glacier,26,Glacier26
5,0,0,6,2001,28,2001-06-28,Glacier,26,Glacier26
3,0,0,6,2001,28,2001-06-28,Glacier,26,Glacier26
29,0,0,6,2001,28,2001-06-28,Glacier,26,Glacier26
20,0,0,6,2001,28,2001-06-28,Glacier,26,Glacier26
26,0,0,6,2001,28,2001-06-28,Glacier,26,Glacier26
28,0,0,6,2001,28,2001-06-28,Glacier,26,Glacier26
41,0,0,6,2001,28,2001-06-28,Glacier,26,Glacier26
13,0,0,6,2001,28,2001-06-28,Glacier,26,Glacier26
0,0,0,6,2001,28,2001-06-28,Glacier,26,Glacier26
14,0,0,6,2001,28,2001-06-28,Glacier,26,Glacier26
19,0,0,6,2001,28,2001-06-28,Glacier,26,Glacier26
4,0,0,6,2001,28,2001-06-28,Glacier,26,Glacier26
7,0,0,6,2001,28,2001-06-28,Glacier,26,Glacier26
32,0,0,6,2001,28,2001-06-28,Glacier,26,Glacier26
10,0,0,6,2001,28,2001-06-28,Glacier,26,Glacier26
7,0,0,6,2001,28,2001-06-28,Glacier,26,Glacier26
8,0,0,6,2001,28,2001-06-28,Glacier,26,Glacier26
7,0,0,6,2001,28,2001-06-28,Glacier,26,Glacier26
14,0,0,6,2001,28,2001-06-28,Glacier,26,Glacier26
37,0,0,6,2001,28,2001-06-28,Glacier,26,Glacier26
4,0,0,6,2001,28,2001-06-28,Glacier,26,Glacier26
3,0,0,6,2001,28,2001-06-28,Glacier,26,Glacier26
5,0,0,6,2001,28,2001-06-28,Glacier,26,Glacier26
16,0,0,6,2001,28,2001-06-28,Glacier,26,Glacier26
67,0,0,6,2001,28,2001-06-28,Glacier,26,Glacier26
13,0,0,6,2001,28,2001-06-28,Glacier,26,Glacier26
