MLE,lower,upper,year,predict,scenario
93.45268331738586,76.13169191500533,98.27931887959775,2002,estimated,scen2
64.35268856401642,41.84559235111877,78.50035123518178,2003,estimated,scen2
12.467140695980095,6.758347673558863,17.99817231177161,2004,estimated,scen2
72.28668035539224,49.052417439114414,85.22607828592909,2005,estimated,scen2
42.72321211654141,25.38712662056295,56.414667655977816,2006,estimated,scen2
12.663095918090372,6.868099807729699,18.27158249197448,2007,estimated,scen2
11.023436714619173,5.953313256268855,15.974586333591322,2008,estimated,scen2
7.831600507963598,4.195198096912078,11.443539793335189,2009,estimated,scen2
1.6152745812309188,0.8521325888334097,2.3975223825708047,2010,estimated,scen2
9.60863544701821,5.1703866080744625,13.975833508687419,2011,estimated,scen2
2.819810655505506,1.4919104248635295,4.172892622940106,2012,estimated,scen2
6.265458166456939,3.343112665606285,9.191826379223034,2013,estimated,scen2
4.481718017723935,2.380826467311159,6.604714716043258,2014,estimated,scen2
3.3302484280941624,1.7641590163441356,4.921988405492095,2015,estimated,scen2
23.14625083581011,12.920667717325173,32.4510908404131,2016,estimated,scen2
8.871522734815029,6.19692009879752,11.469864556495457,2017,predicted,scen2
10.409811898286181,7.2885781788967545,13.425965793208539,2018,predicted,scen2
3.271011754820774,2.203088086334981,4.3272739000601135,2019,predicted,scen2
15.386465111911852,10.889909691861222,19.656121304549835,2020,predicted,scen2
6.8457795120010045,4.733571969059658,8.911156069497938,2021,predicted,scen2
