day,month,length,location
29,7,88,Wicklow
29,7,85,Wicklow
29,7,84,Wicklow
29,7,83,Wicklow
29,7,83,Wicklow
29,7,83,Wicklow
29,7,82,Wicklow
29,7,82,Wicklow
29,7,81,Wicklow
29,7,80,Wicklow
29,7,80,Wicklow
29,7,80,Wicklow
29,7,80,Wicklow
29,7,78,Wicklow
29,7,78,Wicklow
29,7,77,Wicklow
29,7,76,Wicklow
29,7,75,Wicklow
29,7,72,Wicklow
29,7,70,Wicklow
29,7,67,Wicklow
29,7,65,Wicklow
29,7,53,Wicklow
16,8,83,Wicklow
16,8,82,Wicklow
15,8,104,Wicklow
15,8,85,Wicklow
15,8,84,Wicklow
15,8,82,Wicklow
15,8,81,Wicklow
15,8,81,Wicklow
15,8,78,Wicklow
13,6,62,Wicklow
13,6,58,Wicklow
13,6,57,Wicklow
13,6,56,Wicklow
13,6,56,Wicklow
13,6,56,Wicklow
13,6,56,Wicklow
13,6,54,Wicklow
13,6,53,Wicklow
13,6,45,Wicklow
