Fish #,Date,day,month,location,length cm,Ch/ I-II-Lep,Ch/III-IV-Lep,unid subadult,CI-IV Caligus,preadult 1 Lep-male,preadult 1 Lep-female,preadult 2 Lep-male,preadult 2 Lep-female,unid adult,adult male-Lep,virgin-Lep,adult female non-gravid-Lep,gravid female-Lep,adult male-Caligus,adult female-Caligus,gravid Caligus
813,16/06/2001,16,6,Glacier Falls,5.2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
814,16/06/2001,16,6,Glacier Falls,5.2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
815,16/06/2001,16,6,Glacier Falls,5.4,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
816,16/06/2001,16,6,Glacier Falls,5.5,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0
817,16/06/2001,16,6,Glacier Falls,5.5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
818,16/06/2001,16,6,Glacier Falls,5.7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
819,16/06/2001,16,6,Glacier Falls,5.8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
820,16/06/2001,16,6,Glacier Falls,6.2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
821,16/06/2001,16,6,Glacier Falls,6.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
822,16/06/2001,16,6,Glacier Falls,4.8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
823,16/06/2001,16,6,Glacier Falls,5.2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
824,16/06/2001,16,6,Glacier Falls,5.2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
825,16/06/2001,16,6,Glacier Falls,5.3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
826,16/06/2001,16,6,Glacier Falls,5.4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
827,16/06/2001,16,6,Glacier Falls,5.5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
828,16/06/2001,16,6,Glacier Falls,6.8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
829,16/06/2001,16,6,Glacier Falls,4.5,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0
830,16/06/2001,16,6,Glacier Falls,4.7,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0
831,16/06/2001,16,6,Glacier Falls,4.7,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
832,16/06/2001,16,6,Glacier Falls,4.8,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
833,16/06/2001,16,6,Glacier Falls,5.5,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
834,16/06/2001,16,6,Glacier Falls,5.8,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
835,16/06/2001,16,6,Glacier Falls,4.6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
836,16/06/2001,16,6,Glacier Falls,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
837,16/06/2001,16,6,Glacier Falls,4.8,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
838,16/06/2001,16,6,Glacier Falls,5.2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
839,16/06/2001,16,6,Glacier Falls,5.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
840,16/06/2001,16,6,Glacier Falls,5.4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,16/06/2001,16,6,Glacier Falls,5.5,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0
842,16/06/2001,16,6,Glacier Falls,5.6,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0
843,16/06/2001,16,6,Glacier Falls,6,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0
844,16/06/2001,16,6,Glacier Falls,3.2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
858,13/06/2001,13,6,Wicklow Point,5.2,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
859,13/06/2001,13,6,Wicklow Point,5.2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
860,13/06/2001,13,6,Wicklow Point,5.3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
861,13/06/2001,13,6,Wicklow Point,5,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0
862,13/06/2001,13,6,Wicklow Point,5,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
863,2001-02-07,2,7,Wicklow Point,5.2,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
864,13/06/2001,13,6,Wicklow Point,5.3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
865,2001-02-07,2,7,Wicklow Point,5.5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
866,2001-02-07,2,7,Wicklow Point,4.3,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0
867,2001-02-07,2,7,Wicklow Point,4.7,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
868,2001-02-07,2,7,Wicklow Point,5,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
869,13/06/2001,13,6,Wicklow Point,5.4,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
870,13/06/2001,13,6,Wicklow Point,5.3,17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
871,13/06/2001,13,6,Wicklow Point,4.7,15,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0
872,13/06/2001,13,6,Wicklow Point,5.7,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
