day,month,location,length_mm
29,7,Wicklow Point,53
29,7,Wicklow Point,52
29,7,Wicklow Point,52
29,7,Wicklow Point,50
29,7,Wicklow Point,50
16,8,Wicklow Point,57
16,8,Wicklow Point,53
16,8,Wicklow Point,47
15,8,Wicklow Point,55
15,8,Wicklow Point,54
15,8,Wicklow Point,53
15,8,Wicklow Point,52
15,8,Wicklow Point,50
15,8,Wicklow Point,47
15,8,Wicklow Point,43
