conservation_unit,year,observed_escapement,reconstructed_escapement,apportioned_catch,total_stock,rs_index,exploitation,Seg_75,s_max,s_msy,seg_25,smsy_20,sgen,umsy,num_streams_surveyed
Southern Fjords (even),2010,736509,804033.145826989,104653.87068134,908687.016508329,3.02049943910623,0.115170425878294,1724799.34710379,1874464.73741406,1064863.74578413,588171.258806308,266215.936446033,303378.150856675,0.56808950551568,29
Southern Fjords (even),2012,2212640,2411529.30260333,17052.3633899153,2428581.66599324,1.62942207012215,0.007021531797219,1724799.34710379,1874464.73741406,1064863.74578413,588171.258806308,266215.936446033,303378.150856675,0.56808950551568,28
Southern Fjords (even),2014,3072043,3586050.19729507,343348.871113058,3929399.06840813,0.201139573781846,0.087379486057688,1724799.34710379,1874464.73741406,1064863.74578413,588171.258806308,266215.936446033,303378.150856675,0.56808950551568,26
Southern Fjords (even),2016,237724,717687.065143949,3609.54310028426,721296.608244233,0.905842044654877,0.005004242442052,1724799.34710379,1874464.73741406,1064863.74578413,588171.258806308,266215.936446033,303378.150856675,0.56808950551568,17
Southern Fjords (even),2018,187137,575089.922923688,75021.1955886648,650111.118512353,0.898652037054278,0.11539749660079,1724799.34710379,1874464.73741406,1064863.74578413,588171.258806308,266215.936446033,303378.150856675,0.56808950551568,13
Southern Fjords (even),2020,370879,513487.161078763,3318.56964599676,516805.73072476,,0.006421309688929,1724799.34710379,1874464.73741406,1064863.74578413,588171.258806308,266215.936446033,303378.150856675,0.56808950551568,12
Georgia Strait (even),1954,195450,542618.978706964,246192.218018747,788811.196725711,0.786677748574633,0.31210537964049,448106.721426567,493174.779332845,307992.376624965,114942.165461984,76998.0941562414,70823.8979711725,0.624509584698573,26
Georgia Strait (even),1956,61875,168176.362173079,258689.914329982,426866.276503061,3.84233496417408,0.606020968555306,448106.721426567,493174.779332845,307992.376624965,114942.165461984,76998.0941562414,70823.8979711725,0.624509584698573,30
Georgia Strait (even),1958,196550,210153.444419144,436036.472106082,646189.916525226,0.264486476333559,0.674780681275239,448106.721426567,493174.779332845,307992.376624965,114942.165461984,76998.0941562414,70823.8979711725,0.624509584698573,21
Georgia Strait (even),1960,18400,19976.0680806667,35606.6759231132,55582.7440037799,2.9196526594514,0.64060665879849,448106.721426567,493174.779332845,307992.376624965,114942.165461984,76998.0941562414,70823.8979711725,0.624509584698573,15
Georgia Strait (even),1962,23726,26425.439169217,31897.7411278836,58323.1802971006,2.92618343244767,0.546913610770113,448106.721426567,493174.779332845,307992.376624965,114942.165461984,76998.0941562414,70823.8979711725,0.624509584698573,12
Georgia Strait (even),1964,26200,29275.726984085,48049.9553080316,77325.6822921166,4.31754280104773,0.621397107451458,448106.721426567,493174.779332845,307992.376624965,114942.165461984,76998.0941562414,70823.8979711725,0.624509584698573,10
Georgia Strait (even),1966,29000,31553.4870232822,94845.7172622925,126399.204285575,4.03667250776908,0.75036641091511,448106.721426567,493174.779332845,307992.376624965,114942.165461984,76998.0941562414,70823.8979711725,0.624509584698573,17
Georgia Strait (even),1968,29712,32609.2237414575,94761.8698496743,127371.093591132,2.47303193416711,0.743982540919881,448106.721426567,493174.779332845,307992.376624965,114942.165461984,76998.0941562414,70823.8979711725,0.624509584698573,17
Georgia Strait (even),1970,20732,22826.7864660019,57816.8651950227,80643.6516610246,2.64890034672565,0.716942549154999,448106.721426567,493174.779332845,307992.376624965,114942.165461984,76998.0941562414,70823.8979711725,0.624509584698573,16
Georgia Strait (even),1972,21947,25274.7388055235,35191.1437789011,60465.8825844247,3.07636592086459,0.582000001898029,448106.721426567,493174.779332845,307992.376624965,114942.165461984,76998.0941562414,70823.8979711725,0.624509584698573,14
Georgia Strait (even),1974,23900,27606.9491370419,50147.3959830244,77754.3451200663,6.65764672395636,0.644946541644561,448106.721426567,493174.779332845,307992.376624965,114942.165461984,76998.0941562414,70823.8979711725,0.624509584698573,11
Georgia Strait (even),1976,45730,53782.0628155306,130015.251665126,183797.314480657,1.0475261555987,0.707383848520862,448106.721426567,493174.779332845,307992.376624965,114942.165461984,76998.0941562414,70823.8979711725,0.624509584698573,11
Georgia Strait (even),1978,19460,23240.7356449483,33097.3818563722,56338.1175013205,3.55485283707807,0.587477596417673,448106.721426567,493174.779332845,307992.376624965,114942.165461984,76998.0941562414,70823.8979711725,0.624509584698573,8
Georgia Strait (even),1980,36607,42374.5770015942,40242.8180416316,82617.3950432259,0.213877780587135,0.48709860702551,448106.721426567,493174.779332845,307992.376624965,114942.165461984,76998.0941562414,70823.8979711725,0.624509584698573,13
Georgia Strait (even),1982,4655,5547.98265970854,3514.99782271108,9062.98048241962,2.40241181006852,0.387841265853929,448106.721426567,493174.779332845,307992.376624965,114942.165461984,76998.0941562414,70823.8979711725,0.624509584698573,9
Georgia Strait (even),1984,4213,5082.9739465415,8245.56511719764,13328.5390637391,89.0924773472568,0.618639828248698,448106.721426567,493174.779332845,307992.376624965,114942.165461984,76998.0941562414,70823.8979711725,0.624509584698573,5
Georgia Strait (even),1986,217120,309964.175503751,142890.565685194,452854.741188945,1.14104241459733,0.315532890988494,448106.721426567,493174.779332845,307992.376624965,114942.165461984,76998.0941562414,70823.8979711725,0.624509584698573,4
Georgia Strait (even),1988,212850,243992.515981084,109689.755274387,353682.271255471,3.81498666714389,0.310136425229966,448106.721426567,493174.779332845,307992.376624965,114942.165461984,76998.0941562414,70823.8979711725,0.624509584698573,14
Georgia Strait (even),1990,614696,712972.083580514,217856.111770213,930828.195350726,0.779612805865642,0.234045458504968,448106.721426567,493174.779332845,307992.376624965,114942.165461984,76998.0941562414,70823.8979711725,0.624509584698573,15
Georgia Strait (even),1992,306808,350081.209654296,205760.956929781,555842.166584078,0.455110913515758,0.370178747312898,448106.721426567,493174.779332845,307992.376624965,114942.165461984,76998.0941562414,70823.8979711725,0.624509584698573,20
Georgia Strait (even),1994,114696,126008.491918015,33317.2872124536,159325.779130468,2.34989878492707,0.20911422742939,448106.721426567,493174.779332845,307992.376624965,114942.165461984,76998.0941562414,70823.8979711725,0.624509584698573,24
Georgia Strait (even),1996,247786,278649.644126522,17457.5579221139,296107.202048636,0.407102818421144,0.058956883862779,448106.721426567,493174.779332845,307992.376624965,114942.165461984,76998.0941562414,70823.8979711725,0.624509584698573,24
Georgia Strait (even),1998,92288,103875.839005953,9563.21647000246,113439.055475956,2.51602583531694,0.084302680676228,448106.721426567,493174.779332845,307992.376624965,114942.165461984,76998.0941562414,70823.8979711725,0.624509584698573,18
Georgia Strait (even),2000,186191,206568.00716738,54786.287436821,261354.294604201,1.19900462173137,0.209624592240928,448106.721426567,493174.779332845,307992.376624965,114942.165461984,76998.0941562414,70823.8979711725,0.624509584698573,20
Georgia Strait (even),2002,177778,203857.810098364,43818.1851971635,247675.995295528,0.312664557765666,0.176917367970519,448106.721426567,493174.779332845,307992.376624965,114942.165461984,76998.0941562414,70823.8979711725,0.624509584698573,20
Georgia Strait (even),2004,43193,57334.8760338879,6404.23600759432,63739.1120414822,1.01204183430091,0.100475764447838,448106.721426567,493174.779332845,307992.376624965,114942.165461984,76998.0941562414,70823.8979711725,0.624509584698573,10
Georgia Strait (even),2006,36014,50720.8791413522,7304.41396939924,58025.2931107514,2.81003028131564,0.125883275685613,448106.721426567,493174.779332845,307992.376624965,114942.165461984,76998.0941562414,70823.8979711725,0.624509584698573,6
Georgia Strait (even),2008,106422,137714.288371723,4812.9179104273,142527.20628215,5.48414136606951,0.033768415420278,448106.721426567,493174.779332845,307992.376624965,114942.165461984,76998.0941562414,70823.8979711725,0.624509584698573,10
Georgia Strait (even),2010,508463,652848.496239533,102396.12931866,755244.625558192,0.847020209120669,0.135580083397455,448106.721426567,493174.779332845,307992.376624965,114942.165461984,76998.0941562414,70823.8979711725,0.624509584698573,12
Georgia Strait (even),2012,424945,546132.233198838,6843.63661008471,552975.869808923,4.21839294903299,0.012376013102433,448106.721426567,493174.779332845,307992.376624965,114942.165461984,76998.0941562414,70823.8979711725,0.624509584698573,12
Georgia Strait (even),2014,1517489,2065535.23287868,238265.128886942,2303800.36176562,0.047870737093098,0.10342264583392,448106.721426567,493174.779332845,307992.376624965,114942.165461984,76998.0941562414,70823.8979711725,0.624509584698573,13
Georgia Strait (even),2016,71477,97524.2371899499,1354.45689971574,98878.6940896656,1.8511903785936,0.013698167357343,448106.721426567,493174.779332845,307992.376624965,114942.165461984,76998.0941562414,70823.8979711725,0.624509584698573,10
Georgia Strait (even),2018,127063,152683.857383015,27852.0721827002,180535.929565716,5.05060891230282,0.154274399836637,448106.721426567,493174.779332845,307992.376624965,114942.165461984,76998.0941562414,70823.8979711725,0.624509584698573,15
Georgia Strait (even),2020,581358,761914.020509427,9232.43035400325,771146.45086343,,0.011972343701597,448106.721426567,493174.779332845,307992.376624965,114942.165461984,76998.0941562414,70823.8979711725,0.624509584698573,11
Aggregate (even),1954,575700,619256.505297141,400017,1332483.39436906,2.6312225405606,0.30020411638181,1873288.88499503,2101380.12830873,1212004.41187982,689620.699974343,303001.102969955,334554.909686739,0.576765905203112,85
Aggregate (even),1956,589975,633936.648449768,920046,1629401.67512662,3.40017985778603,0.564652666095057,1873288.88499503,2101380.12830873,1212004.41187982,689620.699974343,303001.102969955,334554.909686739,0.576765905203112,87
Aggregate (even),1958,757925,777633.921304258,1371141,2155498.62317129,0.753509873276755,0.636113141182481,1873288.88499503,2101380.12830873,1212004.41187982,689620.699974343,303001.102969955,334554.909686739,0.576765905203112,77
Aggregate (even),1960,230300,238395.518534769,347398,585954.837497678,6.2110891607563,0.592875043891717,1873288.88499503,2101380.12830873,1212004.41187982,689620.699974343,303001.102969955,334554.909686739,0.576765905203112,64
Aggregate (even),1962,698426,725611.768557115,756911,1480695.82114418,2.08551341711408,0.5111860175408,1873288.88499503,2101380.12830873,1212004.41187982,689620.699974343,303001.102969955,334554.909686739,0.576765905203112,63
Aggregate (even),1964,628875,653629.63139157,860949,1513273.07894174,7.3591922345839,0.56893168323729,1873288.88499503,2101380.12830873,1212004.41187982,689620.699974343,303001.102969955,334554.909686739,0.576765905203112,65
Aggregate (even),1966,1332300,1367130.67873122,3447155,4810186.10763078,3.83278522456937,0.716636513196756,1873288.88499503,2101380.12830873,1212004.41187982,689620.699974343,303001.102969955,334554.909686739,0.576765905203112,81
Aggregate (even),1968,1482687,1527210.17256129,3717798,5239918.26549651,2.36432208913369,0.709514502254878,1873288.88499503,2101380.12830873,1212004.41187982,689620.699974343,303001.102969955,334554.909686739,0.576765905203112,72
Aggregate (even),1970,1153107,1188646.29898691,2426471,3610816.74573633,1.27850744897724,0.67200059456498,1873288.88499503,2101380.12830873,1212004.41187982,689620.699974343,303001.102969955,334554.909686739,0.576765905203112,72
Aggregate (even),1972,715047,740058.983819064,782739,1519693.14745399,3.7267337504607,0.515063847798061,1873288.88499503,2101380.12830873,1212004.41187982,689620.699974343,303001.102969955,334554.909686739,0.576765905203112,64
Aggregate (even),1974,1124285,1173148.58262249,1590762,2758002.79233016,4.81148033185363,0.576780416765282,1873288.88499503,2101380.12830873,1212004.41187982,689620.699974343,303001.102969955,334554.909686739,0.576765905203112,58
Aggregate (even),1976,1683743,1761147.9587759,3891494,5644581.33163008,1.42163969971123,0.689421193772788,1873288.88499503,2101380.12830873,1212004.41187982,689620.699974343,303001.102969955,334554.909686739,0.576765905203112,57
Aggregate (even),1978,1093460,1160127.73880586,1350283,2503717.85526121,2.31828272035266,0.539311167655161,1873288.88499503,2101380.12830873,1212004.41187982,689620.699974343,303001.102969955,334554.909686739,0.576765905203112,48
Aggregate (even),1980,1409530,1492658.0017983,1202029,2689504.09027541,0.522246228681588,0.446933322892589,1873288.88499503,2101380.12830873,1212004.41187982,689620.699974343,303001.102969955,334554.909686739,0.576765905203112,57
Aggregate (even),1982,548206,588904.495294268,194182,779535.012150558,1.05839044972336,0.249099779962797,1873288.88499503,2101380.12830873,1212004.41187982,689620.699974343,303001.102969955,334554.909686739,0.576765905203112,45
Aggregate (even),1984,359112,386242.450852874,239474,623290.893618611,5.38404714304349,0.384209046613367,1873288.88499503,2101380.12830873,1212004.41187982,689620.699974343,303001.102969955,334554.909686739,0.576765905203112,38
Aggregate (even),1986,1361691,1452807.81262432,572412,2079547.56403653,1.86995857722621,0.275257950286509,1873288.88499503,2101380.12830873,1212004.41187982,689620.699974343,303001.102969955,334554.909686739,0.576765905203112,58
Aggregate (even),1988,1883750,1985429.81121415,722404.48890397,2716690.43027809,2.20373477996715,0.265913436751062,1873288.88499503,2101380.12830873,1212004.41187982,689620.699974343,303001.102969955,334554.909686739,0.576765905203112,59
Aggregate (even),1990,3568329,3725793.55177226,602242.51810243,4375360.72815624,0.967915271998371,0.137644083658495,1873288.88499503,2101380.12830873,1212004.41187982,689620.699974343,303001.102969955,334554.909686739,0.576765905203112,74
Aggregate (even),1992,2405536,2546943.76381641,1046114.67713993,3606252.47907343,0.657945578670839,0.290083593206628,1873288.88499503,2101380.12830873,1212004.41187982,689620.699974343,303001.102969955,334554.909686739,0.576765905203112,71
Aggregate (even),1994,1275593,1442649.57734721,240569,1675750.38852627,1.85863433241845,0.143558970146841,1873288.88499503,2101380.12830873,1212004.41187982,689620.699974343,303001.102969955,334554.909686739,0.576765905203112,67
Aggregate (even),1996,2529600,2595107.99348895,77946,2681358.03410649,0.929845990268131,0.029069597945719,1873288.88499503,2101380.12830873,1212004.41187982,689620.699974343,303001.102969955,334554.909686739,0.576765905203112,88
Aggregate (even),1998,2252100,2350274.0293955,119681,2413050.76205848,2.62777685862919,0.049597381821303,1873288.88499503,2101380.12830873,1212004.41187982,689620.699974343,303001.102969955,334554.909686739,0.576765905203112,65
Aggregate (even),2000,5179556,5747002.83256103,596457.738629015,6175995.70588267,0.197227847529588,0.096576773533195,1873288.88499503,2101380.12830873,1212004.41187982,689620.699974343,303001.102969955,334554.909686739,0.576765905203112,65
Aggregate (even),2002,903050,975079.266061531,149751.557373656,1133468.99841246,1.76314244111343,0.13211791198824,1873288.88499503,2101380.12830873,1212004.41187982,689620.699974343,303001.102969955,334554.909686739,0.576765905203112,48
Aggregate (even),2004,1468536,1616023.02109576,113799.290052475,1719203.63744282,0.437911190222182,0.06619302540666,1873288.88499503,2101380.12830873,1212004.41187982,689620.699974343,303001.102969955,334554.909686739,0.576765905203112,39
Aggregate (even),2006,573222,646016.935523047,60416.1973313718,707674.564594491,0.983658802163004,0.085372854068863,1873288.88499503,2101380.12830873,1212004.41187982,689620.699974343,303001.102969955,334554.909686739,0.576765905203112,28
Aggregate (even),2008,539127,608841.733176167,17291,635460.244973615,2.73294610306397,0.027210199436973,1873288.88499503,2101380.12830873,1212004.41187982,689620.699974343,303001.102969955,334554.909686739,0.576765905203112,36
Aggregate (even),2010,1244972,1373125.27562922,207050,1663931.64206652,2.17136599895148,0.124434198356162,1873288.88499503,2101380.12830873,1212004.41187982,689620.699974343,303001.102969955,334554.909686739,0.576765905203112,41
Aggregate (even),2012,2615854,2888211.9642681,23896,2981557.53580216,2.1581516548261,0.008014603009689,1873288.88499503,2101380.12830873,1212004.41187982,689620.699974343,303001.102969955,334554.909686739,0.576765905203112,26
Aggregate (even),2014,4572284,5403813.67956947,581614,6233199.43017375,0.151777124632329,0.093309063269261,1873288.88499503,2101380.12830873,1212004.41187982,689620.699974343,303001.102969955,334554.909686739,0.576765905203112,0
Aggregate (even),2016,308466,850668.923365099,4964,820175.302333899,0.976463375189695,0.006052364641894,1873288.88499503,2101380.12830873,1212004.41187982,689620.699974343,303001.102969955,334554.909686739,0.576765905203112,5766891.78274786
Aggregate (even),2018,310930,1040158.32144606,102873.267771365,830647.048078069,1.23822706123971,0.123847147846237,1873288.88499503,2101380.12830873,1212004.41187982,689620.699974343,303001.102969955,334554.909686739,0.576765905203112,0
Aggregate (even),2020,952237,1310566.29998111,12551,1287952.18158819,,0.009744927008488,1873288.88499503,2101380.12830873,1212004.41187982,689620.699974343,303001.102969955,334554.909686739,0.576765905203112,0
Southern Fjords (odd),1953,107775,108205.329498622,,,0,,,,,,,,,31
Southern Fjords (odd),1955,320900,322260.290871184,,,0,,,,,,,,,29
Southern Fjords (odd),1957,258175,259348.116534453,,,2.48553532428209,,,,,,,,,30
Southern Fjords (odd),1959,266750,269210.847750638,375408.057181772,644618.90493241,2.44257516159209,0.582372087305032,634253.364591605,778216.07304632,296662.156661612,194696.186523791,74165.5391654029,151278.726022703,0.38120795359614,23
Southern Fjords (odd),1961,261925,264567.127019366,393000.602927493,657567.729946859,2.05743508201007,0.597657982637398,634253.364591605,778216.07304632,296662.156661612,194696.186523791,74165.5391654029,151278.726022703,0.38120795359614,22
Southern Fjords (odd),1963,257425,268032.393944758,276297.2947315,544329.688676258,1.66156307902633,0.507591815179915,634253.364591605,778216.07304632,296662.156661612,194696.186523791,74165.5391654029,151278.726022703,0.38120795359614,18
Southern Fjords (odd),1965,264675,275343.848120022,170008.881641628,445352.72976165,2.46826736324986,0.38173984412898,634253.364591605,778216.07304632,296662.156661612,194696.186523791,74165.5391654029,151278.726022703,0.38120795359614,19
Southern Fjords (odd),1967,222125,230496.407554966,449125.826431311,679622.233986277,0.747215354378982,0.660846281907222,634253.364591605,778216.07304632,296662.156661612,194696.186523791,74165.5391654029,151278.726022703,0.38120795359614,21
Southern Fjords (odd),1969,110725,115563.275210884,56667.1796433818,172230.454854266,7.20499019376986,0.329019508723536,634253.364591605,778216.07304632,296662.156661612,194696.186523791,74165.5391654029,151278.726022703,0.38120795359614,14
Southern Fjords (odd),1971,490050,508343.407165154,324288.857489194,832632.264654348,2.82010677136137,0.389474286855574,634253.364591605,778216.07304632,296662.156661612,194696.186523791,74165.5391654029,151278.726022703,0.38120795359614,18
Southern Fjords (odd),1973,764025,792547.892620871,641034.792102489,1433582.68472336,2.24932789442234,0.447155785943516,634253.364591605,778216.07304632,296662.156661612,194696.186523791,74165.5391654029,151278.726022703,0.38120795359614,22
Southern Fjords (odd),1975,1237310,1254617.47796997,528082.604567794,1782700.08253776,0.296042495872606,0.296226274817939,634253.364591605,778216.07304632,296662.156661612,194696.186523791,74165.5391654029,151278.726022703,0.38120795359614,24
Southern Fjords (odd),1977,149065,154747.668862719,216672.420680904,371420.089543624,2.90234218341321,0.583362146477152,634253.364591605,778216.07304632,296662.156661612,194696.186523791,74165.5391654029,151278.726022703,0.38120795359614,19
Southern Fjords (odd),1979,186340,194248.215536199,254882.47158893,449130.68712513,7.21057771678032,0.56750179601493,634253.364591605,778216.07304632,296662.156661612,194696.186523791,74165.5391654029,151278.726022703,0.38120795359614,15
Southern Fjords (odd),1981,772016,812994.629409871,587647.225059787,1400641.85446966,2.9428877092999,0.419555665271973,634253.364591605,778216.07304632,296662.156661612,194696.186523791,74165.5391654029,151278.726022703,0.38120795359614,20
Southern Fjords (odd),1983,1348155,1368845.94243869,1023705.96017845,2392551.90261713,1.08746812633437,0.427871996866044,634253.364591605,778216.07304632,296662.156661612,194696.186523791,74165.5391654029,151278.726022703,0.38120795359614,26
Southern Fjords (odd),1985,713150,741712.033117597,746864.299146613,1488576.33226421,0.24494504558811,0.501730601890324,634253.364591605,778216.07304632,296662.156661612,194696.186523791,74165.5391654029,151278.726022703,0.38120795359614,21
Southern Fjords (odd),1987,93316,101272.567817048,80406.1199481912,181678.687765239,6.14329897630474,0.442573209534021,634253.364591605,778216.07304632,296662.156661612,194696.186523791,74165.5391654029,151278.726022703,0.38120795359614,16
Southern Fjords (odd),1989,183105,194845.510186321,427302.152011902,622147.662198223,1.2195984001614,0.686817901882204,634253.364591605,778216.07304632,296662.156661612,194696.186523791,74165.5391654029,151278.726022703,0.38120795359614,15
Southern Fjords (odd),1991,111910,119689.44761594,117943.82488593,237633.27250187,5.92558045699508,0.496327065836296,634253.364591605,778216.07304632,296662.156661612,194696.186523791,74165.5391654029,151278.726022703,0.38120795359614,15
Southern Fjords (odd),1993,366533,381021.369666887,328208.082034663,709229.45170155,1.26239747284547,0.462767135864482,634253.364591605,778216.07304632,296662.156661612,194696.186523791,74165.5391654029,151278.726022703,0.38120795359614,17
Southern Fjords (odd),1995,241740,256793.446784305,224206.967383294,481000.414167599,2.40067264880213,0.466126349956056,634253.364591605,778216.07304632,296662.156661612,194696.186523791,74165.5391654029,151278.726022703,0.38120795359614,12
Southern Fjords (odd),1997,347212,392619.915928951,223857.088157754,616477.004086705,1.72632283952436,0.363123176815642,634253.364591605,778216.07304632,296662.156661612,194696.186523791,74165.5391654029,151278.726022703,0.38120795359614,19
Southern Fjords (odd),1999,583224,668272.020091648,9516.70802863452,677788.728120283,2.53846856264675,0.014040817785547,634253.364591605,778216.07304632,296662.156661612,194696.186523791,74165.5391654029,151278.726022703,0.38120795359614,8
Southern Fjords (odd),2001,1505585,1567029.27869002,129358.235609073,1696387.51429909,0.164290071624274,0.076255121261324,634253.364591605,778216.07304632,296662.156661612,194696.186523791,74165.5391654029,151278.726022703,0.38120795359614,18
Southern Fjords (odd),2003,184939,200999.288187801,56448.0642455153,257447.352433316,1.53382928518976,0.21926061275047,634253.364591605,778216.07304632,296662.156661612,194696.186523791,74165.5391654029,151278.726022703,0.38120795359614,12
Southern Fjords (odd),2005,266181,290559.782348498,17738.8121762472,308298.594524746,1.19735688267384,0.057537765307015,634253.364591605,778216.07304632,296662.156661612,194696.186523791,74165.5391654029,151278.726022703,0.38120795359614,10
Southern Fjords (odd),2007,318265,338126.312946937,9777.44227624972,347903.755223187,3.14668147390213,0.028103871054733,634253.364591605,778216.07304632,296662.156661612,194696.186523791,74165.5391654029,151278.726022703,0.38120795359614,13
