conservation_unit,year,observed_escapement,reconstructed_escapement,apportioned_catch,total_stock,rs_index,exploitation,Seg_75,s_max,s_msy,seg_25,smsy_20,sgen,umsy,num_streams_surveyed
Southern Fjords (even),1954,380250,389847.415662101,153824.781981253,543672.197643353,3.0846309358784,0.282936634700164,1724799.34710379,1874464.73741406,1064863.74578413,588171.258806308,266215.936446033,303378.150856675,0.56808950551568,59
Southern Fjords (even),1956,528100,541179.312953544,661356.085670018,1202535.39862356,2.78892535342648,0.549968081128435,1724799.34710379,1874464.73741406,1064863.74578413,588171.258806308,266215.936446033,303378.150856675,0.56808950551568,57
Southern Fjords (even),1958,561375,574204.178752143,935104.527893918,1509308.70664606,0.923664635542185,0.619558161810302,1724799.34710379,1874464.73741406,1064863.74578413,588171.258806308,266215.936446033,303378.150856675,0.56808950551568,56
Southern Fjords (even),1960,211900,218580.769417011,311791.324076887,530372.093493898,6.50730915002618,0.587872793274094,1724799.34710379,1874464.73741406,1064863.74578413,588171.258806308,266215.936446033,303378.150856675,0.56808950551568,49
Southern Fjords (even),1962,674700,697359.381974966,725013.258872116,1422372.64084708,2.05912106980325,0.509721037969586,1724799.34710379,1874464.73741406,1064863.74578413,588171.258806308,266215.936446033,303378.150856675,0.56808950551568,51
Southern Fjords (even),1964,602675,623048.351957655,812899.044691969,1435947.39664962,7.51753357284145,0.566106423249653,1724799.34710379,1874464.73741406,1064863.74578413,588171.258806308,266215.936446033,303378.150856675,0.56808950551568,55
Southern Fjords (even),1966,1303300,1331477.6206075,3352309.28273771,4683786.90334521,3.83975448988225,0.715726259950779,1724799.34710379,1874464.73741406,1064863.74578413,588171.258806308,266215.936446033,303378.150856675,0.56808950551568,64
Southern Fjords (even),1968,1452975,1489511.04175505,3623036.13015033,5112547.17190538,2.37002143328578,0.708655785135782,1724799.34710379,1874464.73741406,1064863.74578413,588171.258806308,266215.936446033,303378.150856675,0.56808950551568,55
Southern Fjords (even),1970,1132375,1161518.95927033,2368654.13480498,3530173.0940753,1.25630946720514,0.670973935748446,1724799.34710379,1874464.73741406,1064863.74578413,588171.258806308,266215.936446033,303378.150856675,0.56808950551568,56
Southern Fjords (even),1972,693100,711679.408648469,747547.856221099,1459227.26486957,3.76608963901327,0.512290219774586,1724799.34710379,1874464.73741406,1064863.74578413,588171.258806308,266215.936446033,303378.150856675,0.56808950551568,50
Southern Fjords (even),1974,1100385,1139633.84319311,1540614.60401698,2680248.44721009,4.79170046569429,0.574802908894742,1724799.34710379,1874464.73741406,1064863.74578413,588171.258806308,266215.936446033,303378.150856675,0.56808950551568,47
Southern Fjords (even),1976,1638013,1699305.26881455,3761478.74833487,5460784.01714942,1.4402237094617,0.688816612508766,1724799.34710379,1874464.73741406,1064863.74578413,588171.258806308,266215.936446033,303378.150856675,0.56808950551568,46
Southern Fjords (even),1978,1074000,1130194.11961627,1317185.61814363,2447379.73775989,2.30658313468955,0.538202387566246,1724799.34710379,1874464.73741406,1064863.74578413,588171.258806308,266215.936446033,303378.150856675,0.56808950551568,40
Southern Fjords (even),1980,1372923,1445100.51327382,1161786.18195837,2606886.69523219,0.533161551456835,0.445660405603049,1724799.34710379,1874464.73741406,1064863.74578413,588171.258806308,266215.936446033,303378.150856675,0.56808950551568,44
Southern Fjords (even),1982,543551,579805.02949085,190667.002177289,770472.031668138,1.05201287248319,0.247467778634973,1724799.34710379,1874464.73741406,1064863.74578413,588171.258806308,266215.936446033,303378.150856675,0.56808950551568,36
Southern Fjords (even),1984,354899,378733.919672069,231228.434882802,609962.354554872,4.2950808954637,0.379086402883903,1724799.34710379,1874464.73741406,1064863.74578413,588171.258806308,266215.936446033,303378.150856675,0.56808950551568,33
Southern Fjords (even),1986,1144571,1197171.38853278,429521.434314806,1626692.82284759,1.97382612185433,0.264045816322538,1724799.34710379,1874464.73741406,1064863.74578413,588171.258806308,266215.936446033,303378.150856675,0.56808950551568,54
Southern Fjords (even),1988,1670900,1750293.42539304,612714.733629583,2363008.15902262,1.96797433095084,0.259294379196309,1724799.34710379,1874464.73741406,1064863.74578413,588171.258806308,266215.936446033,303378.150856675,0.56808950551568,45
Southern Fjords (even),1990,2953633,3060146.1264733,384386.406332218,3444532.53280551,0.996818513371071,0.111593199562305,1724799.34710379,1874464.73741406,1064863.74578413,588171.258806308,266215.936446033,303378.150856675,0.56808950551568,59
Southern Fjords (even),1992,2098728,2210056.5922792,840353.720210148,3050410.31248935,0.686147411199066,0.275488748765854,1724799.34710379,1874464.73741406,1064863.74578413,588171.258806308,266215.936446033,303378.150856675,0.56808950551568,51
Southern Fjords (even),1994,1160897,1309172.89660826,207251.712787546,1516424.60939581,1.82195250011473,0.136671293451326,1724799.34710379,1874464.73741406,1064863.74578413,588171.258806308,266215.936446033,303378.150856675,0.56808950551568,43
Southern Fjords (even),1996,2281814,2324762.38997997,60488.442077886,2385250.83205786,0.989181396126394,0.025359363160016,1724799.34710379,1874464.73741406,1064863.74578413,588171.258806308,266215.936446033,303378.150856675,0.56808950551568,64
Southern Fjords (even),1998,2109812,2189493.92305252,110117.783529998,2299611.70658252,2.70137375080378,0.047885381351465,1724799.34710379,1874464.73741406,1064863.74578413,588171.258806308,266215.936446033,303378.150856675,0.56808950551568,47
Southern Fjords (even),2000,4838725,5372969.96008628,541671.451192194,5914641.41127847,0.164860963246983,0.091581452454463,1724799.34710379,1874464.73741406,1064863.74578413,588171.258806308,266215.936446033,303378.150856675,0.56808950551568,45
Southern Fjords (even),2002,725272,779859.630940437,105933.372176492,885793.003116929,2.12277243201447,0.119591565753775,1724799.34710379,1874464.73741406,1064863.74578413,588171.258806308,266215.936446033,303378.150856675,0.56808950551568,28
Southern Fjords (even),2004,1425343,1548069.47135646,107395.054044881,1655464.52540134,0.419651238852027,0.064873062754905,1724799.34710379,1874464.73741406,1064863.74578413,588171.258806308,266215.936446033,303378.150856675,0.56808950551568,29
Southern Fjords (even),2006,537208,596537.488121767,53111.7833619726,649649.27148374,0.826323656948187,0.081754549251891,1724799.34710379,1874464.73741406,1064863.74578413,588171.258806308,266215.936446033,303378.150856675,0.56808950551568,22
Southern Fjords (even),2008,432765,480454.956601892,12478.0820895727,492933.038691464,1.8913053222204,0.025313949583694,1724799.34710379,1874464.73741406,1064863.74578413,588171.258806308,266215.936446033,303378.150856675,0.56808950551568,27
