effect,group,term,estimate,std.error,statistic
fixed,NA,S:population_nameevans_inlet_#3_creek_even,-1.1880773383455897e-4,2.9625262572955527e-5,-4.010352095343682
fixed,NA,S:population_namefrenchman_creek_even,-8.31973061547213e-5,2.3054090326635026e-5,-3.608787203310345
fixed,NA,S:population_namenecleetsconnay_river_odd,-3.07144998651017e-5,9.466263013211523e-6,-3.2446277715118654
fixed,NA,S:population_namecascade_river_odd,-2.496469828190589e-4,6.530009749945109e-5,-3.823072129733917
fixed,NA,S:population_namedean_river_odd,-4.045146156719459e-5,1.1969501103371605e-5,-3.3795444954510345
fixed,NA,S:population_namekwatna_river_odd,-5.595871750024963e-6,2.124943479221171e-6,-2.633421455556055
fixed,NA,S:population_namekoeye_river_odd,-1.3304831733337493e-5,2.9775788366502684e-6,-4.468339030883639
fixed,NA,S:population_namenekite_river_odd,-3.4956913930924554e-5,1.0240563184711865e-5,-3.4135733846271
fixed,NA,S:population_nameelcho_creek_odd,-4.381475261408095e-5,1.458954640730151e-5,-3.003160714588998
fixed,NA,S:population_namechuckwalla_river_odd,-2.6635626837762943e-6,1.1842904741055333e-6,-2.2490788721306068
fixed,NA,S:population_namejohnston_creek_odd,-2.669672220928147e-5,6.247295474213305e-6,-4.273324724190875
fixed,NA,S:population_namebella_coola_river_odd,-7.095892461164125e-7,2.3556020264924722e-7,-3.01234774862629
fixed,NA,S:population_namejenny_bay_creeks_odd,-1.3692827266849453e-4,3.920807274617129e-5,-3.4923489750427916
fixed,NA,S:population_namenooseseck_river_odd,-8.581986438255528e-5,3.4108031482420863e-5,-2.5161189506578965
fixed,NA,S:population_namehook_nose_creek_odd,-1.247626844994512e-4,2.738283920468943e-5,-4.556236245877858
fixed,NA,S:population_nameworan_creek_odd,-1.4228769359922935e-4,5.0962361715810764e-5,-2.792015299304417
fixed,NA,S:population_namefrenchman_creek_odd,-6.405724590505818e-5,1.9505658210391316e-5,-3.2840340589446373
fixed,NA,S:population_namechuckwalla_river_even,-5.4988104176813005e-6,2.2653511445937114e-6,-2.427354554195397
fixed,NA,S:population_nameclyak_river_even,-1.6460874488344803e-5,4.635042895639576e-6,-3.551396364385408
fixed,NA,S:population_namemilton_river_even,-6.033922366348973e-5,2.54946212104941e-5,-2.3667432893120566
fixed,NA,S:population_namekilbella_river_odd,-5.7113463544823955e-6,2.1208998256127487e-6,-2.6928883134932278
ran_pars,area:year_fac,sd__(Intercept),0.47475761071275124,NA,NA
ran_pars,year_fac,sd__(Intercept),0.6654492669975732,NA,NA
ran_pars,Residual,sd__Observation,1.0763110147459378,NA,NA
