MLE,lower,upper,year
92.43665657271582,73.21939572592544,97.91512132119544,2002
69.78996144018757,45.709093859090935,83.37754368828773,2003
15.81071132750097,8.407605547683305,22.740376224751756,2004
73.02077686230231,48.7539055875568,85.97003169408562,2005
46.02491527044709,26.99690154042128,60.32369319024884,2006
14.2701809868507,7.556161536408257,20.61140879275153,2007
12.506046802064208,6.590284097042365,18.149879042817307,2008
8.9114345117573,4.651279717581125,13.057462972668644,2009
4.213418562801186,2.1727180985086636,6.249444108339075,2010
16.733547810880655,8.921310430919139,24.006450192834905,2011
9.522062035966306,4.977986359085563,13.929725547820338,2012
12.53623692547363,6.606732794754421,18.19221400207566,2013
8.446230264479137,4.403098711615916,12.390970619974961,2014
7.773999076489025,4.045559642705876,11.424884749008314,2015
29.631427841826675,16.416779563309813,40.9519459470525,2016
