MLE,lower,upper,year
93.44449916195238,76.01511340930794,98.28155521711601,2002
63.45718399139864,40.99054223475077,77.71661132891234,2003
12.480872581193236,6.7468025899011685,18.03002390727102,2004
72.28279699358407,48.94741601811994,85.24497993547703,2005
42.801373378185325,25.376180407293102,56.531460393945075,2006
12.717244467235167,6.878853674793173,18.35996863541862,2007
10.705839305262188,5.760540393182756,15.538348078264331,2008
7.919138439596374,4.23080260139459,11.577313507951036,2009
1.4910345148861248,0.7840496111578887,2.2155000571051686,2010
9.281783521709098,4.976020654842439,13.521657970412026,2011
2.922858534417627,1.5422988706969898,4.327570378094903,2012
6.2352581308322,3.3171184408261944,9.155011417334258,2013
4.621432240522827,2.448748398916334,6.813332931582661,2014
3.550198011304495,1.8761946143335595,5.248154685871487,2015
23.113988393980478,12.866031701846047,32.42944369428664,2016
