effect,group,term,estimate,std.error,statistic
fixed,NA,(Intercept),1.045556324442396,0.09671835211898351,10.810319877618946
fixed,NA,lice,-0.21026305968366418,0.047538363559595453,-4.42301846213264
fixed,NA,S:population_nameroscoe_creek_even,-1.3799959659674735e-4,3.4804106790185514e-5,-3.9650377304227256
fixed,NA,S:population_namecooper_inlet_creeks_even,-4.978998532047028e-5,1.53574215026347e-5,-3.2420797535529235
fixed,NA,S:population_namequartcha_creek_even,-1.9422515698538676e-4,4.4655883550469894e-5,-4.349374405857949
fixed,NA,S:population_namegoat_bushu_creek_even,-0.0014685054010358679,4.390429171780431e-4,-3.344787818181227
fixed,NA,S:population_nameneekas_creek_even,-2.0662491619069913e-5,5.293967825237916e-6,-3.9030255379652448
fixed,NA,S:population_namewalker_lake_creek_even,-9.590639356737086e-4,3.666417931811518e-4,-2.615806363351083
fixed,NA,S:population_namekadjusdis_river_even,-1.2148405075417679e-4,4.103250954904536e-5,-2.960678059648515
fixed,NA,S:population_namepine_river_even,-2.863415033515922e-4,9.720588473930229e-5,-2.9457218986230633
fixed,NA,S:population_namelee_creek_even,-0.0014438304580037939,6.170767080886394e-4,-2.3397908867375303
fixed,NA,S:population_nameclatse_creek_even,-2.513688499695961e-5,7.719029980991382e-6,-3.2564823635691065
fixed,NA,S:population_nametankeeah_river_even,-5.313013966882478e-4,1.4431217612164427e-4,-3.6816117043401855
fixed,NA,S:population_namekunsoot_river_even,-4.880719736467871e-5,1.7533336640811282e-5,-2.783679932949737
fixed,NA,S:population_namebullock_channel_creeks_even,-5.009691396942076e-4,1.9509740937447007e-4,-2.5677898097183194
fixed,NA,S:population_namekwakusdis_river_even,-7.81240851218192e-5,2.237772252179595e-5,-3.4911544302922777
fixed,NA,S:population_nameroscoe_creek_odd,-5.6629310611574665e-5,1.544500356937912e-5,-3.6665132744835702
fixed,NA,S:population_namecooper_inlet_creeks_odd,-9.445148261028167e-5,3.2247472733081865e-5,-2.928957670328884
fixed,NA,S:population_namequartcha_creek_odd,-1.0813679435439062e-4,3.144922579340584e-5,-3.4384564842630994
fixed,NA,S:population_nameneekas_creek_odd,-2.8481266474292194e-5,5.248597937650007e-6,-5.4264523235788795
