MLE,lower,upper,year
93.91854334157735,77.64054328480279,98.20894919728464,2002
72.69490096901319,50.06576843806465,84.50794720310559,2003
17.02564701242524,9.50259676411125,23.51875638814405,2004
75.8468943032414,53.237334411904044,87.01086332356337,2005
48.7641654448583,30.07602767367007,61.737410861849916,2006
15.37784398556269,8.54551464373664,21.327347843540277,2007
13.487794896343697,7.458339499716837,18.790750034977123,2008
9.626709632499274,5.271192228680722,13.533616925953352,2009
4.561055639247147,2.4665701657756722,6.486593334703872,2010
18.011527819731366,10.079448349594589,24.820844117315566,2011
10.283525708992824,5.640139191901483,14.434971512053817,2012
13.520167101734959,7.476866806854976,18.834401633266783,2013
9.126067031344364,4.990807816910269,12.844656047566772,2014
8.40224719400322,4.586700061143,11.84563701459017,2015
31.689411940100676,18.444467023577893,42.16032496575287,2016
