month,inventory,year,ref,farm_name,lep_av,lep_tot
3,650113.3284013605,2017,1839,Wa-kwa,0.025,16252.833210034014
3,650113.3284013605,2019,1839,Wa-kwa,0.155,100767.56590221089
3,650113.3284013605,2019,7273,Tsa-ya,0.225,146275.49889030613
3,650113.3284013605,2021,1839,Wa-kwa,0.51,331557.7974846939
3,650113.3284013605,2021,7273,Tsa-ya,0.8,520090.66272108845
4,670501.2005952381,2017,1839,Wa-kwa,0.17500000000000002,117337.71010416669
4,670501.2005952381,2019,1839,Wa-kwa,0.09,60345.10805357143
4,670501.2005952381,2019,7273,Tsa-ya,0.2566666666666667,172095.3081527778
4,670501.2005952381,2021,1839,Wa-kwa,0.24,160920.28814285714
4,670501.2005952381,2021,7273,Tsa-ya,0.20750000000000002,139128.99912351192
