MLE,lower,upper,year
95.25724688222336,81.19767014991135,98.73937168559362,2002
64.03422157659067,42.912300610767794,76.93977785150382,2003
12.421494432662605,7.012871489888051,17.32742185432441,2004
72.72175870369666,50.94090484724223,84.49033492063009,2005
44.71809040340238,27.74193912789564,57.2731754490671,2006
13.551551637768933,7.672546121482249,18.853522886877627,2007
11.608355928021407,6.54057572449328,16.22399442619852,2008
8.573313390225845,4.794825545897341,12.066585723986078,2009
1.612300975672043,0.8870936781804839,2.3049340706117194,2010
9.975478484702593,5.598040924389503,13.994853882393443,2011
2.89532665764487,1.5977218021688722,4.127457155065805,2012
6.805518906846197,3.79005286846531,9.617135338283978,2013
5.174644454658239,2.8707121812712733,7.33941211169472,2014
3.6473160804984084,2.0161979615442083,5.190803371764352,2015
24.65452165071649,14.374357377580505,33.377342907656015,2016
