effect,group,term,estimate,std.error,statistic
fixed,NA,S:population_namecamp_creek_odd,-0.005424786397241521,0.0015277877548654864,-3.550746090198337
fixed,NA,S:population_namewannock_river_odd,-0.0011806185309249716,9.420294886772976e-4,-1.2532713095666215
fixed,NA,S:population_namehook_nose_creek_odd,-1.2874685410503437e-4,2.9227500497165806e-5,-4.404990228894837
fixed,NA,S:population_namenootum_river_odd,-8.151679870509108e-4,2.1817315304591603e-4,-3.736334996631566
fixed,NA,S:population_nameworan_creek_odd,-1.5737970109574122e-4,5.438848951462186e-5,-2.8936214721210654
fixed,NA,S:population_namedeep_bay_creek_odd,-0.007113667408432736,0.0021998123680794872,-3.2337609841893995
fixed,NA,S:population_nameevans_inlet_#3_creek_odd,-5.562672558486059e-4,1.6827116076299013e-4,-3.305778918540344
fixed,NA,S:population_namefrenchman_creek_odd,-6.779345188379699e-5,2.07815153505411e-5,-3.2621996394517887
fixed,NA,S:population_namegenesee_creek_even,-0.0011044918290213667,2.591789174323749e-4,-4.261503365950093
fixed,NA,S:population_namechuckwalla_river_even,-5.822462490948199e-6,2.405135029359042e-6,-2.4208464056589203
fixed,NA,S:population_namenicknaqueet_river_odd,-3.036389157654028e-4,1.3202469636829352e-4,-2.2998645262427084
fixed,NA,S:population_nameclyak_river_even,-1.8651921124917753e-5,4.909303596023158e-6,-3.7993008091874723
fixed,NA,S:population_namemilton_river_even,-6.7257462948872e-5,2.7334236810276842e-5,-2.460557557018941
fixed,NA,S:population_namekilbella_river_odd,-6.0080046603183254e-6,2.1943062608830756e-6,-2.737997319435468
fixed,NA,S:population_nameclyak_river_odd,-6.64376593547618e-4,2.535604514076057e-4,-2.620190135565004
fixed,NA,S:population_namemilton_river_odd,-3.2304050550207073e-4,1.0822205490876319e-4,-2.9849784849715766
fixed,NA,S:population_namelockhart_gordon_creek_even,-2.4825175274748387e-4,6.151798724203382e-5,-4.035433600432544
fixed,NA,S:population_namemacnair_creek_even,-1.6417494827942715e-4,8.307953982980688e-5,-1.9761176893342065
fixed,NA,S:population_nameamback_creek_odd,-2.080236868634453e-4,1.4425859813894235e-4,-1.442019328810389
fixed,NA,S:population_namesandell_river_even,-1.9289237841685388e-4,0.00020781851860713734,-0.9281770446141038
fixed,NA,S:population_namedallery_creek_odd,-5.812292902010505e-4,1.5413751526692393e-4,-3.77084896687559
fixed,NA,S:population_nameamback_creek_even,-3.1090432360446763e-4,1.145457334544382e-4,-2.714237486009317
fixed,NA,S:population_namewannock_river_even,-3.93934690271967e-4,2.8297994330592484e-4,-1.392094032070997
fixed,NA,S:population_nameashlulm_creek_even,-9.700615354538434e-4,3.70382582564904e-4,-2.6190797870033604
fixed,NA,S:population_namelockhart_gordon_creek_odd,-2.2688580661633643e-4,1.331890398600115e-4,-1.7034870651129028
fixed,NA,S:population_namemacnair_creek_odd,-1.84876250808614e-4,1.1514814420120605e-4,-1.6055512843139474
