MLE,lower,upper,year,predict,scenario
95.25724688222336,81.19767014991135,98.73937168559362,2002,estimated,scen1_year
64.03422157659067,42.912300610767794,76.93977785150382,2003,estimated,scen1_year
12.421494432662605,7.012871489888051,17.32742185432441,2004,estimated,scen1_year
72.72175870369666,50.94090484724223,84.49033492063009,2005,estimated,scen1_year
44.71809040340238,27.74193912789564,57.2731754490671,2006,estimated,scen1_year
13.551551637768933,7.672546121482249,18.853522886877627,2007,estimated,scen1_year
11.608355928021407,6.54057572449328,16.22399442619852,2008,estimated,scen1_year
8.573313390225845,4.794825545897341,12.066585723986078,2009,estimated,scen1_year
1.612300975672043,0.8870936781804839,2.3049340706117194,2010,estimated,scen1_year
9.975478484702593,5.598040924389503,13.994853882393443,2011,estimated,scen1_year
2.89532665764487,1.5977218021688722,4.127457155065805,2012,estimated,scen1_year
6.805518906846197,3.79005286846531,9.617135338283978,2013,estimated,scen1_year
5.174644454658239,2.8707121812712733,7.33941211169472,2014,estimated,scen1_year
3.6473160804984084,2.0161979615442083,5.190803371764352,2015,estimated,scen1_year
24.65452165071649,14.374357377580505,33.377342907656015,2016,estimated,scen1_year
9.6424178199365,6.716658638785667,12.476412848333162,2017,predicted,scen1_year
10.603461634056144,7.392079591395595,13.703481985638666,2018,predicted,scen1_year
3.3253202740416876,2.2306146474922572,4.407768685262637,2019,predicted,scen1_year
16.524476569393578,11.668027045199514,21.113920827067524,2020,predicted,scen1_year
6.609255084261811,4.543782369420802,8.630035293557892,2021,predicted,scen1_year
