MLE,lower,upper,year,predict,scenario
92.40886086236034,73.68817896470144,97.9106953234631,2002,estimated,scen1_indiv
66.91644186391763,43.607116903315315,80.97951704145622,2003,estimated,scen1_indiv
12.953488179238203,6.932213537380482,18.791333420778468,2004,estimated,scen1_indiv
74.683811253396,50.90454700109851,87.26927590366698,2005,estimated,scen1_indiv
46.1934471944496,27.454724472872407,60.541324985192624,2006,estimated,scen1_indiv
14.103335414625695,7.570909249778324,20.395539086535386,2007,estimated,scen1_indiv
12.019083137531783,6.416177754006802,17.479862004402758,2008,estimated,scen1_indiv
9.07870103755477,4.80932532427617,13.307502200127718,2009,estimated,scen1_indiv
1.8177162814968506,0.9454927384222045,2.7148773099950785,2010,estimated,scen1_indiv
10.501377046404926,5.583606371362082,15.334828442360093,2011,estimated,scen1_indiv
3.1965246581361573,1.6683275493399319,4.757531178919605,2012,estimated,scen1_indiv
7.2173608716409765,3.8050716604967394,10.631029317594741,2013,estimated,scen1_indiv
5.2508362431165745,2.7545640253681225,7.773976585522413,2014,estimated,scen1_indiv
3.9702457076555397,2.0761228246984786,5.897422401475316,2015,estimated,scen1_indiv
25.61632381498753,14.208778206053442,35.85485196753926,2016,estimated,scen1_indiv
8.987895657528288,6.300219709748056,11.598478553671676,2017,predicted,scen1_indiv
9.974964665685537,6.998480592582512,12.85618731194429,2018,predicted,scen1_indiv
3.2269998201430505,2.181788800077511,4.2610425100677585,2019,predicted,scen1_indiv
15.711719350195052,11.160036963718579,20.03019798647524,2020,predicted,scen1_indiv
6.303436652354389,4.364158895226589,8.203390258872478,2021,predicted,scen1_indiv
