bamp_farm_id,Inventory_Year,Inventory_Month,site_name,Fish_Group_Name,Fish_Group_ID,Inventory_Balance_Inventory_Start,Inventory_Balance_Fish_In,INC End_of_month created_CWR,Species,Freshwater_YearClass,Fish_Group_SW_Entry_Date
101,2003,1,Arrow,BNAP01S0,,215814,0,215814,Atlantic salmon,,
101,2003,2,Arrow,BNAP01S0,,215709,0,215709,Atlantic salmon,,
101,2003,3,Arrow,BNAP01S0,,215591,0,215591,Atlantic salmon,,
101,2003,4,Arrow,BNAP01S0,,215416,0,215416,Atlantic salmon,,
101,2003,5,Arrow,BNAP01S0,,215119,0,215119,Atlantic salmon,,
101,2003,6,Arrow,BNAP01S0,,214841,0,214841,Atlantic salmon,,
101,2003,7,Arrow,BNAP01S0,,209590,5516,215106,Atlantic salmon,,
101,2003,8,Arrow,BNAP01S0,,78994,9640,88634,Atlantic salmon,,
101,2004,12,Arrow,BNAP05S1,,0,170758,170758,Atlantic salmon,,15-Dec-04
101,2005,1,Arrow,BNAP05S1,,170004,191214,361218,Atlantic salmon,,15-Dec-04
101,2005,2,Arrow,BNAP05S1,,342250,324226,666476,Atlantic salmon,,15-Dec-04
101,2005,3,Arrow,BNAP05S1,,655361,0,655361,Atlantic salmon,,15-Dec-04
101,2005,4,Arrow,BNAP05S1,,622822,0,622822,Atlantic salmon,,15-Dec-04
101,2005,5,Arrow,BNAP05S1,,613549,0,613549,Atlantic salmon,,15-Dec-04
101,2005,6,Arrow,BNAP05S1,,609081,0,609081,Atlantic salmon,,15-Dec-04
101,2005,7,Arrow,BNAP05S1,,596997,0,596997,Atlantic salmon,,15-Dec-04
101,2005,8,Arrow,BNAP05S1,,591590,0,591590,Atlantic salmon,,15-Dec-04
101,2005,9,Arrow,BNAP05S1,,64773,0,64773,Atlantic salmon,,15-Dec-04
101,2005,11,Arrow,BNAP06S1,,0,170754,170754,Atlantic salmon,,24-Nov-05
101,2005,12,Arrow,BNAP06S1,,168580,543225,711805,Atlantic salmon,,24-Nov-05
101,2006,1,Arrow,BNAP06S1,,698782,549751,1248533,Atlantic salmon,,24-Nov-05
101,2006,2,Arrow,BNAP06S1,,1225947,0,1225947,Atlantic salmon,,24-Nov-05
101,2006,3,Arrow,BNAP06S1,,1165825,26657,1192482,Atlantic salmon,,24-Nov-05
101,2006,4,Arrow,BNAP06S1,,1180669,0,1180669,Atlantic salmon,,24-Nov-05
101,2006,5,Arrow,BNAP06S1,,1167212,0,1167212,Atlantic salmon,,24-Nov-05
101,2006,6,Arrow,BNAP06S1,,1164693,0,1164693,Atlantic salmon,,24-Nov-05
