.rownames,wild,farm,.fitted,.resid,.hat,.sigma,.cooksd,.std.resid
3,-0.1698660907428855,4.995397627579614,-0.34393902396980525,0.17407293322691975,0.05315876294692841,0.3769509090172606,0.006624325317145321,0.48577702749710394
4,0.814087056613069,6.386170482624089,0.2048966034815889,0.6091904531314801,0.24709655518410947,0.3365788582450326,0.5964209903700385,1.9064602486143027
5,0.4518427626450136,4.864025590531153,-0.39578189257450935,0.847624655219523,0.05709172928112511,0.31059465993644925,0.17009834518959407,2.3703537562877135
6,-0.16261728175392814,6.167698831523883,0.11868193134658434,-0.2812992131005125,0.18813121585325024,0.37148425672807317,0.08326928388624878,-0.8477541086421873
7,-0.22679422212635097,5.590104805025811,-0.1092518960900386,-0.11754232603631237,0.08340568018336014,0.37835177115833557,0.005056947982266578,-0.3333880336473206
8,-0.38278743903532053,4.649193722533408,-0.4805602103576292,0.09777277132230866,0.07179977522948039,0.37874591010273195,0.0029372047123583673,0.2755760039535384
9,-1.0824488759515054,4.523459009182604,-0.530178442439174,-0.5522704335123314,0.0851730663033058,0.3510764820580929,0.11444230706054734,-1.5679298559067552
10,-0.28981300785476083,4.598398608041499,-0.5006053014251712,0.2107922935704104,0.07677880987853904,0.3756116477074028,0.014756994867709906,0.5957254513256278
11,-0.8378103250523197,3.3577128810453662,-0.9902125920593676,0.15240226700704795,0.3766989462734638,0.3765145078649538,0.08303097875690778,0.524187673816692
12,-0.4832993481651822,4.774903499894091,-0.43095181867506427,-0.05234752949011795,0.06194657679825358,0.37935415397981886,7.112350764457293e-4,-0.1467664236319659
13,-0.6328633649074805,4.40931503922702,-0.5752226616609839,-0.057640703246496616,0.1003604663746208,0.37929056464917177,0.0015189475179548143,-0.16502103725393721
14,-0.7644160246074189,4.562156035184453,-0.5149075759787063,-0.24950844862871258,0.08068240459503012,0.3739782983874146,0.021911737662202817,-0.7066376568448842
15,0.1261680651579232,5.821588104727558,-0.017902484447786637,0.14407054960570984,0.11646110967419893,0.3776557751657972,0.011416648462421287,0.4162044175001971
16,-0.40243595845399216,5.776202643077207,-0.03581278391307574,-0.3666231745409164,0.10904025867831862,0.3669648957049315,0.06807210159958242,-1.0547151419577465
17,-0.32935688693466436,5.183319491721874,-0.26978010301858024,-0.05957678391608412,0.05420986199316643,0.37928564237041995,7.930516437733141e-4,-0.16635044708499638
18,-0.8485671428137029,5.306089392729857,-0.22133186403586924,-0.6272352787778337,0.05914115242769681,0.34344943156461594,0.09690817402922608,-1.7559516289098493
19,-0.1475369838650763,4.861455056983169,-0.39679629286825646,0.24925930900318016,0.057206998939972546,0.3741301792827804,0.014742728201549603,0.697087860097983
20,-0.5197202663052362,4.959986784740187,-0.35791307593513344,-0.16180719037010272,0.05384074383895508,0.37730980253414287,0.005805462443247338,-0.45171031015249097
21,-0.13053088848364672,5.4331339373338485,-0.17119673801647428,0.040665849532827564,0.06777588554622471,0.37944865167457875,4.755025532979327e-4,0.11437049232478709
