.rownames,wild,farm,.fitted,.resid,.hat,.sigma,.cooksd,.std.resid
3,-0.20725042310563555,4.995397627579614,-0.3440146268056996,0.13676420370006406,0.05315876294692841,0.37113632972612604,0.00423957128603409,0.38862176330263737
4,0.7884868499991922,6.386170482624089,0.196730117416557,0.5917567325826352,0.24709655518410947,0.3315238049757254,0.5834868327749945,1.8856749184083805
5,0.44282063273117767,4.864025590531153,-0.39509323271468166,0.8379138654458593,0.05709172928112511,0.30403727343284237,0.17234138689721715,2.38593118339229
6,-0.16749776413350856,6.167698831523883,0.11178641387395594,-0.2792841780074645,0.18813121585325024,0.36465353163143815,0.08510172498122595,-0.8570312737679626
7,-0.24203284256159419,5.590104805025811,-0.11278723450445982,-0.12924560805713436,0.08340568018336014,0.37126514533873833,0.006339126459146934,-0.3732677528402563
8,-0.3708863390216791,4.649193722533408,-0.47862175650623606,0.10773541748455695,0.07179977522948039,0.3717462694045986,0.0036975432800007853,0.30919390422539444
9,-1.0859099278470052,4.523459009182604,-0.5275085212745667,-0.5584014065724385,0.0851730663033058,0.3430366805135595,0.12130366626468789,-1.6142481274876177
10,-0.3042979727068295,4.598398608041499,-0.49837134472550626,0.19407337201867675,0.07677880987853904,0.3693603065067533,0.012969351882341449,0.5584783329756177
11,-0.8376998477692926,3.3577128810453662,-0.980760890704439,0.14306104293514632,0.3766989462734638,0.3700332572433938,0.07585740447501794,0.5010322893163438
12,-0.4748697809422796,4.774903499894091,-0.4297446870706483,-0.04512509387163133,0.06194657679825358,0.37261396208552544,5.47967656904413e-4,-0.12882424056552616
13,-0.6175251667330236,4.40931503922702,-0.571888702850782,-0.04563646388224163,0.1003604663746208,0.37260186161284903,9.872021700451101e-4,-0.1330365515493259
14,-0.7418285471523944,4.562156035184453,-0.5124627764919922,-0.2293657706604022,0.08068240459503012,0.3679676965014764,0.019198240307405922,-0.6614379047855556
15,0.1217810610333837,5.821588104727558,-0.022784487301759526,0.14456554833514323,0.11646110967419893,0.37080785248079895,0.011918338634266126,0.4252508902889339
16,-0.37546546479789816,5.776202643077207,-0.04043075481590641,-0.33503470998199175,0.10904025867831862,0.36208110290787715,0.058939553249019304,-0.9814180053173455
17,-0.3278833654371958,5.183319491721874,-0.2709489496961712,-0.05693441574102459,0.05420986199316643,0.3725085617944402,7.509222935468434e-4,-0.1618716287408473
18,-0.8335109692440494,5.306089392729857,-0.22321493009839122,-0.6102960391456582,0.05914115242769681,0.33798628846238205,0.09512144987118248,-1.7396888244999398
19,-0.11660177045866836,4.861455056983169,-0.3960926788146524,0.279490908355984,0.057206998939972546,0.36578462952250285,0.019218007484798683,0.7958894889034586
20,-0.5357744809760445,4.959986784740187,-0.3577826746105208,-0.1779918063655237,0.05384074383895508,0.36997850444180985,0.007283482980579489,-0.5059541334234801
21,-0.14186448996662218,5.4331339373338485,-0.17381889139405393,0.03195440142743175,0.06777588554622471,0.37270414373145294,3.0440545471709606e-4,0.0915089936134058
