wild,farm,.fitted,.resid,.hat,.sigma,.cooksd,.std.resid
1.1532008609648219,6.736701309459387,0.078664114396735485,1.0745367465680864,0.06968560001379856,0.3071518195559921,0.3004755300076202,2.8324542414527447
0.6788139626182743,7.060720641725931,0.4200993105961244,0.25871465202214994,0.15533353086091511,0.39861115086945026,0.04709987613231811,0.7157063992638883
-0.20823600822555272,6.496157380998912,-0.1748089201718086,-0.033427088053744114,0.04784947754316781,0.40401485256568453,1.9061017484104127e-4,-0.08709680874803244
0.7827433692405897,7.234003064311622,0.6026955697130996,0.18004779952749017,0.22762774024865615,0.40120004541997145,0.039978868370725076,0.5208719692944233
0.44196005011542405,6.941777437933344,0.29476297390465156,0.1471970762107725,0.1163948737347982,0.4024064026096547,0.01043995859239962,0.3981315296895144
-0.16766604232962362,6.963597341834749,0.3177556858441335,-0.4854217281737571,0.12288662939897865,0.3851861101976844,0.12165069727875971,-1.3177949794882742
-0.23960317699337658,6.611022933497448,-0.05376940632691607,-0.1858337706664605,0.05383896909917276,0.4015787088179071,0.006712725813762593,-0.48573412180157655
-0.3784259641118387,6.38312329135735,-0.29391853102131815,-0.08450743309052056,0.04987446147042783,0.40357851780519743,0.001275231598084047,-0.2204250340981214
-1.1199218683656433,6.036024918015462,-0.6596732542764929,-0.4602486140891504,0.10518926315309496,0.38748098684364274,0.0899450002817921,-1.237039018808116
-0.3093392974362702,6.19276518745356,-0.4945082800955136,0.18516898265924342,0.0710385075777449,0.40155032829356213,0.009122584505775782,0.488456492812203
-0.8628309194899719,5.770850808742909,-0.9391003285598041,0.07626940906983215,0.19735881998886587,0.40359703437739974,0.005759667812278723,0.2164443058040867
-0.4828165437855497,5.997256656703918,-0.7005252886740188,0.21770874488846903,0.11596614906920641,0.4003930686185943,0.022731505634359404,0.5887052770626888
-0.6055256124181134,6.015788047162611,-0.6809978459969059,0.07547223357879251,0.11069946914246442,0.40365499867771604,0.0025769491566002326,0.20347892262966072
-0.7608762894576455,6.62450251046979,-0.039565309379854696,-0.7213109800777908,0.05507366990618179,0.3642849683231701,0.10372327270308976,-1.8866010429222249
0.1210260057524665,6.870918952427739,0.2200958831117612,-0.0990698773592947,0.09733215640350464,0.40334740986839696,0.0037893669400700367,-0.26511490317841646
-0.3644332903243342,6.602185214550341,-0.06308214788944344,-0.30135114243489075,0.05309008411158282,0.3974483527853355,0.01737899978573056,-0.7873630178498539
-0.3208909179855924,6.010330983914131,-0.6867482234447069,0.3658573054591145,0.11222845100881004,0.39359489934337627,0.06160372805170563,0.9872283589685346
-0.841294497562707,6.372004620052218,-0.3056348248979477,-0.5356596726647593,0.050498001342633284,0.3827594398678873,0.05194495030121015,-1.397647050122353
-0.11369293637881733,6.432319666913803,-0.24207787687603233,0.128384940497215,0.04802767538947939,0.4029035786163848,0.0028232809514401216,0.3345479900148683
-0.5355349202939192,6.093662594904242,-0.598937583415939,0.0634026631220197,0.09087516678136176,0.4037914629477994,0.0014285524426707937,0.16906442893528797
-0.14349746917342796,6.398640555632422,-0.2775672221806511,0.13406975300722315,0.04913130375515452,0.40279399839277225,0.0031569072025950545,0.34956427063401524
