r,c,val,scenario,minpop
0.816381340998411,-0.335446419141144,lower,scenario-1-in,20
1.01648960329525,-0.223569892454824,MLE,scenario-1-in,20
1.21056881334685,-0.115778863714886,upper,scenario-1-in,20
0.851479206263777,-0.351429869031121,lower,scenario-1-in,3
1.04381051992388,-0.24271308323031,MLE,scenario-1-in,3
1.24152671033651,-0.13168999992435,upper,scenario-1-in,3
0.814456849345736,-0.293650194627041,lower,scenario-1-yr,20
1.01351212181969,-0.198638831607502,MLE,scenario-1-yr,20
1.20736114674945,-0.106031788864767,upper,scenario-1-yr,20
0.846718386589372,-0.30735071001372,lower,scenario-1-yr,3
1.04094666634599,-0.214236173260766,MLE,scenario-1-yr,3
1.23954118908223,-0.117442370946916,upper,scenario-1-yr,3
0.815069584693483,-0.293406998485815,lower,scenario-2,20
1.01461434147181,-0.196891332026668,MLE,scenario-2,20
1.20851808669357,-0.103469663512603,upper,scenario-2,20
0.848439208635652,-0.306799591414446,lower,scenario-2,3
1.04200494135078,-0.213081901461072,MLE,scenario-2,3
1.24037306961625,-0.117027464940877,upper,scenario-2,3
0.814956036544903,-0.295148184056607,lower,scenario-3,20
1.01446893634096,-0.19790564227866,MLE,scenario-3,20
1.20837073479456,-0.1036965044752,upper,scenario-3,20
0.848255095613376,-0.308494956755679,lower,scenario-3,3
1.04188842952382,-0.214171743090093,MLE,scenario-3,3
1.24025349061432,-0.116925664180397,upper,scenario-3,3
0.818397047813769,-0.290655781419781,lower,scenario-4,20
1.01848465571241,-0.193886956788106,MLE,scenario-4,20
1.21251755512285,-0.098938316403776,upper,scenario-4,20
0.853632522567292,-0.30206346825029,lower,scenario-4,3
1.0455563244424,-0.210263059683664,MLE,scenario-4,3
1.24358011959881,-0.112487767557459,upper,scenario-4,3
