MLE,lower,upper,year,predict,scenario,min_pop,MLEround,lowerround,upperround
92.4088605251402,73.6881754824332,97.9106952147165,2002,estimated,scenario-1-in,20,92.409,73.688,97.911
66.9164409840703,43.6071134811897,80.9795164016528,2003,estimated,scenario-1-in,20,66.916,43.607,80.98
12.9534895196584,6.93221373199391,18.7913353608885,2004,estimated,scenario-1-in,20,12.953,6.932,18.791
74.6838121191252,50.9045450102497,87.2692766559259,2005,estimated,scenario-1-in,20,74.684,50.905,87.269
46.1934431899398,27.4547197700286,60.5413207174894,2006,estimated,scenario-1-in,20,46.193,27.455,60.541
14.1033356572428,7.57090878904915,20.3955394924417,2007,estimated,scenario-1-in,20,14.103,7.571,20.396
12.019084395634,6.41617793880627,17.4798638347599,2008,estimated,scenario-1-in,20,12.019,6.416,17.48
9.07870074956202,4.8093247839027,13.3075018348535,2009,estimated,scenario-1-in,20,9.079,4.809,13.308
1.81771606185526,0.945492546604087,2.71487699356259,2010,estimated,scenario-1-in,20,1.818,0.945,2.715
10.5013768163769,5.58360580143893,15.3348281690689,2011,estimated,scenario-1-in,20,10.501,5.584,15.335
3.19652454334901,1.66832735347717,4.75753102699509,2012,estimated,scenario-1-in,20,3.197,1.668,4.758
7.21736115262673,3.80507150575289,10.6310297615971,2013,estimated,scenario-1-in,20,7.217,3.805,10.631
5.25083639059711,2.75456388130838,7.77397682908696,2014,estimated,scenario-1-in,20,5.251,2.755,7.774
3.97024564792819,2.0761226249127,5.8974223352518,2015,estimated,scenario-1-in,20,3.97,2.076,5.897
25.6163234363455,14.2087769031682,35.8548515851411,2016,estimated,scenario-1-in,20,25.616,14.209,35.855
9.41232291678876,6.60236609571485,12.1377395090985,2017,predicted,scenario-1-in,20,9.412,6.602,12.138
10.4432762551877,7.33278721838595,13.4493578995834,2018,predicted,scenario-1-in,20,10.443,7.333,13.449
3.38442553407539,2.28882928576509,4.46773730016591,2019,predicted,scenario-1-in,20,3.384,2.289,4.468
16.4237694921504,11.6802891219394,20.9124867319246,2020,predicted,scenario-1-in,20,16.424,11.68,20.912
6.60573348912489,4.5757347457393,8.59254725343659,2021,predicted,scenario-1-in,20,6.606,4.576,8.593
93.9125814760568,78.0989932478673,98.2623882315004,2002,estimated,scenario-1-in,3,93.913,78.099,98.262
69.9060649258571,47.87622727926,82.4257139549841,2003,estimated,scenario-1-in,3,69.906,47.876,82.426
13.9813600771673,7.84655435513826,19.5927746025268,2004,estimated,scenario-1-in,3,13.981,7.847,19.593
77.4931746758131,55.4772444200587,88.460131603018,2005,estimated,scenario-1-in,3,77.493,55.477,88.46
48.9744208036004,30.5850356582517,62.2515237338859,2006,estimated,scenario-1-in,3,48.974,30.585,62.252
15.2142211265023,8.5655462830839,21.2560421555817,2007,estimated,scenario-1-in,3,15.214,8.566,21.256
12.9784657350267,7.26514675345187,18.2318524148322,2008,estimated,scenario-1-in,3,12.978,7.265,18.232
9.81664778767745,5.45192259159015,13.8953822647263,2009,estimated,scenario-1-in,3,9.817,5.452,13.895
1.97181388113123,1.07472811113717,2.84238054331826,2010,estimated,scenario-1-in,3,1.972,1.075,2.842
11.3475738094727,6.32617542664862,16.0037203389043,2011,estimated,scenario-1-in,3,11.348,6.326,16.004
3.46543118264694,1.89541463386218,4.97848258941093,2012,estimated,scenario-1-in,3,3.465,1.895,4.978
7.81058578895737,4.31654888423733,11.1083667422286,2013,estimated,scenario-1-in,3,7.811,4.317,11.108
5.68741460904041,3.12713739223488,8.12892240904453,2014,estimated,scenario-1-in,3,5.687,3.127,8.129
4.3027815681594,2.35804875008287,6.16957633852566,2015,estimated,scenario-1-in,3,4.303,2.358,6.17
