model,Df,AIC,BIC,logLik,deviance,Chisq,Chi Df,Pr(>Chisq)
"fits[[paste(""additive"", best_re, sep = "" / "")]]",34,158176.0379851209,158517.2077932595,-79054.01899256045,158108.0379851209,NA,NA,NA
"fits[[paste(""interaction"", best_re, sep = "" / "")]]",81,158180.21380328602,158993.00069914563,-79009.10690164301,158018.21380328602,89.82418183487607,47,1.695161535799184e-4
