year,"Bateman (int, both shared)",best from grid,motile-only,bateman_vs_motile,best_vs_motile
2001,0.7287732273218251,-0.11271596910313086,-0.5510283662824006,1.2798015936042257,0.43831239717926973
2002,-0.14844970018966863,-0.7737725518334341,-1.0712760031290771,0.9228263029394085,0.29750345129564304
2003,-1.8536620290048116,-2.766941411054829,-2.369035189419186,0.5153731604143743,-0.39790622163564304
2004,0.226693427425737,-0.6813955778807469,-0.49533573267133285,0.7220291600970699,-0.18605984520941404
2005,-0.5647313686323846,-1.2364471973741533,-1.0377333774420205,0.47300200880963594,-0.19871381993213277
2006,-1.892435028349568,-2.5762156217266954,-2.2858882850313513,0.39345325668178344,-0.29032733669534405
2007,-2.604553297837991,-2.7874773788092697,-3.0674424617095206,0.4628891638715298,0.2799650829002509
2008,-1.3540135321964764,-3.2296372018135755,-2.683785878030582,1.3297723458341055,-0.5458513237829936
2009,-3.3743828559899627,-4.7139071261329955,-4.550821382541023,1.1764385265510602,-0.1630857435919726
2010,-2.2347482438533475,-3.0482141931806415,-2.8213899152298363,0.5866416713764888,-0.22682427795080518
2011,-3.64213134455564,-4.269801795419012,-4.439252282706057,0.7971209381504174,0.1694504872870457
2012,-2.370775740376941,-3.2833510170755003,-3.2771751378626583,0.9063993974857172,-0.006175879212841906
2013,-2.793451673293403,-3.6696562453154833,-3.5857547276356674,0.7923030543422644,-0.0839015176798159
2014,-3.1432136865865106,-3.9690617884951562,-3.942849874244516,0.7996361876580056,-0.026211914250640067
2015,-1.0394300679269983,-1.8682755864994232,-1.7323435756027172,0.6929135076757189,-0.13593201089670592
2016,-2.0999363494960415,-3.1592782855013186,-2.7041825784868765,0.604246228990835,-0.45509570701444213
2017,-3.0029277319310705,-3.033729788508722,-3.8346611045714405,0.83173337264037,0.8009313160627185
2018,-3.109713174293951,-3.817104586216829,-3.9893701404951902,0.8796569662012392,0.17226555427836132
2019,-1.843236164971344,-2.602071133719997,-2.648671779468036,0.8054356144966921,0.04660064574803924
2020,-2.3561178769225566,-3.459896305006283,-3.1870516878623545,0.8309338109397979,-0.2728446171439285
2021,-1.9001608426720424,-2.5061188182557186,-2.6001638603565578,0.7000030176845153,0.0940450421008392
2022,-1.7826965980160638,-2.4050621872768536,-2.7098861109700474,0.9271895129539836,0.3048239236931938
2023,-3.865310477333558,-4.01202490134141,-4.6775872704546275,0.8122767931210695,0.6655623691132178
2024,-2.632873878861583,-3.3239295123849555,-3.4447121826946736,0.8118383038330905,0.12078267030971812
2025,-2.6610532160308105,-3.649631615653142,-3.4708585843778788,0.8098053683470683,-0.17877303127526334
