model,df,aic,delta_aic
ly:diag wk:diag,34,158176.0379851209,0
ly:diag wk:unstr,37,158176.1857665132,0.14778139229747467
ys interaction,81,158180.21380328602,4.175818165123928
ly:unstr wk:shared,35,161181.63292785673,3005.5949427358282
ly:diag wk:shared,32,161185.97718384175,3009.939198720851
ly:shared wk:shared,30,162632.51141202118,4456.47342690028
